regularization_alpha,initialization_seed,validation_mae_a,validation_rmse_a,optimization_iterations,optimization_loss
0.0001,11,0.2564495129827229,0.5571708587260323,3372,8.206670401168627e-05
0.0001,33,0.37381705160008616,0.907073947905831,3050,9.445844672532265e-05
0.0001,55,0.26859674702086944,0.5621151050169468,3592,7.60077418214525e-05
0.001,11,0.3118982538691356,0.6963930009775487,3788,0.00030217565891879405
0.001,33,0.32566488564776014,0.6223100618002805,3880,0.00025976152685254646
0.001,55,0.2735182019069589,0.5863464234719782,4380,0.00028672872325460734
0.01,11,0.1653794896466722,0.33066662471283087,10000,0.0014395054248003399
0.01,33,0.15221606216510464,0.30923719869774996,6753,0.0012954913069813695
0.01,55,0.28986571573743364,0.5725763794510139,6437,0.0014221523947088549
