time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filtered_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source
0.0,0.0,,,0.0,False,False,False,0.0,0.1,3.2959070147319616,25.0,reduced_model
5.0,2.0,4.031208323143359,4.031208323143359,2.0,True,False,False,7.120000000000001e-05,0.10055555555555556,3.3455056002961303,25.007004458575764,reduced_model
10.0,4.0,4.580378600929311,4.580378600929311,4.0,True,False,False,4.4000000000000006e-05,0.10166666666666667,3.4008262851352056,25.036521470261302,reduced_model
15.0,6.0,7.264571256683174,7.264571256683174,6.0,True,False,False,4.07e-05,0.10333333333333333,3.4609603507892244,25.10579414910854,reduced_model
20.0,8.0,8.182632604011788,8.182632604011788,8.0,True,False,False,3.93e-05,0.10555555555555556,3.5252111828954265,25.23330447420296,reduced_model
25.0,8.317028930444819,8.317028930444819,8.317028930444819,8.317028930444819,False,False,False,3.8400000000000005e-05,0.107865841369568,3.5513265913318635,25.379143635036527,reduced_model
30.0,8.043638680972489,8.043638680972489,8.043638680972489,8.043638680972489,False,False,False,3.86e-05,0.11010018544761592,3.561195356140658,25.52320168650927,reduced_model
35.0,8.005274673986825,8.005274673986825,8.005274673986825,8.005274673986825,False,False,False,3.7800000000000004e-05,0.11232387285705671,3.5740495805035533,25.67104091141688,reduced_model
40.0,8.022351874641354,8.022351874641354,8.022351874641354,8.022351874641354,False,False,False,3.82e-05,0.11455230393334598,3.5867120212722,25.823375531887145,reduced_model
45.0,8.027579472040916,8.027579472040916,8.027579472040916,8.027579472040916,False,False,False,7.180000000000001e-05,0.11678218712002401,3.5980211954350056,25.97905697317155,reduced_model
50.0,8.019800401285028,8.019800401285028,8.019800401285028,8.019800401285028,False,False,False,3.86e-05,0.1190099094537143,3.6081513960660674,26.137036314869864,reduced_model
55.0,8.007663250682484,8.007663250682484,8.007663250682484,8.007663250682484,False,False,False,3.86e-05,0.12123426035668165,3.617462926299293,26.296670038614952,reduced_model
60.0,7.99610759867703,7.99610759867703,7.99610759867703,7.99610759867703,False,False,False,3.83e-05,0.12345540135631417,3.626209061661155,26.45758659186736,reduced_model
65.0,7.98784128314998,7.98784128314998,7.98784128314998,7.98784128314998,False,False,False,3.8100000000000005e-05,0.12567424615718917,3.6345681863997705,26.619594865453358,reduced_model
70.0,7.983891782279571,7.983891782279571,7.983891782279571,7.983891782279571,False,False,False,3.7800000000000004e-05,0.12789199387448905,3.6426573191070277,26.782609772128783,reduced_model
75.0,7.983963708352231,7.983963708352231,7.983963708352231,7.983963708352231,False,False,False,4.7600000000000005e-05,0.13010976157125356,3.6505418550285307,26.94659040310478,reduced_model
80.0,7.986982642473634,7.986982642473634,7.986982642473634,7.986982642473634,False,False,False,3.8100000000000005e-05,0.13232836786082958,3.6582502841328584,27.11149837092538,reduced_model
85.0,7.991621206359282,7.991621206359282,7.991621206359282,7.991621206359282,False,False,False,3.8e-05,0.1345482626403738,3.66578935554978,27.277276746699346,reduced_model
90.0,7.996643190293911,7.996643190293911,7.996643190293911,7.996643190293911,False,False,False,3.8e-05,0.13676955241545546,3.673155487797962,27.44384378540199,reduced_model
95.0,8.001066662110604,8.001066662110604,8.001066662110604,8.001066662110604,False,False,False,3.77e-05,0.1389920709327084,3.6803418796475187,27.61109508002543,reduced_model
100.0,8.004218368143492,8.004218368143492,8.004218368143492,8.004218368143492,False,False,False,3.77e-05,0.14121546492385936,3.6873426423030597,27.77890996475436,reduced_model
105.0,8.005745103928783,8.005745103928783,8.005745103928783,8.005745103928783,False,False,False,3.7300000000000005e-05,0.143439283008284,3.6941553836244667,27.947160197801107,reduced_model
110.0,8.005620895380597,8.005620895380597,8.005620895380597,8.005620895380597,False,False,False,3.8100000000000005e-05,0.14566306659033418,3.700783215531884,28.115720376613268,reduced_model
115.0,8.004163857819016,8.004163857819016,8.004163857819016,8.004163857819016,False,False,False,3.86e-05,0.14788644543972834,3.707236632189642,28.28448012743599,reduced_model
120.0,8.002047356961848,8.002047356961848,8.002047356961848,8.002047356961848,False,False,False,3.7500000000000003e-05,0.15010923637221774,3.713534994557831,28.453357620455854,reduced_model
125.0,8.000239293807866,8.000239293807866,8.000239293807866,8.000239293807866,False,False,False,3.79e-05,0.15233152506494213,3.7197060345477277,28.622311499676975,reduced_model
130.0,7.999722479701589,7.999722479701589,7.999722479701589,7.999722479701589,False,False,False,3.76e-05,0.15455367019819258,3.7257796073099,28.79134262564178,reduced_model
135.0,8.000807723860632,8.000807723860632,8.000807723860632,8.000807723860632,False,False,False,3.8400000000000005e-05,0.15677611678815387,3.7317705321283965,28.960469420822296,reduced_model
140.0,8.00218863005469,8.00218863005469,8.00218863005469,8.00218863005469,False,False,False,3.8400000000000005e-05,0.15899894696316905,3.737653272818615,29.12966549233209,reduced_model
145.0,8.00105193325535,8.00105193325535,8.00105193325535,8.00105193325535,False,False,False,3.85e-05,0.1612214613890733,3.743360483824241,29.29879839809448,reduced_model
150.0,7.992875160944447,7.992875160944447,7.992875160944447,7.992875160944447,False,False,False,3.79e-05,0.16344170448933565,3.7487749029614292,29.46755852492329,reduced_model
155.0,7.935614013684853,7.935614013684853,7.935614013684853,7.935614013684853,False,False,False,3.77e-05,0.1656460417153592,3.752844131812579,29.6340065586288,reduced_model
160.0,7.669108331914094,7.669108331914094,7.669108331914094,7.669108331914094,False,False,False,3.76e-05,0.16777634958533535,3.7514985912171666,29.790082749086313,reduced_model
