regularization_alpha,initialization_seed,validation_mae_a,validation_rmse_a,optimization_iterations,optimization_loss
0.0001,11,0.15816247527390898,0.4695835263806902,5000,0.00022007332594468587
0.0001,22,0.15864407608936287,0.3566939573427255,3849,0.00015541370530367785
0.0001,33,0.10247128593532318,0.2301280874981153,5000,0.00042343261997131236
0.0001,44,0.21042691184772178,0.5353916191403074,3452,0.00023954647446334712
0.0001,55,0.14643153595043848,0.30064923400529286,5000,0.00037069460811214004
0.001,11,0.2367141148156786,0.6391319026137329,2980,0.0004988825441300433
0.001,22,0.19617372233068478,0.4548790106319861,3427,0.000414691506332659
0.001,33,0.10406870810733301,0.2546882174845554,5000,0.00047362646879991945
0.001,44,0.3047215995049368,0.8696018383976645,3722,0.0006274994532209957
0.001,55,0.3647798838132328,0.9089537382235444,5000,0.0008063711716088664
0.01,11,0.16615085782935735,0.4028937404487639,5000,0.0020435082058488005
0.01,22,0.1578727804923974,0.28896715636674003,4154,0.0020208218481576933
0.01,33,0.152999556145021,0.31115381398852926,3194,0.0019142963882333207
0.01,44,0.18687255801460512,0.4422708404461441,4188,0.0018334342656008118
0.01,55,0.15155808848257982,0.40074460881523954,5000,0.0020282699785896204
0.1,11,0.11965317338515635,0.20519018777195472,2860,0.008814887230148264
0.1,22,0.14672629284374053,0.28964594577086367,1955,0.00886454959537484
0.1,33,0.10951043925215431,0.1934628439943922,3065,0.008511004968885752
0.1,44,0.11334332247635426,0.2158046957766106,2470,0.008335279825790864
0.1,55,0.13004250126210992,0.2249232735374811,1449,0.009262013617804418
1.0,11,0.26548731072373627,0.38687388220880425,679,0.04100139362411008
1.0,22,0.2653316146677217,0.3866417468755513,821,0.04100155824570921
1.0,33,0.2791382523433421,0.4040379780011004,471,0.0412796408394515
1.0,44,0.2654094051711019,0.3867798805232449,1043,0.04100145911529189
1.0,55,0.2567436075774916,0.39618341411011365,1036,0.04190359408321396
