trajectory_id,policy_kind,step_index,time_s,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,audit_core_temperature_c,audit_surface_temperature_c,state_previous_current_a,seed_ann_requested_current_a,exploration_offset_a,exploration_desired_current_a,exploration_applied_current_a,exploration_safety_override,target_current_cap_active,next_voltage_v,next_average_temperature_c,next_soc,reachable_source,source_dataset,soc_bin_index,split
active_bias_down_1p0,ann_constant_offset,12,60.0,0.11948891777694359,0.06505012721643261,0.031141369977726072,26.067963657670226,26.069019884478784,26.06373875043598,7.849950136628639,8.805852682453006,-1.0,7.805852682453006,7.805852682453006,False,False,3.612619636397185,26.220408138463384,0.1216572101887361,True,active_ann_rollout,0,test
active_bias_down_1p0,ann_constant_offset,23,115.0,0.14234850639079363,0.06652167779252327,0.057147661517169525,27.667581881216876,27.668830114599864,27.662588947684913,7.109894448776291,8.025755518798501,-1.0,7.025755518798501,7.025755518798501,False,False,3.6675857770131772,27.798798627173387,0.14430010514601543,True,active_ann_rollout,0,test
active_bias_down_1p0,ann_constant_offset,35,175.0,0.16424950675223776,0.05809171173243947,0.07182491549606589,29.039620520624432,29.04091717895085,29.034433887318773,6.1525356809402325,7.089034734348753,-1.0,6.089034734348753,6.089034734348753,False,False,3.6933774242569717,29.135602163541808,0.16594090528955685,True,active_ann_rollout,0,test
active_bias_down_1p0,ann_constant_offset,46,230.0,0.18203397368605723,0.05219464834442385,0.07749423503153581,29.977295857704267,29.978634049104993,29.971943092101363,5.580936385304216,6.539145610447521,-1.0,5.539145610447521,5.539145610447521,False,False,3.709979366929762,30.05111290303027,0.18357262524451487,True,active_ann_rollout,0,test
active_bias_down_1p0,ann_constant_offset,124,620.0,0.2523631810511024,0.003543130594039756,0.03372738711011046,30.930388803116802,30.931264737744954,30.926885064604196,0.4001459331605557,1.4146986434078,-1.0,0.41469864340779994,0.41469864340779994,False,False,3.585450029573102,30.893862279932026,0.2524783751187157,True,active_ann_rollout,1,test
active_bias_down_1p0,ann_constant_offset,189,945.0,0.26790195344457135,0.010747530927333352,0.017487164552619176,29.07975084204279,29.08037647446571,29.077248312351117,1.2085051991030618,2.21877895697027,-1.0,1.21877895697027,1.21877895697027,False,False,3.608256451103997,29.058715827469328,0.2682405031548409,True,active_ann_rollout,1,test
active_bias_down_1p0,ann_constant_offset,293,1465.0,0.36367519138050797,0.048149653588370984,0.07461279629095356,31.37772257746549,31.37917307164087,31.371920600763975,5.087098455370313,6.028590816462522,-1.0,5.028590816462522,5.028590816462522,False,False,3.867267147674942,31.425864816656876,0.36507202216285867,True,active_ann_rollout,2,test
active_bias_down_1p0,ann_constant_offset,330,1650.0,0.3946386871631326,0.0062503891629728525,0.048739626970847466,31.45128680934723,31.452244574167754,31.44745575006515,0.4730880095183396,1.4414509923834764,-1.0,0.4414509923834764,0.4414509923834764,False,False,3.725060563202235,31.412120976655658,0.3947613124387947,True,active_ann_rollout,2,test
active_bias_down_1p0,ann_constant_offset,421,2105.0,0.4137033258647735,0.010128203004957696,0.016170989550875616,28.78613693875349,28.786716122466203,28.78382020390265,1.135052516458701,2.143476074681459,-1.0,1.143476074681459,1.143476074681459,False,False,3.7296352294460133,28.766355251063633,0.41402095810774053,True,active_ann_rollout,3,test
active_bias_down_1p0,ann_constant_offset,474,2370.0,0.4346521799803136,0.015911040065486083,0.022325255930992233,28.010077450440136,28.010578547330795,28.008073062877507,1.8037504283386978,2.826319753762238,-1.0,1.8263197537622382,1.8263197537622382,False,False,3.7739896873308925,28.001681686985034,0.4351594910230253,True,active_ann_rollout,3,test
