trajectory_id,policy_kind,step_index,time_s,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,audit_core_temperature_c,audit_surface_temperature_c,state_previous_current_a,seed_ann_requested_current_a,exploration_offset_a,exploration_desired_current_a,exploration_applied_current_a,exploration_safety_override,target_current_cap_active,next_voltage_v,next_average_temperature_c,next_soc,reachable_source,source_dataset
dagger_round_3_dfn_nominal,ann_dfn_nominal,0,0.0,0.1,0.0,0.0,25.0,25.0,25.0,0.0,4.393356519718341,0.0,4.393356519718341,2.0,False,False,3.383427139926728,25.01759686655646,0.10055555555555556,True,dagger_round_3_dfn
dagger_round_3_dfn_nominal,ann_dfn_nominal,1,5.0,0.10055555555555556,0.004590303558635221,0.0010173285277228377,25.01759686655646,25.017637838253847,25.0174329797669,2.0,5.2640162505970025,0.0,5.2640162505970025,4.0,False,False,3.4522414960711125,25.076322436697637,0.10166666666666667,True,dagger_round_3_dfn
dagger_round_3_dfn_nominal,ann_dfn_nominal,2,10.0,0.10166666666666667,0.012615492407922488,0.0030187437308400898,25.076322436697637,25.07649791353436,25.075620529350733,4.0,6.890725270726941,0.0,6.890725270726941,6.0,False,False,3.5151350018836114,25.19218609153819,0.10333333333333333,True,dagger_round_3_dfn
dagger_round_3_dfn_nominal,ann_dfn_nominal,3,15.0,0.10333333333333333,0.023210976839893545,0.005972089955548304,25.19218609153819,25.19260375802317,25.190515425598267,6.0,8.264133450250236,0.0,8.264133450250236,8.0,False,False,3.5766293400726488,25.37921593923494,0.10555555555555557,True,dagger_round_3_dfn
dagger_round_3_dfn_nominal,ann_dfn_nominal,4,20.0,0.10555555555555557,0.03572979169583626,0.009846262254346008,25.379215939234935,25.37999370015717,25.376104895546007,8.0,8.234117602778557,0.0,8.234117602778557,8.234117602778557,False,False,3.6042684345144123,25.57966148752621,0.10784281044521628,True,dagger_round_3_dfn
dagger_round_3_dfn_nominal,ann_dfn_nominal,5,25.0,0.10784281044521628,0.04563485029875272,0.013712930783893025,25.57966148752621,25.580562846073438,25.576056053337282,8.234117602778557,8.072522898651378,0.0,8.072522898651378,8.072522898651378,False,False,3.6209074145765774,25.77794991259327,0.11008517791706388,True,dagger_round_3_dfn
dagger_round_3_dfn_nominal,ann_dfn_nominal,6,30.0,0.11008517791706388,0.05267583742073295,0.017371056025296934,25.77794991259327,25.77889575403416,25.774166546829715,8.072522898651378,8.03653461865608,0.0,8.03653461865608,8.03653461865608,False,False,3.6362885743286038,25.97787222703164,0.11231754864446834,True,dagger_round_3_dfn
dagger_round_3_dfn_nominal,ann_dfn_nominal,7,35.0,0.11231754864446834,0.05786194990907495,0.02089134376150983,25.97787222703164,25.978875396813503,25.973859547904183,8.03653461865608,8.006869459274451,0.0,8.006869459274451,8.006869459274451,False,False,3.649318826371351,26.178877245403328,0.11454167904982236,True,dagger_round_3_dfn
dagger_round_3_dfn_nominal,ann_dfn_nominal,8,40.0,0.11454167904982236,0.06167458793427043,0.02428151426558328,26.178877245403328,26.179932599749204,26.174655828019826,8.006869459274451,7.989246860725412,0.0,7.989246860725412,7.989246860725412,False,False,3.660544910117381,26.380703496995523,0.11676091428891275,True,dagger_round_3_dfn
dagger_round_3_dfn_nominal,ann_dfn_nominal,9,45.0,0.11676091428891275,0.06448710615167946,0.02755194482061836,26.380703496995523,26.381808615734215,26.376283022040745,7.989246860725412,7.978576926507094,0.0,7.978576926507094,7.978576926507094,False,False,3.6702401619586493,26.58298987522693,0.11897718565738694,True,dagger_round_3_dfn
