time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filtered_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source
0.0,0.0,,,0.0,False,False,False,0.0,0.1,3.2959070147319616,25.0,chen2020_dfn
5.0,2.0,4.031208323143359,4.031208323143359,2.0,True,False,False,6.2e-05,0.10055555555555556,3.3834271399262024,25.017596866556403,chen2020_dfn
10.0,4.0,4.58526775545441,4.58526775545441,4.0,True,False,False,7.390000000000001e-05,0.10166666666666667,3.4522414960634094,25.076322436697524,chen2020_dfn
15.0,6.0,7.259216228240994,7.259216228240994,6.0,True,False,False,7.75e-05,0.10333333333333333,3.515135001883338,25.192186091538076,chen2020_dfn
20.0,8.0,8.18699529890273,8.18699529890273,8.0,True,False,False,7.890000000000001e-05,0.10555555555555556,3.5766293400726745,25.37921593923494,chen2020_dfn
25.0,8.317644521006478,8.317644521006478,8.317644521006478,8.317644521006478,False,False,False,7.500000000000001e-05,0.10786601236694625,3.605891531839581,25.58285430389708,chen2020_dfn
30.0,8.033479831945918,8.033479831945918,8.033479831945918,8.033479831945918,False,False,False,7.59e-05,0.11009753454248677,3.6204511475930574,25.77971601605782,chen2020_dfn
35.0,8.010519274778552,8.010519274778552,8.010519274778552,8.010519274778552,False,False,False,7.47e-05,0.11232267878548083,3.635888658925288,25.978648608029857,chen2020_dfn
40.0,8.030526280702903,8.030526280702903,8.030526280702903,8.030526280702903,False,False,False,8.350000000000001e-05,0.11455338053012051,3.6497575274199794,26.18057169956103,chen2020_dfn
45.0,8.034802531120082,8.034802531120082,8.034802531120082,8.034802531120082,False,False,False,7.99e-05,0.11678527012209831,3.6614657276821108,26.38420444379051,chen2020_dfn
50.0,8.027449291329585,8.027449291329585,8.027449291329585,8.027449291329585,False,False,False,8.15e-05,0.11901511714746765,3.6713351273783417,26.58847358271447,chen2020_dfn
55.0,8.015814245424087,8.015814245424087,8.015814245424087,8.015814245424087,False,False,False,7.49e-05,0.121241732215641,3.6797373421347057,26.79265952497161,chen2020_dfn
60.0,8.003247285185347,8.003247285185347,8.003247285185347,8.003247285185347,False,False,False,7.510000000000001e-05,0.12346485646152583,3.6869631766523177,26.99625990655602,chen2020_dfn
65.0,7.991476606964337,7.991476606964337,7.991476606964337,7.991476606964337,False,False,False,7.570000000000001e-05,0.12568471107457146,3.693243228531422,27.198928047539937,chen2020_dfn
70.0,7.981280656474951,7.981280656474951,7.981280656474951,7.981280656474951,False,False,False,7.670000000000001e-05,0.12790173347914785,3.6987665950433875,27.400422382154147,chen2020_dfn
75.0,7.9726866622771215,7.9726866622771215,7.9726866622771215,7.9726866622771215,False,False,False,8.33e-05,0.1301163686631137,3.7036822172057002,27.600568415027453,chen2020_dfn
80.0,7.9651712737100695,7.9651712737100695,7.9651712737100695,7.9651712737100695,False,False,False,8.400000000000001e-05,0.13232891623914428,3.708103503964309,27.799227469584423,chen2020_dfn
85.0,7.95788833441104,7.95788833441104,7.95788833441104,7.95788833441104,False,False,False,7.54e-05,0.13453944077648067,3.7121151923758458,27.996272761361695,chen2020_dfn
90.0,7.949876279326768,7.949876279326768,7.949876279326768,7.949876279326768,False,False,False,8.47e-05,0.13674773974296034,3.715779845808173,28.191575555416534,chen2020_dfn
95.0,7.940230521195263,7.940230521195263,7.940230521195263,7.940230521195263,False,False,False,7.98e-05,0.13895335933218125,3.7191439081310484,28.384999675161396,chen2020_dfn
100.0,7.928266261125934,7.928266261125934,7.928266261125934,7.928266261125934,False,False,False,0.00010680000000000001,0.14115565551582734,3.7222435189923884,28.576403977371683,chen2020_dfn
105.0,7.913727172822142,7.913727172822142,7.913727172822142,7.913727172822142,False,False,False,7.32e-05,0.1433539130638335,3.725111023220567,28.7656544755273,chen2020_dfn
110.0,7.897133229833981,7.897133229833981,7.897133229833981,7.897133229833981,False,False,False,9.810000000000001e-05,0.1455475611832318,3.7277839280881935,28.952651436699625,chen2020_dfn
115.0,7.8804486141137975,7.8804486141137975,7.8804486141137975,7.8804486141137975,False,False,False,7.64e-05,0.14773657468715232,3.73031979601374,29.13738391884783,chen2020_dfn
120.0,7.868501430684238,7.868501430684238,7.868501430684238,7.868501430684238,False,False,False,7.53e-05,0.14992226952900906,3.7328252724235633,29.32004133394082,chen2020_dfn
125.0,7.872363832312937,7.872363832312937,7.872363832312937,7.872363832312937,False,False,False,7.71e-05,0.15210903726020708,3.7355216980958854,29.501260064543942,chen2020_dfn
130.0,7.918285192401728,7.918285192401728,7.918285192401728,7.918285192401728,False,False,False,0.0001296,0.15430856092476314,3.7389096992152657,29.682688154622042,chen2020_dfn
135.0,8.068996817713662,8.068996817713662,8.068996817713662,8.068996817713662,False,False,False,7.49e-05,0.1565499489296836,3.744170807520338,29.868633895924404,chen2020_dfn
140.0,8.353214392319984,8.353214392319984,8.353214392319984,8.353214392319984,False,False,False,7.790000000000001e-05,0.15887028626088362,3.7520135108530193,30.064666347317313,chen2020_dfn
145.0,7.993128833140084,7.993128833140084,7.993128833140084,7.993128833140084,False,False,False,0.0001228,0.16109059982564478,3.749574501700448,30.245280056185663,chen2020_dfn
150.0,8.14386372194318,8.14386372194318,8.14386372194318,8.14386372194318,False,False,False,8.170000000000001e-05,0.1633527841928512,3.754613528741422,30.43033706867203,chen2020_dfn
155.0,7.5986258180890935,7.5986258180890935,7.5986258180890935,7.5986258180890935,False,False,False,7.58e-05,0.16546351358676487,3.748106993214558,30.592715788718692,chen2020_dfn
160.0,7.683338238043585,7.683338238043585,7.683338238043585,7.683338238043585,False,False,False,7.69e-05,0.16759777420844363,3.750940653178459,30.756441436940634,chen2020_dfn
165.0,7.139969089353224,7.139969089353224,7.139969089353224,7.139969089353224,False,False,False,7.54e-05,0.16958109895548623,3.7431724507605573,30.897988822913987,chen2020_dfn
170.0,7.071952975489557,7.071952975489557,7.071952975489557,7.071952975489557,False,False,False,7.82e-05,0.17154553033756662,3.7424335741346404,31.034965748642662,chen2020_dfn
175.0,6.614677210358396,6.614677210358396,6.614677210358396,6.614677210358396,False,False,False,7.510000000000001e-05,0.1733829406737773,3.7347956487954805,31.153612548824412,chen2020_dfn
180.0,6.598727139682742,6.598727139682742,6.598727139682742,6.598727139682742,False,False,False,8.27e-05,0.17521592043480028,3.7342681148175925,31.269658892746122,chen2020_dfn
185.0,6.112132494990161,6.112132494990161,6.112132494990161,6.112132494990161,False,False,False,7.66e-05,0.17691373501674196,3.72535941341231,31.36722243151786,chen2020_dfn
190.0,6.325510654070385,6.325510654070385,6.325510654070385,6.325510654070385,False,False,False,7.780000000000001e-05,0.17867082130953926,3.7286308651207296,31.470074055565874,chen2020_dfn
195.0,5.577027243740645,5.577027243740645,5.577027243740645,5.577027243740645,False,False,False,7.740000000000001e-05,0.18021999554391166,3.7146057822392198,31.546837072858352,chen2020_dfn
200.0,6.0775895910391,6.0775895910391,6.0775895910391,6.0775895910391,False,False,False,7.47e-05,0.18190821487475586,3.722903979648085,31.637930313135257,chen2020_dfn
205.0,5.216346908584123,5.216346908584123,5.216346908584123,5.216346908584123,False,False,False,7.42e-05,0.18335720012714038,3.706600536350897,31.700574767251283,chen2020_dfn
210.0,5.45464755783394,5.45464755783394,5.45464755783394,5.45464755783394,False,False,False,8.010000000000001e-05,0.1848723800043165,3.7098454573650406,31.768856071958112,chen2020_dfn
215.0,5.178339397267751,5.178339397267751,5.178339397267751,5.178339397267751,False,False,False,8.42e-05,0.18631080761466862,3.7040200254621762,31.827548278629877,chen2020_dfn
220.0,5.091219888447954,5.091219888447954,5.091219888447954,5.091219888447954,False,False,False,8.300000000000001e-05,0.18772503536145974,3.7015514466613944,31.88242160406628,chen2020_dfn
225.0,5.020574424696494,5.020574424696494,5.020574424696494,5.020574424696494,False,False,False,0.0001341,0.18911963936831988,3.6995703747934288,31.93412058170884,chen2020_dfn
230.0,4.9881148684969165,4.9881148684969165,4.9881148684969165,4.9881148684969165,False,False,False,7.780000000000001e-05,0.19050522683179122,3.6985130398271213,31.983880066098152,chen2020_dfn
235.0,4.981447832256699,4.981447832256699,4.981447832256699,4.981447832256699,False,False,False,7.43e-05,0.19188896234075142,3.698191630072992,32.03253311631613,chen2020_dfn
240.0,4.98678593374736,4.98678593374736,4.98678593374736,4.98678593374736,False,False,False,7.99e-05,0.19327418065568122,3.6983345639468466,32.08053624417056,chen2020_dfn
245.0,4.994575432912736,4.994575432912736,4.994575432912736,4.994575432912736,False,False,False,7.77e-05,0.1946615627203792,3.698731993900112,32.12803572872116,chen2020_dfn
250.0,5.000497848265316,5.000497848265316,5.000497848265316,5.000497848265316,False,False,False,8.27e-05,0.19605058990045288,3.6992616055941796,32.17504922122896,chen2020_dfn
255.0,5.00351253291254,5.00351253291254,5.00351253291254,5.00351253291254,False,False,False,7.630000000000001e-05,0.1974404544929286,3.6998666296807956,32.22155174238026,chen2020_dfn
