trajectory_id,policy_kind,step_index,time_s,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,audit_core_temperature_c,audit_surface_temperature_c,state_previous_current_a,seed_ann_requested_current_a,exploration_offset_a,exploration_desired_current_a,exploration_applied_current_a,exploration_safety_override,target_current_cap_active,next_voltage_v,next_average_temperature_c,next_soc,reachable_source,source_dataset,soc_bin_index,split
dagger_round_2_nominal,ann_constant_offset,6,30.0,0.10967255779826163,0.050383025985563615,0.016650450952114072,25.474420802544834,25.475294146301028,25.470927427520053,7.931896503792844,8.105996951577332,0.0,8.105996951577332,8.105996951577332,False,False,3.5730772626943885,25.62415357769918,0.11192422361814422,True,dagger_round_2,0,train
dagger_round_2_nominal,ann_constant_offset,12,60.0,0.12334744565884438,0.07048326942550559,0.03672439179792159,26.446687119974108,26.447886922096004,26.44188791148653,8.09654799677957,8.087387226478274,0.0,8.087387226478274,8.087387226478274,False,False,3.637482529614925,26.612814976368547,0.1255939421106439,True,dagger_round_2,0,train
dagger_round_2_nominal,ann_constant_offset,17,85.0,0.1345353877125583,0.07254056998002699,0.05028725797539939,27.28165217276028,27.283000072867424,27.276260572331694,7.936033510955536,7.827267535589327,0.0,7.827267535589327,7.827267535589327,False,False,3.6694039329704022,27.442349441438367,0.13670962869466644,True,dagger_round_2,0,train
dagger_round_2_nominal,ann_constant_offset,23,115.0,0.14762672454391132,0.07191181225864965,0.06330226674612634,28.25480312022808,28.256335203406728,28.24867478751348,7.927183390000682,7.964760658871382,0.0,7.964760658871382,7.964760658871382,False,False,3.711111790636228,28.421778311204168,0.1498391580602645,True,dagger_round_2,0,train
dagger_round_2_nominal,ann_constant_offset,29,145.0,0.16089584312089383,0.07238600158271963,0.07425666042132792,29.25819299204337,29.259908238839795,29.25133200485766,7.905995818129904,7.86262565136673,0.0,7.86262565136673,7.86262565136673,False,False,3.7442018250720817,29.421700741530934,0.16307990580182904,True,dagger_round_2,0,train
dagger_round_2_nominal,ann_constant_offset,35,175.0,0.17402909910022238,0.07218717377802675,0.083014796393407,30.239828923141864,30.24174576928173,30.232161538582407,8.037991869428664,7.978878032863854,0.0,7.978878032863854,7.978878032863854,False,False,3.7777101944622515,30.406679922072982,0.17624545410935122,True,dagger_round_2,0,train
dagger_round_2_nominal,ann_constant_offset,40,200.0,0.18246062414204145,0.05652049875025654,0.08465279052617598,30.732919841778266,30.734322413340553,30.727309555529125,5.098659374339027,5.108626193150207,0.0,5.108626193150207,5.108626193150207,False,False,3.710211144321712,30.794087552165646,0.18387968697347207,True,dagger_round_2,0,train
dagger_round_2_nominal,ann_constant_offset,46,230.0,0.19097465150284093,0.048319911189335596,0.08372555468448652,31.083928184292297,31.085359575155778,31.078202620838372,5.105435149975058,5.1032937921979,0.0,5.1032937921979,5.1032937921979,False,False,3.7154072555822633,31.13952259955547,0.1923922331117848,True,dagger_round_2,0,train
dagger_round_2_nominal,ann_constant_offset,62,310.0,0.21355148345044914,0.046195574793473713,0.08179405109005088,31.908496789473876,31.91003136824779,31.902358474378218,5.054515723272047,5.051399319761775,0.0,5.051399319761775,5.051399319761775,False,False,3.7387374873966612,31.955927740160824,0.21495464992816074,True,dagger_round_2,1,train
dagger_round_2_nominal,ann_constant_offset,70,350.0,0.2247552484026611,0.04596350473825018,0.08101996562536583,32.276138734002934,32.2777215872655,32.26980732095266,5.032820771512522,5.030640163814773,0.0,5.030640163814773,5.030640163814773,False,False,3.749351617873097,32.320281667791996,0.22615264844816518,True,dagger_round_2,1,train
