time_s,charge_current_a,soc,terminal_voltage_v,average_temperature_c,predicted_maximum_voltage_v,predicted_maximum_temperature_c,predicted_terminal_soc,optimizer_success,prediction_feasible,used_fallback,target_current_cap_active,control_decision_updated,solve_time_s,minimum_constraint_margin,source
0.0,0.0,0.1,3.2959070147319616,25.0,,,,True,True,False,False,False,0.0,,reduced_model
5.0,2.000000000000004,0.10055555555555556,3.3455056002961303,25.007004458575764,3.853219701359488,33.50000000096714,0.2191370352462923,True,True,False,False,True,0.859649600000921,-9.671410339251452e-10,reduced_model
10.0,4.000000000000002,0.10166666666666668,3.4008262851352056,25.036521470261302,3.8410672366797196,33.5000000187051,0.2232826225087956,True,True,False,False,True,0.7882031999997707,-1.8705101467730856e-08,reduced_model
15.0,5.9999999999999964,0.10333333333333335,3.4609603507892244,25.10579414910854,3.8303756260701762,33.50000000028555,0.22599153171471445,True,True,False,False,True,0.6803055999989738,-2.8555291464726906e-10,reduced_model
20.0,7.9999999999999964,0.10555555555555557,3.5252111828954265,25.23330447420296,3.8224470335890066,33.500000027758404,0.22775510938074808,True,True,False,False,True,0.7821867000002385,-2.775840357571724e-08,reduced_model
25.0,9.894814670131863,0.10830411518614776,3.5904318008884815,25.434431753584484,3.8172391563647854,33.50000001973332,0.22901239292178033,True,True,False,False,True,0.7051191999998991,-1.973332075522194e-08,reduced_model
30.0,9.894814670131863,0.11105267481673994,3.611555600163439,25.64693677451795,3.8172391563647854,33.50000001973332,0.22901239292178033,True,True,False,False,False,0.0,-1.973332075522194e-08,reduced_model
35.0,9.894814670131863,0.11380123444733213,3.629891967297746,25.86833173284178,3.8172391563647854,33.50000001973332,0.22901239292178033,True,True,False,False,False,0.0,-1.973332075522194e-08,reduced_model
40.0,9.894814670131863,0.11654979407792432,3.6460941797188693,26.09672749215366,3.8172391563647854,33.50000001973332,0.22901239292178033,True,True,False,False,False,0.0,-1.973332075522194e-08,reduced_model
45.0,9.894814670131863,0.1192983537085165,3.6606516700174017,26.330683750766557,3.8172391563647854,33.50000001973332,0.22901239292178033,True,True,False,False,False,0.0,-1.973332075522194e-08,reduced_model
50.0,8.708680128926495,0.12171743152210719,3.6445677496145836,26.521407322621535,3.8096239254546695,33.50000000002204,0.234517490875947,True,True,False,False,True,0.5887330999994447,-2.2041035663278308e-11,reduced_model
55.0,8.708680128926495,0.12413650933569788,3.6535133859484694,26.713433698952425,3.8096239254546695,33.50000000002204,0.234517490875947,True,True,False,False,False,0.0,-2.2041035663278308e-11,reduced_model
60.0,8.708680128926495,0.12655558714928858,3.6622090461985604,26.906608542221363,3.8096239254546695,33.50000000002204,0.234517490875947,True,True,False,False,False,0.0,-2.2041035663278308e-11,reduced_model
65.0,8.708680128926495,0.12897466496287927,3.670680444832704,27.100799151904027,3.8096239254546695,33.50000000002204,0.234517490875947,True,True,False,False,False,0.0,-2.2041035663278308e-11,reduced_model
70.0,8.708680128926495,0.13139374277646995,3.6789472660094527,27.29588976123514,3.8096239254546695,33.50000000002204,0.234517490875947,True,True,False,False,False,0.0,-2.2041035663278308e-11,reduced_model
75.0,8.071710881479957,0.13363588468799217,3.671274532916449,27.467371460328295,3.8033906586994375,33.500000007779384,0.23994067837938182,True,True,False,False,True,0.3526290000008885,-7.779384247896814e-09,reduced_model
80.0,8.071710881479957,0.1358780265995144,3.6774040019396983,27.63857928169983,3.8033906586994375,33.500000007779384,0.23994067837938182,True,True,False,False,False,0.0,-7.779384247896814e-09,reduced_model
85.0,8.071710881479957,0.13812016851103662,3.683658562980075,27.809648235542255,3.8033906586994375,33.500000007779384,0.23994067837938182,True,True,False,False,False,0.0,-7.779384247896814e-09,reduced_model
90.0,8.071710881479957,0.14036231042255884,3.6899760235193457,27.980667734803298,3.8033906586994375,33.500000007779384,0.23994067837938182,True,True,False,False,False,0.0,-7.779384247896814e-09,reduced_model
95.0,8.071710881479957,0.14260445233408106,3.6963101631171,28.151693567652913,3.8033906586994375,33.500000007779384,0.23994067837938182,True,True,False,False,False,0.0,-7.779384247896814e-09,reduced_model
100.0,7.5269504140132515,0.14469527189352918,3.6891730349503584,28.30266905297833,3.797201467669895,33.50000000181264,0.24529876795398847,True,True,False,False,True,0.35521540000081586,-1.8126371514881612e-09,reduced_model
105.0,7.5269504140132515,0.1467860914529773,3.6939492567076497,28.452954740476187,3.797201467669895,33.50000000181264,0.24529876795398847,True,True,False,False,False,0.0,-1.8126371514881612e-09,reduced_model
110.0,7.5269504140132515,0.14887691101242542,3.698915063272114,28.6027198216497,3.797201467669895,33.50000000181264,0.24529876795398847,True,True,False,False,False,0.0,-1.8126371514881612e-09,reduced_model
115.0,7.5269504140132515,0.15096773057187354,3.703997319328172,28.752083219534143,3.797201467669895,33.50000000181264,0.24529876795398847,True,True,False,False,False,0.0,-1.8126371514881612e-09,reduced_model
120.0,7.5269504140132515,0.15305855013132166,3.709141514030035,28.90112658844487,3.797201467669895,33.50000000181264,0.24529876795398847,True,True,False,False,False,0.0,-1.8126371514881612e-09,reduced_model
125.0,7.073473213505943,0.15502340380173998,3.703121822232634,29.033818180648513,3.7917327232593387,33.50000000054083,0.25060996734464713,True,True,False,False,True,0.3483695999984775,-5.408296033238003e-10,reduced_model
130.0,7.073473213505943,0.1569882574721583,3.7070462696152995,29.165717959249626,3.7917327232593387,33.50000000054083,0.25060996734464713,True,True,False,False,False,0.0,-5.408296033238003e-10,reduced_model
135.0,7.073473213505943,0.15895311114257663,3.7111487514711095,29.29697599246059,3.7917327232593387,33.50000000054083,0.25060996734464713,True,True,False,False,False,0.0,-5.408296033238003e-10,reduced_model
140.0,7.073473213505943,0.16091796481299495,3.715363220162263,29.427699637982315,3.7917327232593387,33.50000000054083,0.25060996734464713,True,True,False,False,False,0.0,-5.408296033238003e-10,reduced_model
145.0,7.073473213505943,0.16288281848341327,3.719640386861846,29.557964533475243,3.7917327232593387,33.50000000054083,0.25060996734464713,True,True,False,False,False,0.0,-5.408296033238003e-10,reduced_model
150.0,6.684891207069644,0.16473973270759928,3.714371209737401,29.674536446279244,3.7869763022770067,33.500000000321094,0.25588895049268473,True,True,False,False,True,0.35788179999872227,-3.2109426228998927e-10,reduced_model
155.0,6.684891207069644,0.1665966469317853,3.717629299874892,29.79029482650833,3.7869763022770067,33.500000000321094,0.25588895049268473,True,True,False,False,False,0.0,-3.2109426228998927e-10,reduced_model
160.0,6.684891207069644,0.16845356115597132,3.7210449361256295,29.9053675623423,3.7869763022770067,33.500000000321094,0.25588895049268473,True,True,False,False,False,0.0,-3.2109426228998927e-10,reduced_model
165.0,6.684891207069644,0.17031047538015734,3.724560575918843,30.019847354894736,3.7869763022770067,33.500000000321094,0.25588895049268473,True,True,False,False,False,0.0,-3.2109426228998927e-10,reduced_model
170.0,6.684891207069644,0.17216738960434336,3.7281332299647323,30.133800738600147,3.7869763022770067,33.500000000321094,0.25588895049268473,True,True,False,False,False,0.0,-3.2109426228998927e-10,reduced_model
175.0,6.348931412452915,0.17393098166335805,3.7234655800881247,30.2361842853372,3.7829039327895777,33.50000000114335,0.2611478771283488,True,True,False,False,True,0.3564170000008744,-1.1433485269662924e-09,reduced_model
180.0,6.348931412452915,0.17569457372237274,3.7261726699489786,30.33776640305949,3.7829039327895777,33.50000000114335,0.2611478771283488,True,True,False,False,False,0.0,-1.1433485269662924e-09,reduced_model
185.0,6.348931412452915,0.17745816578138743,3.729017949260247,30.438656028294925,3.7829039327895777,33.50000000114335,0.2611478771283488,True,True,False,False,False,0.0,-1.1433485269662924e-09,reduced_model
190.0,6.348931412452915,0.17922175784040212,3.7319514260118343,30.538933052288876,3.7829039327895777,33.50000000114335,0.2611478771283488,True,True,False,False,False,0.0,-1.1433485269662924e-09,reduced_model
195.0,6.348931412452915,0.1809853498994168,3.7349357102404572,30.638655740211206,3.7829039327895777,33.50000000114335,0.2611478771283488,True,True,False,False,False,0.0,-1.1433485269662924e-09,reduced_model
200.0,6.057644339781697,0.18266802888268951,3.730786116748214,30.728567611033448,3.779505745033687,33.50000000028198,0.26639701518586867,True,True,False,False,True,0.3528802999990148,-2.8197888468639576e-10,reduced_model
205.0,6.057644339781697,0.18435070786596222,3.733031789071853,30.817709427463736,3.779505745033687,33.50000000028198,0.26639701518586867,True,True,False,False,False,0.0,-2.8197888468639576e-10,reduced_model
210.0,6.057644339781697,0.18603338684923493,3.7353982795918035,30.906174361199092,3.779505745033687,33.50000000028198,0.26639701518586867,True,True,False,False,False,0.0,-2.8197888468639576e-10,reduced_model
215.0,6.057644339781697,0.18771606583250763,3.7378420977079605,30.994031468799626,3.779505745033687,33.50000000028198,0.26639701518586867,True,True,False,False,False,0.0,-2.8197888468639576e-10,reduced_model
220.0,6.057644339781697,0.18939874481578034,3.7403306793224953,31.081331829919044,3.779505745033687,33.50000000028198,0.26639701518586867,True,True,False,False,False,0.0,-2.8197888468639576e-10,reduced_model
225.0,5.804513725483048,0.19101110973952562,3.736628698438885,31.160286177196284,3.7767562350205566,33.50000000043124,0.271644908801855,True,True,False,False,True,0.35283979999985604,-4.3124259718752e-10,reduced_model
230.0,5.804513725483048,0.1926234746632709,3.738484699116881,31.23851296781762,3.7767562350205566,33.50000000043124,0.271644908801855,True,True,False,False,False,0.0,-4.3124259718752e-10,reduced_model
235.0,5.804513725483048,0.19423583958701618,3.74044602640392,31.316092253803873,3.7767562350205566,33.50000000043124,0.271644908801855,True,True,False,False,False,0.0,-4.3124259718752e-10,reduced_model
240.0,5.804513725483048,0.19584820451076146,3.7424747682595116,31.39308394076823,3.7767562350205566,33.50000000043124,0.271644908801855,True,True,False,False,False,0.0,-4.3124259718752e-10,reduced_model
245.0,5.804513725483048,0.19746056943450674,3.7445425053952897,31.46953289829881,3.7767562350205566,33.50000000043124,0.271644908801855,True,True,False,False,False,0.0,-4.3124259718752e-10,reduced_model
250.0,5.584531004841386,0.19901182804696269,3.741237604661522,31.53887303377081,3.7746468080054316,33.500000001024944,0.27689851843890706,True,True,False,False,True,0.35611210000024585,-1.0249436854792293e-09,reduced_model
255.0,5.584531004841386,0.20056308665941863,3.7427633669811198,31.60753438086811,3.7746468080054316,33.500000001024944,0.27689851843890706,True,True,False,False,False,0.0,-1.0249436854792293e-09,reduced_model
260.0,5.584531004841386,0.20211434527187458,3.7443883682754064,31.6755859180673,3.7746468080054316,33.500000001024944,0.27689851843890706,True,True,False,False,False,0.0,-1.0249436854792293e-09,reduced_model
265.0,5.584531004841386,0.20366560388433053,3.7460823451162972,31.743079716858524,3.7746468080054316,33.500000001024944,0.27689851843890706,True,True,False,False,False,0.0,-1.0249436854792293e-09,reduced_model
270.0,5.584531004841386,0.20521686249678647,3.747821395497153,31.810055216019524,3.7746468080054316,33.500000001024944,0.27689851843890706,True,True,False,False,False,0.0,-1.0249436854792293e-09,reduced_model
275.0,5.431420694537212,0.20672559046749125,3.7458398238581747,31.872067370716007,3.7727275963995894,33.500000000989445,0.282159302627094,True,True,False,False,True,0.11945589999959338,-9.894449704006547e-10,reduced_model
280.0,5.431420694537212,0.20823431843819604,3.747232346369225,31.933483364289565,3.7727275963995894,33.500000000989445,0.282159302627094,True,True,False,False,False,0.0,-9.894449704006547e-10,reduced_model
285.0,5.431420694537212,0.20974304640890082,3.748699394188965,31.994354661433153,3.7727275963995894,33.500000000989445,0.282159302627094,True,True,False,False,False,0.0,-9.894449704006547e-10,reduced_model
290.0,5.431420694537212,0.2112517743796056,3.750217115223449,32.05472047349369,3.7727275963995894,33.500000000989445,0.282159302627094,True,True,False,False,False,0.0,-9.894449704006547e-10,reduced_model
295.0,5.431420694537212,0.21276050235031038,3.751767788295171,32.114610846248304,3.7727275963995894,33.500000000989445,0.282159302627094,True,True,False,False,False,0.0,-9.894449704006547e-10,reduced_model
300.0,5.225207921015803,0.21421194899503698,3.7482946275471005,32.16817528896447,3.772222073601562,33.50000000011905,0.2874428893179818,True,True,False,False,True,0.3516431999996712,-1.1905143537660479e-10,reduced_model
305.0,5.225207921015803,0.21566339563976358,3.7493564696240296,32.22113718192415,3.772222073601562,33.50000000011905,0.2874428893179818,True,True,False,False,False,0.0,-1.1905143537660479e-10,reduced_model
310.0,5.225207921015803,0.21711484228449018,3.7505152451994404,32.27355462222849,3.772222073601562,33.50000000011905,0.2874428893179818,True,True,False,False,False,0.0,-1.1905143537660479e-10,reduced_model
315.0,5.225207921015803,0.21856628892921678,3.7517431414854525,32.32547203100701,3.772222073601562,33.50000000011905,0.2874428893179818,True,True,False,False,False,0.0,-1.1905143537660479e-10,reduced_model
320.0,5.225207921015803,0.22001773557394338,3.7530194361496427,32.37692359179862,3.772222073601562,33.50000000011905,0.2874428893179818,True,True,False,False,False,0.0,-1.1905143537660479e-10,reduced_model
325.0,5.10492792765019,0.22143577110940177,3.751388933376344,32.42459864948064,3.7716897620471896,33.50000000035624,0.2927397756862057,True,True,False,False,True,0.12223649999941699,-3.5623770600068383e-10,reduced_model
330.0,5.10492792765019,0.22285380664486015,3.7524191145648556,32.47176007859311,3.7716897620471896,33.50000000035624,0.2927397756862057,True,True,False,False,False,0.0,-3.5623770600068383e-10,reduced_model
335.0,5.10492792765019,0.22427184218031854,3.7535170286061326,32.518449244660836,3.7716897620471896,33.50000000035624,0.2927397756862057,True,True,False,False,False,0.0,-3.5623770600068383e-10,reduced_model
340.0,5.10492792765019,0.22568987771577692,3.754663247256675,32.56469812535288,3.7716897620471896,33.50000000035624,0.2927397756862057,True,True,False,False,False,0.0,-3.5623770600068383e-10,reduced_model
345.0,5.10492792765019,0.2271079132512353,3.7558433048461763,32.61053165951485,3.7716897620471896,33.50000000035624,0.2927397756862057,True,True,False,False,False,0.0,-3.5623770600068383e-10,reduced_model
350.0,4.995482980831114,0.22849554741257727,3.7543731132686067,32.652992865444766,3.7717254560531246,33.50000000103159,0.29805740961020605,True,True,False,False,True,0.12368330000026617,-1.0315872600585863e-09,reduced_model
355.0,4.995482980831114,0.22988318157391924,3.755319337405746,32.69498949151956,3.7717254560531246,33.50000000103159,0.29805740961020605,True,True,False,False,False,0.0,-1.0315872600585863e-09,reduced_model
360.0,4.995482980831114,0.2312708157352612,3.7563244250730383,32.7365564919938,3.7717254560531246,33.50000000103159,0.29805740961020605,True,True,False,False,False,0.0,-1.0315872600585863e-09,reduced_model
365.0,4.995482980831114,0.23265844989660317,3.7573720533097377,32.77772108033965,3.7717254560531246,33.50000000103159,0.29805740961020605,True,True,False,False,False,0.0,-1.0315872600585863e-09,reduced_model
370.0,4.995482980831114,0.23404608405794514,3.7584500664102447,32.81850466032671,3.7717254560531246,33.50000000103159,0.29805740961020605,True,True,False,False,False,0.0,-1.0315872600585863e-09,reduced_model
375.0,4.834334131349121,0.23538895464998655,3.755615158021867,32.85464065940738,3.772796048258836,33.50000000003851,0.3034050383769243,True,True,False,False,True,0.35430690000066534,-3.851141627819743e-11,reduced_model
380.0,4.834334131349121,0.23673182524202796,3.7563304628787177,32.89030643361804,3.772796048258836,33.50000000003851,0.3034050383769243,True,True,False,False,False,0.0,-3.851141627819743e-11,reduced_model
385.0,4.834334131349121,0.23807469583406937,3.7571283967973286,32.925544998999584,3.772796048258836,33.50000000003851,0.3034050383769243,True,True,False,False,False,0.0,-3.851141627819743e-11,reduced_model
390.0,4.834334131349121,0.23941756642611078,3.7579876612708394,32.96038967346047,3.772796048258836,33.50000000003851,0.3034050383769243,True,True,False,False,False,0.0,-3.851141627819743e-11,reduced_model
395.0,4.834334131349121,0.2407604370181522,3.7588923560733813,32.99486649934268,3.772796048258836,33.50000000003851,0.3034050383769243,True,True,False,False,False,0.0,-3.851141627819743e-11,reduced_model
400.0,4.705275511132344,0.24206745799346674,3.7566811000983584,33.02565444616109,3.776664577117478,33.500000000133745,0.3087786021735446,True,True,False,False,True,0.12118830000144953,-1.3374545915212366e-10,reduced_model
405.0,4.705275511132344,0.24337447896878128,3.7573259811224347,33.056018749792315,3.776664577117478,33.500000000133745,0.3087786021735446,True,True,False,False,False,0.0,-1.3374545915212366e-10,reduced_model
410.0,4.705275511132344,0.24468149994409583,3.758047328760907,33.085997430423944,3.776664577117478,33.500000000133745,0.3087786021735446,True,True,False,False,False,0.0,-1.3374545915212366e-10,reduced_model
415.0,4.705275511132344,0.24598852091941037,3.758826133227786,33.11562007878403,3.776664577117478,33.500000000133745,0.3087786021735446,True,True,False,False,False,0.0,-1.3374545915212366e-10,reduced_model
420.0,4.705275511132344,0.2472955418947249,3.7596481934288164,33.14490995536638,3.776664577117478,33.500000000133745,0.3087786021735446,True,True,False,False,False,0.0,-1.3374545915212366e-10,reduced_model
425.0,4.557675684036628,0.2485615629180684,3.756902088058493,33.1701620919909,3.781186623797584,33.500000001326924,0.31416759149974866,True,True,False,False,True,0.23630130000128702,-1.3269243481772719e-09,reduced_model
430.0,4.557675684036628,0.2498275839414119,3.757418783933106,33.195012421261474,3.781186623797584,33.500000001326924,0.31416759149974866,True,True,False,False,False,0.0,-1.3269243481772719e-09,reduced_model
435.0,4.557675684036628,0.2510936049647554,3.7580208964393904,33.21950047391917,3.781186623797584,33.500000001326924,0.31416759149974866,True,True,False,False,False,0.0,-1.3269243481772719e-09,reduced_model
440.0,4.557675684036628,0.2523596259880989,3.7586878836920303,33.24365698338057,3.781186623797584,33.500000001326924,0.31416759149974866,True,True,False,False,False,0.0,-1.3269243481772719e-09,reduced_model
445.0,4.557675684036628,0.2536256470114424,3.7594043828780896,33.267506076487905,3.781186623797584,33.500000001326924,0.31416759149974866,True,True,False,False,False,0.0,-1.3269243481772719e-09,reduced_model
450.0,4.40530672368558,0.2548493433235773,3.7564426559236206,33.287333459058914,3.785697979653545,33.50000000619233,0.3195669832058455,True,True,False,False,True,0.27530859999933455,-6.19233020415777e-09,reduced_model
455.0,4.40530672368558,0.25607303963571215,3.7568529356948313,33.30678640439195,3.785697979653545,33.50000000619233,0.3195669832058455,True,True,False,False,False,0.0,-6.19233020415777e-09,reduced_model
460.0,4.40530672368558,0.257296735947847,3.757354843770192,33.32590471847717,3.785697979653545,33.50000000619233,0.3195669832058455,True,True,False,False,False,0.0,-6.19233020415777e-09,reduced_model
465.0,4.40530672368558,0.2585204322599819,3.757926913813481,33.3447193407323,3.785697979653545,33.50000000619233,0.3195669832058455,True,True,False,False,False,0.0,-6.19233020415777e-09,reduced_model
470.0,4.40530672368558,0.25974412857211676,3.758553076833288,33.3632545507084,3.785697979653545,33.50000000619233,0.3195669832058455,True,True,False,False,False,0.0,-6.19233020415777e-09,reduced_model
475.0,4.249877825685519,0.26092465019036276,3.7554310720858766,33.377838093793834,3.7902259399655507,33.50000000085089,0.3249747236040541,True,True,False,False,True,0.20106000000123458,-8.508891369274352e-10,reduced_model
480.0,4.249877825685519,0.26210517180860876,3.7557517117407944,33.39207761217724,3.7902259399655507,33.50000000085089,0.3249747236040541,True,True,False,False,False,0.0,-8.508891369274352e-10,reduced_model
485.0,4.249877825685519,0.26328569342685476,3.756168542094763,33.40601249416588,3.7902259399655507,33.50000000085089,0.3249747236040541,True,True,False,False,False,0.0,-8.508891369274352e-10,reduced_model
490.0,4.249877825685519,0.26446621504510076,3.7566595046511666,33.41967335376735,3.7902259399655507,33.50000000085089,0.3249747236040541,True,True,False,False,False,0.0,-8.508891369274352e-10,reduced_model
495.0,4.249877825685519,0.26564673666334676,3.7572080739486764,33.43308421306421,3.7902259399655507,33.50000000085089,0.3249747236040541,True,True,False,False,False,0.0,-8.508891369274352e-10,reduced_model
500.0,4.088647647217479,0.26678247212090717,3.7538705766606384,33.44256051055894,3.79474579601337,33.50000001998073,0.33038927812491303,True,True,False,False,True,0.27418279999983497,-1.9980731735813606e-08,reduced_model
505.0,4.088647647217479,0.26791820757846757,3.75410576379048,33.45172262824466,3.79474579601337,33.50000001998073,0.33038927812491303,True,True,False,False,False,0.0,-1.9980731735813606e-08,reduced_model
510.0,4.088647647217479,0.269053943036028,3.7544423098496167,33.460609719718576,3.79474579601337,33.50000001998073,0.33038927812491303,True,True,False,False,False,0.0,-1.9980731735813606e-08,reduced_model
515.0,4.088647647217479,0.2701896784935884,3.7548573450526237,33.46925220172685,3.79474579601337,33.50000001998073,0.33038927812491303,True,True,False,False,False,0.0,-1.9980731735813606e-08,reduced_model
520.0,4.088647647217479,0.2713254139511488,3.7553337240318942,33.4776739264663,3.79474579601337,33.50000001998073,0.33038927812491303,True,True,False,False,False,0.0,-1.9980731735813606e-08,reduced_model
525.0,3.9242615241289687,0.27241548659674014,3.751850519405209,33.48225045022908,3.7992501873160243,33.50000000136111,0.3358092100044678,True,True,False,False,True,0.35414289999971515,-1.3611085591946903e-09,reduced_model
