time_s,charge_current_a,terminal_voltage_v,battery_ocv_v,soc,average_temperature_c,total_heating_w,discharge_capacity_ah,profile_name
0.0,5.0,3.4372036541517015,3.295907014731954,0.1,25.0,0.7064744614010283,0.0,thermal_training
5.0,5.0,3.4696795870279455,3.3006203414612933,0.10138888888888889,25.08377642870238,0.7308724326035508,-0.006944444444444443,thermal_training
10.0,5.0,3.4894135831500135,3.3053370400515396,0.10277777777777779,25.16969397792002,0.7521171776665919,-0.013888888888888885,thermal_training
15.0,5.0,3.505182437613604,3.310052329989389,0.10416666666666667,25.257382913002402,0.7704610147493486,-0.02083333333333333,thermal_training
20.0,5.0,3.518571685411871,3.3147609443392807,0.10555555555555556,25.346511378096807,0.7861784290895797,-0.02777777777777777,thermal_training
25.0,5.0,3.5302444118413296,3.3194571980829006,0.10694444444444445,25.436776999566234,0.7994811971713145,-0.03472222222222221,thermal_training
30.0,5.0,3.5405699799710133,3.324135062965135,0.10833333333333334,25.52790437268942,0.8105935066752077,-0.04166666666666665,thermal_training
35.0,5.0,3.5497786738408403,3.328788247515968,0.10972222222222222,25.619646089182822,0.8197601938022937,-0.0486111111111111,thermal_training
40.0,5.0,3.558046042543178,3.3334102807277906,0.11111111111111112,25.71178367677834,0.8271773198763354,-0.05555555555555554,thermal_training
45.0,5.0,3.565513125255955,3.3379945977291774,0.1125,25.80412703215518,0.8331036528521857,-0.062499999999999986,thermal_training
50.0,5.0,3.5722912625847085,3.342534625716782,0.11388888888888889,25.896512986551954,0.8377508510755443,-0.06944444444444442,thermal_training
55.0,5.0,3.5784723696772005,3.3470238683911164,0.11527777777777778,25.988801713820976,0.8412997129487852,-0.07638888888888887,thermal_training
60.0,5.0,3.5841314500843144,3.351455987190563,0.11666666666666667,26.080876109683004,0.8439207559456376,-0.08333333333333331,thermal_training
65.0,5.0,3.5893287161862575,3.3558248777281707,0.11805555555555555,26.172640251697942,0.8457722341139443,-0.09027777777777775,thermal_training
70.0,5.0,3.594121640182775,3.3601247400014573,0.11944444444444444,26.264010670030586,0.8469745854860002,-0.0972222222222222,thermal_training
75.0,5.0,3.598553976097031,3.3643501411577983,0.12083333333333333,26.354921077956135,0.8476225804184759,-0.10416666666666663,thermal_training
80.0,5.0,3.6026638763997996,3.3684960698458926,0.12222222222222222,26.445315577426697,0.8477643027943829,-0.11111111111111108,thermal_training
85.0,5.0,3.6064904286675667,3.372557981454233,0.12361111111111112,26.53514681419466,0.8475320667485526,-0.11805555555555552,thermal_training
90.0,5.0,3.610063610264242,3.3765318338181953,0.125,26.62437921475737,0.8470039737112885,-0.12499999999999996,thermal_training
95.0,5.0,3.613407932153424,3.380414113254709,0.12638888888888888,26.712980937547627,0.8462030010420916,-0.1319444444444444,thermal_training
100.0,5.0,3.616546627103604,3.3842018510463787,0.12777777777777777,26.800928144684462,0.8451857130673787,-0.13888888888888884,thermal_training
105.0,5.0,3.6194993776404885,3.3878926307356187,0.12916666666666665,26.888202357907403,0.8439916498572851,-0.14583333333333326,thermal_training
110.0,5.0,3.6222841004742676,3.3914845867954813,0.13055555555555554,26.974788106311166,0.8426512942127592,-0.1527777777777777,thermal_training
115.0,5.0,3.6249157639721306,3.3949763954128525,0.13194444444444442,27.060675347052836,0.8411885601163624,-0.15972222222222213,thermal_training
120.0,5.0,3.627408478629749,3.3983672582481597,0.13333333333333333,27.14585559862553,0.8396261929726524,-0.1666666666666666,thermal_training
125.0,5.0,3.629774753119361,3.401656880123544,0.13472222222222222,27.230323955056463,0.8379861473135589,-0.17361111111111102,thermal_training
130.0,5.0,3.6320263956193086,3.404845441639305,0.1361111111111111,27.31407708004724,0.836291596693324,-0.18055555555555547,thermal_training
135.0,5.0,3.634174835744143,3.407933567730771,0.13749999999999998,27.39711297724392,0.8345700176775624,-0.18749999999999992,thermal_training
140.0,5.0,3.636228278209571,3.4109222931570917,0.1388888888888889,27.479432339605125,0.8328213902583742,-0.19444444444444436,thermal_training
145.0,5.0,3.6381944957616916,3.4138130258670487,0.14027777777777778,27.561036481845633,0.8310456759939456,-0.2013888888888888,thermal_training
150.0,5.0,3.6400810909784402,3.416607509118387,0.14166666666666666,27.641926821141283,0.8292438252031045,-0.20833333333333323,thermal_training
155.0,5.0,3.6418959947548073,3.419307783143707,0.14305555555555555,27.722105950838795,0.8274333699257247,-0.21527777777777768,thermal_training
160.0,5.0,3.643646872272745,3.421916147061594,0.14444444444444443,27.80157853419547,0.8256415936565106,-0.22222222222222213,thermal_training
165.0,5.0,3.6453386970167383,3.424435121632398,0.14583333333333331,27.880349781210384,0.82386039082324,-0.22916666666666657,thermal_training
170.0,5.0,3.6469767180421107,3.426867413357192,0.1472222222222222,27.958425535897334,0.8220937750010899,-0.236111111111111,thermal_training
175.0,5.0,3.648565991127448,3.4292158803202555,0.14861111111111108,28.03581119621623,0.8203467202047933,-0.24305555555555544,thermal_training
180.0,5.0,3.650110200225509,3.431483500082179,0.14999999999999997,28.112515134269643,0.818617335789933,-0.2499999999999999,thermal_training
185.0,5.0,3.651612829420296,3.4336733398446095,0.15138888888888885,28.18854551830276,0.8169041914021007,-0.2569444444444443,thermal_training
190.0,5.0,3.653079770651531,3.4357885290303214,0.15277777777777773,28.263905492601225,0.8152231755888782,-0.26388888888888873,thermal_training
195.0,5.0,3.6545132286113198,3.437832234354219,0.15416666666666665,28.338604989100872,0.8135677692501803,-0.2708333333333332,thermal_training
200.0,5.0,3.655916026032096,3.439807637402451,0.15555555555555553,28.412652384234207,0.8119367708074963,-0.2777777777777776,thermal_training
205.0,5.0,3.657292072492128,3.441717914688143,0.15694444444444444,28.48605258475982,0.8103352846855593,-0.2847222222222221,thermal_training
210.0,5.0,3.6586437951578463,3.443566220112464,0.15833333333333333,28.558813714113853,0.8087612256819419,-0.2916666666666665,thermal_training
215.0,5.0,3.659973423803769,3.4453556697288397,0.1597222222222222,28.630943768216753,0.8072118372706827,-0.298611111111111,thermal_training
220.0,5.0,3.6612839490227405,3.447089328684453,0.1611111111111111,28.702450032103513,0.80569507711689,-0.30555555555555547,thermal_training
225.0,5.0,3.6625780330022875,3.448770200196974,0.16249999999999998,28.77333993966164,0.8042170112971041,-0.3124999999999999,thermal_training
230.0,5.0,3.6638575741142017,3.45040121641352,0.16388888888888886,28.84362131934364,0.8027764208902293,-0.31944444444444436,thermal_training
235.0,5.0,3.6651242878104204,3.4519852309935786,0.16527777777777775,28.913301741167004,0.8013721106469912,-0.3263888888888888,thermal_training
240.0,5.0,3.6663793398099216,3.4535250132559376,0.16666666666666666,28.982388626766237,0.7999984391877283,-0.33333333333333326,thermal_training
245.0,5.0,3.6676242289033842,3.4550232437319637,0.16805555555555554,29.05088975007095,0.7986548392511735,-0.3402777777777777,thermal_training
250.0,5.0,3.668860247900045,3.45648251097191,0.16944444444444445,29.118812742672333,0.7973399540839227,-0.34722222222222215,thermal_training
255.0,5.0,3.6700897708797253,3.457905309457851,0.17083333333333334,29.18616498691705,0.7960660655913402,-0.35416666666666663,thermal_training
260.0,5.0,3.671313556223603,3.459294038484717,0.17222222222222222,29.252954181664222,0.7948282996252242,-0.36111111111111105,thermal_training
265.0,5.0,3.67253274202819,3.4606510018801826,0.1736111111111111,29.319187923696745,0.7936272638399765,-0.36805555555555547,thermal_training
270.0,5.0,3.6737483503472337,3.461978408443693,0.175,29.384873811719842,0.7924633177723317,-0.37499999999999994,thermal_training
