soc,ocv_v
0.1,3.2959070147319616
0.2,3.4851888247402765
0.3,3.5814459862576618
0.4,3.667006606987148
0.5,3.7508736084473475
0.6,3.8405766683764937
0.7,3.9479063986111793
0.8,4.0420800012812155
