time_s,charge_current_a,terminal_voltage_v,battery_ocv_v,soc,average_temperature_c,total_heating_w,discharge_capacity_ah,profile_name,initial_soc
0.0,-0.0,3.2959070147324505,3.295907014731954,0.1,25.0,5.9359402748292716e-24,0.0,pulse_soc_0.10,0.1
5.0,-0.0,3.2959070147325127,3.295907014731963,0.1,25.0,6.063972013409814e-24,0.0,pulse_soc_0.10,0.1
10.0,-0.0,3.2959070147326033,3.2959070147319762,0.1,25.0,7.111062577114985e-24,0.0,pulse_soc_0.10,0.1
15.0,-0.0,3.2959070147327423,3.2959070147319904,0.1,25.0,9.522652171320072e-24,0.0,pulse_soc_0.10,0.1
20.0,-0.0,3.2959070147326877,3.2959070147319993,0.1,25.0,7.569446866167792e-24,0.0,pulse_soc_0.10,0.1
25.0,-0.0,3.2959070147326184,3.2959070147320064,0.1,25.0,5.561656651819225e-24,0.0,pulse_soc_0.10,0.1
30.0,-0.0,3.29590701473255,3.2959070147320144,0.1,25.0,3.8872748628829926e-24,0.0,pulse_soc_0.10,0.1
35.0,-0.0,3.2959070147326814,3.2959070147320353,0.1,25.0,5.645038385349396e-24,0.0,pulse_soc_0.10,0.1
40.0,-0.0,3.2959070147328458,3.295907014732058,0.1,25.0,8.486222981807868e-24,0.0,pulse_soc_0.10,0.1
45.0,-0.0,3.295907014733011,3.295907014732081,0.1,25.0,1.1932353559960883e-23,0.0,pulse_soc_0.10,0.1
50.0,-0.0,3.295907014733176,3.2959070147321037,0.1,25.0,1.596947285729917e-23,0.0,pulse_soc_0.10,0.1
55.0,-0.0,3.2959070147333414,3.2959070147321246,0.1,25.0,2.0577367831463351e-23,0.0,pulse_soc_0.10,0.1
60.0,-0.0,3.2959070147335057,3.295907014732146,0.1,25.0,2.575882173653832e-23,0.0,pulse_soc_0.10,0.1
60.00000000000001,2.5,3.384097591849998,3.295907014732146,0.1,24.999999999999943,0.2204730058500554,2.2039797287556895e-18,pulse_soc_0.10,0.1
65.0,2.5,3.40041842065098,3.2982629785497424,0.10069444444444445,25.026071845610886,0.22685170545147976,-0.00347222222222221,pulse_soc_0.10,0.1
70.0,2.5,3.4104071431606915,3.300620341461492,0.10138888888888889,25.052671120213176,0.2323064884224844,-0.006944444444444423,pulse_soc_0.10,0.1
75.0,2.5,3.4184070020513104,3.3029785559043607,0.10208333333333333,25.079691457414356,0.23690678867425924,-0.010416666666666635,pulse_soc_0.10,0.1
80.0,2.5,3.4252664769815526,3.3053370400517412,0.10277777777777777,25.10703707336802,0.24077950806858642,-0.013888888888888855,pulse_soc_0.10,0.1
85.0,2.5,3.4313229507653853,3.307695179651306,0.10347222222222222,25.134627080638666,0.24402351722141083,-0.01736111111111108,pulse_soc_0.10,0.1
90.0,2.5,3.4367681304939897,3.310052329989602,0.10416666666666667,25.162391940961584,0.24672471213261102,-0.0208333333333333,pulse_soc_0.10,0.1
90.00000000000001,-0.0,3.3477310597624412,3.310052329989602,0.10416666666666667,25.162391940961584,-4.997235283220938e-05,-0.0208333333333333,pulse_soc_0.10,0.1
95.0,-0.0,3.3364833313630937,3.3100523299896105,0.10416666666666667,25.161376929460516,-9.1156118999475e-05,-0.0208333333333333,pulse_soc_0.10,0.1
100.0,-0.0,3.331301409711739,3.31005232998962,0.10416666666666667,25.160369401660603,-6.143534010055325e-05,-0.0208333333333333,pulse_soc_0.10,0.1
105.0,-0.0,3.3278029960095887,3.310052329989627,0.10416666666666667,25.15937171280916,-3.218472886787436e-05,-0.0208333333333333,pulse_soc_0.10,0.1
110.0,-0.0,3.3251898023027957,3.3100523299896345,0.10416666666666667,25.158383155143383,-1.0903027578689817e-05,-0.0208333333333333,pulse_soc_0.10,0.1
115.0,-0.0,3.323144562385843,3.310052329989644,0.10416666666666667,25.157402756004956,3.27805376751449e-06,-0.0208333333333333,pulse_soc_0.10,0.1
120.0,-0.0,3.3214930728281304,3.310052329989651,0.10416666666666667,25.156429751635528,1.2259191003834638e-05,-0.0208333333333333,pulse_soc_0.10,0.1
125.0,-0.0,3.32013090872122,3.3100523299896536,0.10416666666666667,25.155463589867225,1.768370827071893e-05,-0.0208333333333333,pulse_soc_0.10,0.1
130.0,-0.0,3.318994123551171,3.3100523299896603,0.10416666666666667,25.15450388916406,2.072403521381449e-05,-0.0208333333333333,pulse_soc_0.10,0.1
135.0,-0.0,3.31803422813371,3.3100523299896647,0.10416666666666667,25.153550381147852,2.218013879524169e-05,-0.0208333333333333,pulse_soc_0.10,0.1
140.0,-0.0,3.317215859505428,3.310052329989674,0.10416666666666667,25.15260287921035,2.2598038846415874e-05,-0.0208333333333333,pulse_soc_0.10,0.1
145.0,-0.0,3.3165126828652416,3.310052329989683,0.10416666666666667,25.151661249116557,2.2359707903164883e-05,-0.0208333333333333,pulse_soc_0.10,0.1
150.0,-0.0,3.315904660933513,3.3100523299896887,0.10416666666666667,25.15072539293527,2.1713286376270215e-05,-0.0208333333333333,pulse_soc_0.10,0.1
155.0,-0.0,3.3153762375667846,3.3100523299896962,0.10416666666666667,25.149795239738012,2.0824945197080017e-05,-0.0208333333333333,pulse_soc_0.10,0.1
160.0,-0.0,3.314914825052738,3.310052329989717,0.10416666666666667,25.148870735262904,1.9809027148432448e-05,-0.0208333333333333,pulse_soc_0.10,0.1
165.0,-0.0,3.3145093083479247,3.3100523299897575,0.10416666666666667,25.14795183092457,1.874634438476115e-05,-0.0208333333333333,pulse_soc_0.10,0.1
170.0,-0.0,3.314151554588095,3.3100523299898077,0.10416666666666667,25.14703848167187,1.767279480562327e-05,-0.0208333333333333,pulse_soc_0.10,0.1
175.0,-0.0,3.3138341624842926,3.3100523299898468,0.10416666666666667,25.146130645208643,1.6621014302297433e-05,-0.0208333333333333,pulse_soc_0.10,0.1
180.0,-0.0,3.313552580155425,3.310052329989878,0.10416666666666667,25.145228312458812,1.56288087711622e-05,-0.0208333333333333,pulse_soc_0.10,0.1
185.0,-0.0,3.313301938337502,3.310052329989894,0.10416666666666667,25.144331452063,1.469029157933322e-05,-0.0208333333333333,pulse_soc_0.10,0.1
190.0,-0.0,3.3130782330405886,3.310052329989904,0.10416666666666667,25.143440036872335,1.3796595825523968e-05,-0.0208333333333333,pulse_soc_0.10,0.1
195.0,-0.0,3.312877721301894,3.3100523299899063,0.10416666666666667,25.142554040437517,1.2965823025384497e-05,-0.0208333333333333,pulse_soc_0.10,0.1
200.0,-0.0,3.3126975509873535,3.310052329989907,0.10416666666666667,25.14167343633511,1.2196149416756894e-05,-0.0208333333333333,pulse_soc_0.10,0.1
205.0,-0.0,3.3125350713195774,3.3100523299899094,0.10416666666666667,25.14079819337786,1.148175828577491e-05,-0.0208333333333333,pulse_soc_0.10,0.1
210.0,-0.0,3.312388128206739,3.3100523299899134,0.10416666666666667,25.139928284965436,1.082084895078242e-05,-0.0208333333333333,pulse_soc_0.10,0.1
215.0,-0.0,3.312254917494803,3.3100523299899236,0.10416666666666667,25.13906368542814,1.0210123988035478e-05,-0.0208333333333333,pulse_soc_0.10,0.1
