scenario_id,scenario_kind,initial_soc,ambient_temperature_c,capacity_multiplier,resistance_multiplier,time_constant_multiplier,heat_capacity_multiplier,thermal_resistance_multiplier,heat_gain_multiplier,soc_bias,temperature_bias_c,polarization_fast_bias_v,polarization_slow_bias_v,noise_scale,controller,controller_declared_complete,completion_success,physical_safe,teacher_feasible,charge_time_min,final_true_soc,terminal_true_soc_error,maximum_voltage_v,maximum_temperature_c,maximum_current_a,maximum_current_change_a,optimization_count,optimizer_success_fraction,fallback_count,mean_solve_time_ms,maximum_solve_time_ms,required_optimizer_success_fraction,maximum_allowed_fallback_count,voltage_limit_exceeded,temperature_limit_exceeded,current_limit_exceeded,current_change_limit_exceeded,active_voltage_constraint_count,active_voltage_constraint_fraction,active_temperature_constraint_count,active_temperature_constraint_fraction,active_current_upper_constraint_count,active_current_upper_constraint_fraction,active_current_change_constraint_count,active_current_change_constraint_fraction,infeasibility_reasons
corner_cold_resistive,directed_corner,0.1,15.0,1.0,1.2,1.2,1.0,1.0,1.0,0.0,0.0,-0.005,-0.005,1.0,nominal_mpc,True,True,False,False,44.083333333333336,0.8022235370156638,0.0022235370156638,4.1865972392878135,33.87453116073899,10.0,6.76058390927369,149,0.8859060402684564,17,960.5961127515104,4730.735099998128,0.95,0,False,False,False,True,71,0.4765100671140939,97,0.6510067114093959,8,0.0536912751677852,53,0.3557046979865771,current_change_violation;optimizer_success_fraction;mpc_fallback
corner_cold_resistive,directed_corner,0.1,15.0,1.0,1.2,1.2,1.0,1.0,1.0,0.0,0.0,-0.005,-0.005,1.0,oracle_mpc,True,True,False,False,44.41666666666666,0.8010861047311214,0.0010861047311213,4.152490996625159,33.74299916041943,10.0,6.230536266126139,134,0.9253731343283582,10,739.3894850751736,4589.407300001767,0.95,0,False,False,False,True,69,0.5149253731343284,81,0.6044776119402985,7,0.0522388059701492,34,0.2537313432835821,current_change_violation;optimizer_success_fraction;mpc_fallback
corner_hot_resistive_optimistic,directed_corner,0.1,30.0,0.9,1.2,1.0,0.85,1.2,1.1,0.005,-0.5,-0.005,-0.005,1.0,nominal_mpc,False,False,False,False,60.0,0.5331809203334636,-0.2668190796665364,3.930582661297195,34.65378349494783,6.528393566290857,3.74569676147804,205,0.6,82,1753.3774478046903,7144.567099996493,0.95,0,False,False,False,True,0,0.0,205,1.0,0,0.0,76,0.3707317073170731,target_not_reached;current_change_violation;optimizer_success_fraction;mpc_fallback
corner_hot_resistive_optimistic,directed_corner,0.1,30.0,0.9,1.2,1.0,0.85,1.2,1.1,0.005,-0.5,-0.005,-0.005,1.0,oracle_mpc,False,False,False,False,60.0,0.5686121870581766,-0.2313878129418234,3.9393867435924936,34.40327660793239,5.447229388717648,2.8139582452011447,178,0.7584269662921348,43,1129.2867938199165,6712.564300003578,0.95,0,False,False,False,True,1,0.0056179775280898,178,1.0,0,0.0,42,0.2359550561797752,target_not_reached;current_change_violation;optimizer_success_fraction;mpc_fallback
corner_observer_optimistic,directed_corner,0.3,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,-0.5,-0.005,-0.005,1.0,nominal_mpc,True,True,False,False,37.16666666666666,0.7948609302307993,-0.0051390697692007,4.145202463665768,34.2440085584997,9.999999999999998,4.987292204741474,118,0.8728813559322034,15,1020.7557499999308,7246.326000000408,0.95,0,False,False,False,True,46,0.3898305084745763,90,0.7627118644067796,2,0.0169491525423728,36,0.3050847457627119,current_change_violation;optimizer_success_fraction;mpc_fallback
corner_observer_optimistic,directed_corner,0.3,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,-0.5,-0.005,-0.005,1.0,oracle_mpc,True,True,False,False,37.16666666666666,0.7948609302307993,-0.0051390697692007,4.145202463665768,34.2440085584997,9.999999999999998,4.987292204741474,118,0.8728813559322034,15,1016.007760169502,4767.44769999641,0.95,0,False,False,False,True,46,0.3898305084745763,90,0.7627118644067796,2,0.0169491525423728,36,0.3050847457627119,current_change_violation;optimizer_success_fraction;mpc_fallback
corner_observer_pessimistic,directed_corner,0.3,25.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.005,0.5,0.005,0.005,1.0,nominal_mpc,True,True,False,False,40.083333333333336,0.8021160890029344,0.0021160890029343,4.143349283621974,33.35005618755169,9.572709447538733,4.649852270717373,129,0.8682170542635659,17,1119.743176744398,6738.336399997934,0.95,0,False,False,False,True,48,0.3720930232558139,102,0.7906976744186046,0,0.0,41,0.3178294573643411,current_change_violation;optimizer_success_fraction;mpc_fallback
corner_observer_pessimistic,directed_corner,0.3,25.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.005,0.5,0.005,0.005,1.0,oracle_mpc,True,True,False,False,40.083333333333336,0.8021160890029344,0.0021160890029343,4.143349283621974,33.35005618755169,9.572709447538733,4.649852270717373,129,0.8682170542635659,17,1174.1911542638884,7159.230999997817,0.95,0,False,False,False,True,48,0.3720930232558139,102,0.7906976744186046,0,0.0,41,0.3178294573643411,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_000,latin_hypercube,0.1261787594640073,17.197093080890664,0.9251706122666652,1.1058862750601826,0.8497595631788353,0.921000016755584,0.9134428748621496,1.023286497566416,-0.0019167610650933,-0.1699547282144091,0.0041265247862589,-0.0008546257208345,1.0,nominal_mpc,True,True,False,False,38.16666666666666,0.8012742311339767,0.0012742311339766,4.160837872033598,34.01661752534032,10.0,6.428109751310772,117,0.9316239316239316,8,892.1321512818829,5266.817099996842,0.95,0,False,False,False,True,59,0.5042735042735043,72,0.6153846153846154,6,0.0512820512820512,31,0.2649572649572649,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_000,latin_hypercube,0.1261787594640073,17.197093080890664,0.9251706122666652,1.1058862750601826,0.8497595631788353,0.921000016755584,0.9134428748621496,1.023286497566416,-0.0019167610650933,-0.1699547282144091,0.0041265247862589,-0.0008546257208345,1.0,oracle_mpc,True,True,False,False,38.91666666666666,0.8008272129241437,0.0008272129241436,4.145194157819108,34.03076679002537,10.0,5.42540832232534,115,0.9391304347826088,7,827.9086634779284,3501.692300000286,0.95,0,False,False,False,True,62,0.5391304347826087,72,0.6260869565217392,5,0.0434782608695652,27,0.2347826086956521,current_change_violation;optimizer_success_fraction;mpc_fallback
lhs_001,latin_hypercube,0.1447699427665032,22.460928663984188,1.0811353138604347,1.0660024965447432,0.9959626592611058,0.8846940905885763,1.0794193022653285,1.007714679691327,-0.0004777844742882,-0.1138401732280546,-0.0006265000995984,-0.0017640630404429,1.0,nominal_mpc,True,True,False,False,53.083333333333336,0.7979158942528598,-0.0020841057471402,4.153812004062157,34.09962524309393,10.0,5.624969967426744,189,0.8253968253968254,33,1358.1132518519307,7247.729000002437,0.95,0,False,False,False,True,62,0.328042328042328,155,0.8201058201058201,2,0.0105820105820105,76,0.4021164021164021,current_change_violation;optimizer_success_fraction;mpc_fallback
