seed,mean_current_nrmse,maximum_current_nrmse,mean_charge_time_gap_fraction,target_reach_fraction,maximum_voltage_v,maximum_voltage_violation_v,maximum_current_violation_a,maximum_slew_violation_a,maximum_current_step_a,projection_intervention_count,projection_intervention_fraction,speedup
22,0.003381534657440345,0.0037618584483946117,0.008690391156323104,1.0,4.216401066999804,0.016401066999804037,0.0,4.440892098500626e-16,2.0000000000000004,7,0.0026395173453996985,545.3008940794172
42,0.0029411049178834354,0.003770186622796032,0.0060375844744846125,1.0,4.216231578469966,0.01623157846996559,0.0,0.0,2.0,11,0.004089219330855019,560.3137868623342
73,0.0022987757147900248,0.0029610395288812985,0.004607250085499078,1.0,4.2157178277202725,0.015717827720272304,0.0,0.0,2.0,12,0.004506196019526849,566.4873008596322
101,0.0022823985767656146,0.0034436650677421806,0.007784165782012623,1.0,4.215036645549041,0.015036645549041161,0.0,4.440892098500626e-16,2.0000000000000004,10,0.0037678975131876413,569.4487643474723
137,0.002917910440082789,0.003402021682252551,0.0060375844744846125,1.0,4.216036598403413,0.01603659840341276,0.0,0.0,2.0,8,0.002973977695167286,576.4919413294429
