architecture,optimizer,seed_count,best_validation_seed,best_validation_nrmse,best_seed_test_nrmse,train_nrmse_mean,train_nrmse_std,train_nrmse_best,train_maximum_absolute_error_a_mean,train_maximum_absolute_error_a_std,train_maximum_absolute_error_a_best,validation_nrmse_mean,validation_nrmse_std,validation_nrmse_best,validation_maximum_absolute_error_a_mean,validation_maximum_absolute_error_a_std,validation_maximum_absolute_error_a_best,test_nrmse_mean,test_nrmse_std,test_nrmse_best,test_maximum_absolute_error_a_mean,test_maximum_absolute_error_a_std,test_maximum_absolute_error_a_best,test_nrmse_range
16-16,adam,5,22,0.0525324455159886,0.0567023817509107,0.052463414534933105,0.00019253056827990783,0.0523080127984446,1.8546370733818307,0.03714639510561333,1.81197628795689,0.05306591943299514,0.0005027050419293719,0.0525324455159886,1.8009075356218402,0.05802340196198591,1.7268214629500225,0.0571727017880562,0.0010818173837105372,0.0563368442514037,1.8537975611812207,0.12541171987551739,1.7131766760986968,0.0026140176926635963
16-16,adam_lbfgs,5,101,0.0530112649771219,0.062272499106502,0.0497502686615013,0.00046405513111066036,0.0491220325121363,2.0455250742635362,0.0698231564286174,1.9450219467450016,0.0549131009491932,0.0015318736169075598,0.0530112649771219,2.0501374256437273,0.13704343989688073,1.9274729495790792,0.061281846961045126,0.002337458305074161,0.0573426093211235,2.4613573620885836,0.37907992517308536,2.002461408683412,0.006045441883630105
16-16,lbfgs,5,73,0.0531339533038657,0.0568783023883443,0.049400967847793666,0.0007265741042078226,0.0485971651191032,1.9804448053072707,0.044279376756718884,1.931959488081996,0.05681192691554569,0.002950185482746121,0.0531339533038657,2.406102848694352,0.3434762015086842,1.9515016209204417,0.06103327358524065,0.0028278169061866855,0.0568783023883443,2.58581093496288,0.7012143287564712,2.142717622883553,0.006373027517818604
32-32-16,adam,5,73,0.0662887045908874,0.0736724369601159,0.04016627307702304,0.0011112376811760211,0.0382271158028299,1.9729047158956852,0.16081291487141464,1.8215565639265625,0.06968742000268716,0.0022490974694615697,0.0662887045908874,3.038009996848011,0.3763394427486006,2.672631539617496,0.07862904983469084,0.0030030486810432738,0.0736724369601159,3.62538212005279,0.5242789673666344,3.007948672441083,0.007795614047702709
32-32-16,adam_lbfgs,5,73,0.0983632327800884,0.110466100685785,0.030886723740788397,0.001113102833077985,0.0293432472838294,1.795726025701607,0.0767677209943079,1.7253815833758086,0.10007981269247179,0.001855287465403725,0.0983632327800884,5.292982546788082,0.6011575535508591,4.422631046889033,0.10683820694234783,0.006215953508094529,0.1018368660783972,4.810728558401165,0.8254305806838824,3.770418148296217,0.014241041032620902
32-32-16,lbfgs,5,101,0.0855492120536846,0.1135087438397641,0.03253850048702562,0.0010286589757675872,0.0312760403045589,1.8403635735398436,0.07354171087945727,1.711158540249179,0.09078257033522788,0.004586689401499535,0.0855492120536846,4.484936263594425,0.3357195650394309,4.163677001637173,0.1183294809847844,0.008794956414197228,0.1082277013451523,5.85874358040307,0.7475175852468303,4.785664541079643,0.0208179163272047
64-64-32,adam,5,101,0.0851613660626411,0.0962565411527342,0.02425673369261904,0.0013717025383403832,0.022288844731862,1.7002435778892004,0.10525853075436797,1.5790790377763972,0.09176617780877266,0.005798001541119336,0.0851613660626411,4.288951476058055,0.5647580880902665,3.681176442600744,0.10368478080447933,0.00834434490881183,0.0962565411527342,4.023532563200529,0.7177992969332595,3.1777953539808577,0.021355959726919102
64-64-32,adam_lbfgs,5,22,0.1230932980706634,0.1402799515414232,0.014665517976318241,0.001282040467829457,0.0130508474107182,1.4756677694021925,0.09934163931860593,1.3570335218669718,0.13369407357519458,0.009520272616639696,0.1230932980706634,6.496818389756115,0.7306489769608357,5.523644646140956,0.14830973990590376,0.006357434964521666,0.1402799515414232,6.158598372994186,0.290887123053652,5.673234894093588,0.017064483606086506
64-64-32,lbfgs,5,22,0.111328947678165,0.1405929146013478,0.02090243810103284,0.0009074922303450405,0.0198944240948959,1.5975717975376003,0.08142287099888196,1.4689950722450238,0.1300236436861524,0.014198521178367753,0.111328947678165,6.600477070760652,0.745416187408182,5.982229850087853,0.15362202502658168,0.013573066581614713,0.1405929146013478,6.76058041028318,0.7621963858261522,5.91304836593336,0.03576957273961162
