domain,scheme,seed,mean_current_nrmse,maximum_current_nrmse,mean_charge_time_gap_fraction,mpc_target_reach_fraction,ann_target_reach_fraction,maximum_voltage_v,maximum_voltage_violation_v,maximum_current_violation_a,maximum_slew_violation_a,maximum_current_step_a,empty_interval_count,maximum_direction_reversals,voltage_intervention_count,voltage_intervention_fraction,maximum_current_correction_a,mean_active_current_correction_a,first_intervention_soc,speedup
confirmation,baseline,22,0.00336054048195878,0.003704594349971569,0.007560516260325764,1.0,1.0,4.216394677169111,0.016394677169111027,0.0,0.0,2.0,0,0,0,0.0,0.0,0.0,,545.1724654028951
confirmation,baseline,42,0.0028306615055909506,0.003317701799562796,0.007434302549881827,1.0,1.0,4.216214311884393,0.016214311884392707,0.0,4.440892098500626e-16,2.0000000000000004,0,0,0,0.0,0.0,0.0,,537.6849297004031
confirmation,baseline,73,0.002255641418471979,0.0024983726103100746,0.00452542516517958,1.0,1.0,4.215700345809502,0.015700345809501748,0.0,4.440892098500626e-16,2.0000000000000004,0,0,0,0.0,0.0,0.0,,525.244573442996
confirmation,baseline,101,0.002110536292141992,0.0023384287153565956,0.006749076325154378,1.0,1.0,4.215032702413044,0.015032702413043886,0.0,0.0,2.0,0,0,0,0.0,0.0,0.0,,539.134645121026
confirmation,baseline,137,0.00288538108369374,0.0032947407333676778,0.007253143129591972,1.0,1.0,4.21603345224991,0.016033452249909708,0.0,8.881784197001252e-16,2.000000000000001,0,0,0,0.0,0.0,0.0,,527.8562845552051
confirmation,residual_guard,22,0.002086160128233494,0.01560578980824887,0.004809187857414399,1.0,1.0,4.189457001792023,0.0,0.0,0.0,2.0,0,0,2318,0.415263346470799,0.8119180462780369,0.5369844186878899,0.6388856460423206,180.30549468644534
confirmation,residual_guard,42,0.0018812419059721587,0.015415796563320297,0.009974926641684536,1.0,1.0,4.189435902192344,0.0,0.0,4.440892098500626e-16,2.0000000000000004,0,0,2338,0.41292829388908514,0.8791380521279439,0.5157034128261284,0.63546062154657,172.59117164237477
confirmation,residual_guard,73,0.0017848572930540445,0.015276682545122513,0.0018525074798109106,1.0,1.0,4.189432732819343,0.0,0.0,4.440892098500626e-16,2.0000000000000004,0,0,2324,0.4151482672382994,0.7861886664949669,0.5001228870131652,0.6387938408572453,176.6044787501023
confirmation,residual_guard,101,0.001858925935024662,0.015343349916022214,0.004413668638896667,1.0,1.0,4.189426223070401,0.0,0.0,0.0,2.0,0,0,2323,0.4160100286532951,0.7112218654127149,0.48873622078092094,0.6387154106668615,179.1616216094952
confirmation,residual_guard,137,0.001956676426459115,0.01545354496419377,0.00914190532619424,1.0,1.0,4.189463012123127,0.0,0.0,8.881784197001252e-16,2.000000000000001,0,0,2321,0.41021562389536936,0.7834017133799733,0.5166523413437095,0.6387954205649254,170.89368026470734
