state_id,successful_feasible_count,optimizer_success_count,prediction_feasible_count,fallback_count,near_optimal_solution_count,near_optimal_first_action_range_a,near_optimal_multivalued
audit_000,15,15,15,0,15,3.552713678800501e-14,False
audit_001,15,15,15,0,15,3.2862601528904634e-14,False
audit_002,15,15,15,0,15,5.684341886080802e-14,False
audit_003,15,15,15,0,15,6.306066779870889e-14,False
audit_004,15,15,15,0,15,2.930988785010413e-14,False
audit_005,15,15,15,0,15,3.2862601528904634e-14,False
audit_006,15,15,15,0,15,5.950795411990839e-14,False
audit_007,15,15,15,0,15,4.884981308350689e-14,False
audit_008,15,15,15,0,15,2.842170943040401e-14,False
audit_009,15,15,15,0,15,3.9968028886505635e-14,False
audit_010,15,15,15,0,15,6.394884621840902e-14,False
audit_011,15,15,15,0,15,6.217248937900877e-14,False
audit_012,15,15,15,0,15,2.0516921495072893e-13,False
audit_013,15,15,15,0,15,3.673505943879718e-12,False
audit_014,15,15,15,0,15,6.989964163039986e-13,False
audit_015,15,15,15,0,15,3.1885605267234496e-13,False
audit_016,15,15,15,0,15,8.943956686380261e-13,False
audit_017,15,15,15,0,15,9.671455973858656e-07,False
audit_018,15,15,15,0,15,5.287484654559194e-07,False
audit_019,15,15,15,0,15,0.0006297354167301705,False
audit_020,15,15,15,0,15,0.0006321387307188786,False
audit_021,15,15,15,0,15,0.004551962865595449,False
audit_022,15,15,15,0,15,0.00031457454438665877,False
audit_023,15,15,15,0,15,0.006141870323711274,False
audit_024,15,15,15,0,15,0.0010529275956994155,False
audit_025,15,15,15,0,15,0.017648688257386524,False
audit_026,15,15,15,0,15,0.0004637209271987075,False
audit_027,15,15,15,0,15,0.0005550454721063858,False
audit_028,15,15,15,0,15,0.0003426189319499784,False
audit_029,15,15,15,0,15,0.0005094152080102887,False
audit_030,15,15,15,0,15,0.0005925764874827877,False
audit_031,15,15,15,0,15,0.000596853236544348,False
audit_032,15,15,15,0,15,0.014107688125903461,False
audit_033,15,15,15,0,15,0.010838002495741073,False
audit_034,15,15,15,0,15,0.008341769957663558,False
audit_035,15,15,15,0,15,0.010981724647009639,False
audit_036,15,15,15,0,15,0.014794319996757288,False
audit_037,15,15,15,0,15,0.02174092363392477,False
audit_038,15,15,15,0,15,0.01261908332428563,False
audit_039,15,15,15,0,15,0.012188453589093484,False
audit_040,15,15,15,0,15,0.01593437260374575,False
audit_041,15,15,15,0,15,0.01253078801240326,False
audit_042,15,15,15,0,15,0.015168172452075357,False
audit_043,15,15,15,0,15,0.01805875757335107,False
audit_044,15,15,15,0,15,0.008269270654868599,False
audit_045,15,15,15,0,15,0.012786964804410328,False
audit_046,15,15,15,0,15,0.015679444239838247,False
audit_047,15,15,15,0,15,0.0007054627714113693,False
audit_048,15,15,15,0,15,0.0004951167029205727,False
audit_049,15,15,15,0,15,0.0009397360945144762,False
audit_050,15,15,15,0,15,0.0006237005282239139,False
audit_051,15,15,15,0,15,0.0008340674081597221,False
audit_052,15,15,15,0,15,0.0007655860995043895,False
audit_053,15,15,15,0,15,0.009679163193171636,False
audit_054,15,15,15,0,15,0.0008200686955128766,False
audit_055,15,15,15,0,15,0.001442055400387332,False
audit_056,15,15,15,0,15,0.0005544699348871696,False
audit_057,15,15,15,0,15,0.0008511930050167926,False
audit_058,15,15,15,0,15,0.003629863465136829,False
audit_059,15,15,15,0,15,0.016896994729582282,False
audit_060,15,15,15,0,15,0.01676097081907857,False
audit_061,15,15,15,0,15,0.014206275333439322,False
audit_062,15,15,15,0,15,0.011683801560356422,False
audit_063,15,15,15,0,15,0.009481110268055648,False
audit_064,15,15,15,0,15,0.007334507106820043,False
audit_065,15,15,15,0,15,0.0047325449048827295,False
audit_066,15,15,15,0,15,0.0022725802279397467,False
audit_067,15,15,15,0,15,0.0009621536353869864,False
audit_068,15,15,15,0,15,0.0030623519177699343,False
audit_069,15,15,15,0,15,0.005100110632932031,False
audit_070,15,15,15,0,15,0.007252628038604492,False
audit_071,15,15,15,0,15,0.009276531811654776,False
audit_072,15,15,15,0,15,0.01139163123434317,False
audit_073,15,15,15,0,15,0.01360388641639787,False
audit_074,15,15,15,0,15,0.01607732634002179,False
audit_075,15,15,15,0,15,0.017869520117004045,False
audit_076,15,15,15,0,15,0.0008252391859295827,False
audit_077,15,15,15,0,15,0.000806940462525052,False
audit_078,15,15,15,0,15,0.016558391923148008,False
audit_079,15,15,15,0,15,0.014450157426699306,False
audit_080,15,15,15,0,15,0.012397357037332357,False
audit_081,15,15,15,0,15,0.010119624565536611,False
audit_082,15,15,15,0,15,0.00831916099850516,False
audit_083,15,15,15,0,15,0.006262485273269003,False
audit_084,15,15,15,0,15,0.004079244031666263,False
audit_085,15,15,15,0,15,0.0026923212945679786,False
audit_086,15,15,15,0,15,0.00092546216051137,False
audit_087,15,15,15,0,15,0.002107158845431334,False
audit_088,15,15,15,0,15,0.004162283176343262,False
audit_089,15,15,15,0,15,0.006243567906829561,False
audit_090,15,15,15,0,15,0.007876639323833978,False
audit_091,15,15,15,0,15,0.009555740674280222,False
audit_092,15,15,15,0,15,0.011169615165339708,False
audit_093,15,15,15,0,15,0.01275393158154503,False
audit_094,15,15,15,0,15,0.014453830904804232,False
audit_095,15,15,15,0,15,0.0007542413642262491,False
audit_096,15,15,15,0,15,0.0008713055967082828,False
audit_097,15,15,15,0,15,0.011360858773454025,False
audit_098,15,15,15,0,15,0.008452833052232406,False
audit_099,15,15,15,0,15,0.004811941583582446,False
