trajectory_id,split,step_index,state_soc,state_polarization_v,teacher_current_a,terminal_voltage_v,next_soc,next_polarization_v,teacher_objective,teacher_solve_time_s,teacher_optimizer_success,teacher_prediction_feasible,teacher_used_fallback,minimum_prediction_margin,plan_block_00_a,plan_block_01_a,plan_block_02_a
level1r_terminal_000,train,0,0.7402107142857143,0.05,6.002612157685901,4.163875892538925,0.7418781065517381,0.05119148266593612,0.04400624933534351,0.054877700000361074,True,True,False,0.0,6.002612157685901,4.4382001731386715,0.7949633385815723
level1r_terminal_000,train,1,0.7418781065517381,0.05119148266593612,5.958481525420223,4.165695827708157,0.7435332403087993,0.05198177255839839,0.04084338895378007,0.054516900003363844,True,True,False,0.0,5.958481525420223,4.230690875113835,0.7243540243407312
level1r_terminal_000,train,2,0.7435332403087993,0.05198177255839839,5.914708676784512,4.167110661277063,0.7451762149412394,0.05247267446276996,0.03783847801051891,0.061468100000638515,True,True,False,0.0,5.914708676784512,4.0240846839584385,0.6545533895796638
level1r_terminal_000,train,3,0.7451762149412394,0.05247267446276996,5.871282338524211,4.168222051042562,0.7468071267019406,0.05274034216422652,0.03498844455352979,0.07099010000092676,True,True,False,0.0,5.871282338524211,3.8196682088376996,0.584881586548204
level1r_terminal_000,train,4,0.7468071267019406,0.05274034216422652,5.828193499273272,4.169106049123271,0.7484260693406276,0.05284174021303158,0.032290251063352246,0.07674409999890486,True,True,False,0.0,5.828193499273272,3.6165591900422496,0.5157374980066962
level1r_terminal_000,train,5,0.7484260693406276,0.05284174021303158,5.785434843999241,4.169819552246994,0.7500331345750718,0.05281947791076621,0.029740898804036863,0.06216330000461312,True,True,False,0.0,5.785434843999241,3.414112662988717,0.44771542100853406
level1r_terminal_000,train,6,0.7500331345750718,0.05281947791076621,5.743000330885892,4.1704051271509766,0.7516284124447623,0.05270542557018081,0.02733743227209017,0.06485589999647345,True,True,False,0.0,5.743000330885892,3.2137707058060707,0.37976100491594056
level1r_terminal_000,train,7,0.7516284124447623,0.05270542557018081,5.700884874772325,4.170894620419089,0.7532119915766435,0.05252341980527105,0.025076937904916576,0.07199689999833936,True,True,False,0.0,5.700884874772325,3.01487468028613,0.31232055178286555
level1r_terminal_000,train,8,0.7532119915766435,0.05252341980527105,5.659084110306027,4.1713118589676235,0.7547839593850619,0.05229128733333855,0.022956546793323637,0.08076989999972284,True,True,False,0.0,5.659084110306027,2.8174206220691547,0.2453507739210255
level1r_terminal_000,train,9,0.7547839593850619,0.05229128733333855,5.617594214729514,4.171674670253734,0.7563444022224868,0.052022358962207506,0.02097343479673761,0.07134870000299998,True,True,False,0.0,5.617594214729514,2.62140358146329,0.17888378498560756
level1r_terminal_000,train,10,0.7563444022224868,0.052022358962207506,5.57641177527836,4.1719963935747435,0.7578934054933975,0.05172660218969958,0.019124822683264434,0.07173929999407846,True,True,False,0.0,5.57641177527836,2.4268093790948453,0.11284549536270935
level1r_terminal_000,train,11,0.7578934054933975,0.05172660218969958,5.535533689953515,4.172287010657257,0.7594310537406067,0.051411468490489595,0.017407976029596952,0.05687420000322163,True,True,False,0.0,5.535533689953515,2.233682252873051,0.04736355705009451
level1r_terminal_000,train,12,0.7594310537406067,0.051411468490489595,5.494957093259483,4.172553991440485,0.7609574307109566,0.051082527163244205,0.015820363942650975,0.06913209999765968,True,True,False,0.0,5.494957093259483,2.0327044615825094,0.0
level1r_terminal_000,train,13,0.7609574307109566,0.051082527163244205,5.454679300621061,4.172802926799049,0.7624726194055735,0.05074393950549749,0.014362316235145514,0.07144120000157272,True,True,False,0.0,5.454679300621061,1.8095160194355864,8.326672684688674e-17
level1r_terminal_000,train,14,0.7624726194055735,0.05074393950549749,5.414697766772219,4.173038001877169,0.7639767021185658,0.050398813539192136,0.01303228551985596,0.06348160000197822,True,True,False,-8.881784197001252e-16,5.414697766772219,1.5882169665068777,0.0
level1r_terminal_000,train,15,0.7639767021185658,0.050398813539192136,5.375010054598213,4.1732623501857,0.7654697604670654,0.050049469377286555,0.011827621147655558,0.06917320000502514,True,True,False,-1.7763568394002505e-15,5.375010054598213,1.3685348036534832,1.117043955738542e-16
level1r_terminal_000,train,16,0.7654697604670654,0.050049469377286555,5.335613811798032,4.173478318498991,0.766951875414787,0.049697637741777226,0.010745716240171895,0.08069419999810634,True,True,False,0.0,5.335613811798032,1.1502973205091664,2.0318135692990238e-17
level1r_terminal_000,train,17,0.766951875414787,0.049697637741777226,5.296506753397047,4.173687665021888,0.7684231272907307,0.04934460847291793,0.009784007496302424,0.07585590000235243,True,True,False,0.0,5.296506753397047,0.9336399131383712,0.0
level1r_terminal_000,train,18,0.7684231272907307,0.04934460847291793,5.137158496605358,4.171319518963267,0.76985011576201,0.04871471122472852,0.008927067747385178,0.07842990000062855,True,True,False,0.004298457225167418,5.137158496605358,0.8247483590129147,1.851539262918338e-17
level1r_terminal_000,train,19,0.76985011576201,0.04871471122472852,4.905001873850343,4.167079018726517,0.771212616282524,0.04771052976092689,0.008138453675132025,0.06970369999908144,True,True,False,0.011236039803608655,4.905001873850343,0.7874750346939062,5.548749958799062e-17
level1r_terminal_000,train,20,0.771212616282524,0.04771052976092689,4.683352381758538,4.162627736094805,0.7725135474996792,0.046450390046972365,0.0074195060145515225,0.07143000000360189,True,True,False,0.017860765838856985,4.683352381758538,0.7518777832291165,0.0
level1r_terminal_000,train,21,0.7725135474996792,0.046450390046972365,4.47168615420715,4.158075565813458,0.7737556825425145,0.04502163204878694,0.006764068258382003,0.07336100000247825,True,True,False,0.024188211135165005,4.47168615420715,0.7179231889122708,0.0
level1r_terminal_000,train,22,0.7737556825425145,0.04502163204878694,4.269615187931959,4.153504179034688,0.7749416867613844,0.043488720997053094,0.0061665344589421,0.08179540000128327,True,True,False,0.030229337071919105,4.269615187931959,0.6854675067033169,3.765252983700166e-17
level1r_terminal_000,train,23,0.7749416867613844,0.043488720997053094,4.076679984720228,4.1489707449042585,0.7760740978682511,0.0418988410599766,0.005621785427000467,0.09739889999764273,True,True,False,0.03599782559484144,4.076679984720228,0.6544791123152917,1.9079370806901944e-17
level1r_terminal_001,train,0,0.7406321428571429,0.025,5.993607744428006,4.139080604019642,0.7422970338972618,0.03246352782499065,0.04318063292332046,0.10474989999784157,True,True,False,0.0,5.993607744428006,4.384418805419322,0.7762469478926284
level1r_terminal_001,train,1,0.7422970338972618,0.03246352782499065,5.949010313921377,4.147160266922265,0.74394953676224,0.03794606463698086,0.040060744752115726,0.08351740000216523,True,True,False,0.0,5.949010313921377,4.177103731631954,0.7061727437424219
level1r_terminal_001,train,2,0.74394953676224,0.03794606463698086,5.904908303894143,4.1532578451787385,0.7455897890688772,0.04194737971053758,0.03709724355374706,0.06680960000085179,True,True,False,0.0,5.904908303894143,3.971826141915465,0.63620782549622
level1r_terminal_001,train,3,0.7455897890688772,0.04194737971053758,5.8612556221680325,4.157872254010152,0.7472179156305905,0.044841340374144355,0.03428729127645544,0.08001639999565668,True,True,False,0.0,5.8612556221680325,3.767122387656734,0.5672648382207883
level1r_terminal_001,train,4,0.7472179156305905,0.044841340374144355,5.818017210740795,4.161376730114219,0.748834031522463,0.046907627921046094,0.031628022903351795,0.0687054999943939,True,True,False,0.0,5.818017210740795,3.564317043051465,0.49851684632338344
level1r_terminal_001,train,5,0.748834031522463,0.046907627921046094,5.7751662704027344,4.164050491233178,0.7504382443753527,0.048355463986895705,0.02911656598859953,0.060186299997440074,True,True,False,0.0,5.7751662704027344,3.363292203322287,0.43002452611937736
level1r_terminal_001,train,6,0.7504382443753527,0.048355463986895705,5.732682184466804,4.166102420382275,0.7520306560932601,0.04934136003192109,0.026750056501508357,0.05514409999886993,True,True,False,0.0,5.732682184466804,3.1630203983435035,0.36247956893001776
level1r_terminal_001,train,7,0.7520306560932601,0.04934136003192109,5.690548965500171,4.167688783800945,0.7536113641392325,0.04998239556317377,0.0245256511495769,0.07530799999949522,True,True,False,0.0,5.690548965500171,2.9645271285361585,0.29519049067259573
level1r_terminal_001,train,8,0.7536113641392325,0.04998239556317377,5.648754093307666,4.168926485587493,0.7551804624984846,0.05036615144881756,0.02244053352513598,0.06034859999635955,True,True,False,0.0,5.648754093307666,2.767790809434165,0.22818606664518457
level1r_terminal_001,train,9,0.7551804624984846,0.05036615144881756,5.607287645607647,4.169902983368144,0.7567380424000423,0.05055814093788286,0.020491919588704485,0.0590336999957799,True,True,False,-8.881784197001252e-16,5.607287645607647,2.5718359568182816,0.16196514559940192
level1r_terminal_001,train,10,0.7567380424000423,0.05055814093788286,5.566141647668964,4.170683706117029,0.7582841928577281,0.05060736873675467,0.018677062306592895,0.059397099998022895,True,True,False,0.0,5.566141647668964,2.3776547191944513,0.09612875001762156
level1r_terminal_001,train,11,0.7582841928577281,0.05060736873675467,5.525309585750199,4.17131760335844,0.759819001075992,0.05055048970231363,0.01699325290624406,0.0506738000040059,True,True,False,-8.881784197001252e-16,5.525309585750199,2.1850449806792573,0.030967203307554366
level1r_terminal_001,train,12,0.759819001075992,0.05055048970231363,5.484786043078592,4.171841296473602,0.7613425527546249,0.05041491992132179,0.015438415682672905,0.04885169999761274,True,True,False,0.0,5.484786043078592,1.975890024424547,0.0
level1r_terminal_001,train,13,0.7613425527546249,0.05041491992132179,5.444566427499927,4.172282184254792,0.7628549323178193,0.050221164079703104,0.014013102034090667,0.04763470000034431,True,True,False,0.0,5.444566427499927,1.7532556792976017,1.1102230246251565e-16
level1r_terminal_001,train,14,0.7628549323178193,0.050221164079703104,5.404646767706313,4.172660766141643,0.7643562230866267,0.049984556545584015,0.01271511902558562,0.06440160000056494,True,True,False,0.0,5.404646767706313,1.5323057382202896,0.0
level1r_terminal_001,train,15,0.7643562230866267,0.049984556545584015,5.365023560767795,4.172992380212766,0.7658465074090621,0.049716563857054294,0.011541830487223638,0.06288230000063777,True,True,False,0.0,5.365023560767795,1.3130383979375924,1.1344734244276317e-16
level1r_terminal_001,train,16,0.7658465074090621,0.049716563857054294,5.325693658042521,4.1732885033612455,0.7673258667585184,0.04942575910087795,0.010490643107489374,0.06365570000343723,True,True,False,-8.881784197001252e-16,5.325693658042521,1.0952095037490537,1.6912273532732543e-17
level1r_terminal_001,train,17,0.7673258667585184,0.04942575910087795,5.286654083802157,4.173557721895321,0.7687943817817968,0.049118550615551135,0.009559006438162206,0.048787599997012876,True,True,False,3.423598293750274e-09,5.286654083802157,0.8793746151016526,0.0
level1r_terminal_001,train,18,0.7687943817817968,0.049118550615551135,5.076759783790751,4.170154117217447,0.7702045928328498,0.048406929830719495,0.008718387733770375,0.049791899997217115,True,True,False,0.006103548643880963,5.076759783790751,0.8150520490864612,0.0
level1r_terminal_001,train,19,0.7702045928328498,0.048406929830719495,4.8473362898055345,4.165874421184682,0.7715510751355735,0.04734786828169267,0.007948208425282686,0.053094299997610506,True,True,False,0.012959705759545415,4.8473362898055345,0.7782191158484102,3.701733225570451e-17
level1r_terminal_001,train,20,0.7715510751355735,0.04734786828169267,4.6282892538469005,4.161408712494757,0.7728367110394199,0.04605263529641271,0.007246066482678386,0.05144859999563778,True,True,False,0.01950687027811604,4.6282892538469005,0.7430377917934222,1.8591928597360562e-17
level1r_terminal_001,train,21,0.7728367110394199,0.04605263529641271,4.4191328378315005,4.156860606627953,0.7740642479388175,0.04460337769881252,0.006605950347908001,0.04738779999752296,True,True,False,0.025759317353823974,4.4191328378315005,0.7094585179272295,0.0
level1r_terminal_001,train,22,0.7740642479388175,0.04460337769881252,4.219420285855045,4.152305303520474,0.7752363091293327,0.043060539889163744,0.00602238186148645,0.044173100002808496,True,True,False,0.03173014366103377,4.219420285855045,0.6774085268881079,0.0
level1r_terminal_001,train,23,0.7752363091293327,0.043060539889163744,4.028747234365021,4.147797088510745,0.776355405583323,0.041468423824730254,0.0054903666241202815,0.04639880000468111,True,True,False,0.03743111663673915,4.028747234365021,0.6467856702389823,0.0
level1r_terminal_002,terminal_test,0,0.7410535714285714,0.07500000000000001,5.978231653687524,4.189149337669654,0.7427141913323735,0.0698428140546385,0.04240306395239644,0.040868500000215136,True,True,False,-8.881784197001252e-16,5.978231653687524,4.334557614432077,0.7601416584007723
level1r_terminal_002,terminal_test,1,0.7427141913323735,0.0698428140546385,5.934819209013836,4.184629553275892,0.7443627522237662,0.06588409732368257,0.03931756636008659,0.048086399998283014,True,True,False,0.0,5.934819209013836,4.127315673036889,0.6896365630937771
level1r_terminal_002,terminal_test,2,0.7443627522237662,0.06588409732368257,5.8916233796308,4.181301504472316,0.7459993142736637,0.06282268212439604,0.0363892098859319,0.05548990000534104,True,True,False,-8.881784197001252e-16,5.8916233796308,3.9215418256956984,0.6194866737997489
level1r_terminal_002,terminal_test,3,0.7459993142736637,0.06282268212439604,5.84866816256749,4.17886459236138,0.7476239443188214,0.06043326230634723,0.03361472316378153,0.050611799997568596,True,True,False,-8.881784197001252e-16,5.84866816256749,3.717239255920147,0.5506515161432577
level1r_terminal_002,terminal_test,4,0.7476239443188214,0.06043326230634723,5.805970933964263,4.177093944559069,0.7492367140227003,0.058547283065526944,0.030990934888537287,0.05314780000480823,True,True,False,0.0,5.805970933964263,3.514923705425807,0.4816703848757603
level1r_terminal_002,terminal_test,5,0.7492367140227003,0.058547283065526944,5.76354412115635,4.175821338960928,0.7508376985007993,0.057038644791728724,0.028514757886776182,0.06029659999330761,True,True,False,0.0,5.76354412115635,3.3140498434141494,0.4131377415597466
level1r_terminal_002,terminal_test,6,0.7508376985007993,0.057038644791728724,5.721396453513321,4.174920932989006,0.7524269752934418,0.055813008249443505,0.02618317851701882,0.08386850000533741,True,True,False,2.6645352591003757e-15,5.721396453513321,3.1136944349618445,0.34588807393137827
level1r_terminal_002,terminal_test,7,0.7524269752934418,0.055813008249443505,5.679533898149663,4.174298587774373,0.7540046235984834,0.05479979388286496,0.023993251797389065,0.06997889999911422,True,True,False,0.0,5.679533898149663,2.915496747087221,0.27864668295060313
level1r_terminal_002,terminal_test,8,0.7540046235984834,0.05479979388286496,5.63796035989041,4.173883881677482,0.755570723698453,0.05394619657008761,0.02194209179192678,0.06313089999457588,True,True,False,8.881784197001252e-16,5.63796035989041,2.7187203007655265,0.21192782896811224
level1r_terminal_002,terminal_test,9,0.755570723698453,0.05394619657008761,5.596678204879314,4.173624135677199,0.7571253565331417,0.0532127081161056,0.020026869524276465,0.05152030000317609,True,True,False,0.0,5.596678204879314,2.523645564703398,0.14523236941005213
level1r_terminal_002,terminal_test,10,0.7571253565331417,0.0532127081161056,5.555688652254456,4.173479943820035,0.7586686033809902,0.052569767671185944,0.018244808686456695,0.06918640000367304,True,True,False,0.0,5.555688652254456,2.329511593229788,0.07984902495375577
level1r_terminal_002,terminal_test,11,0.7586686033809902,0.052569767671185944,5.514992067127939,4.173421829590943,0.760200545621859,0.05199525593972821,0.01659318406005909,0.05273759999545291,True,True,False,0.0,5.514992067127939,2.137072372002191,0.014644003042281759
level1r_terminal_002,terminal_test,12,0.760200545621859,0.05199525593972821,5.474588179731113,4.173427744575542,0.7617212645606732,0.05147262062094025,0.015070604264631153,0.04498279999825172,True,True,False,0.0,5.474588179731113,1.9200812054189436,0.0
level1r_terminal_002,terminal_test,13,0.7617212645606732,0.05147262062094025,5.434476249326498,4.173481197232754,0.7632308412965972,0.05098947406816888,0.01367727945678519,0.05820080000557937,True,True,False,0.0,5.434476249326498,1.697972222818935,0.0
level1r_terminal_002,terminal_test,14,0.7632308412965972,0.05098947406816888,5.394655186798488,4.173569853047138,0.7647293566262635,0.05053654421061379,0.012410642370452654,0.05163689999608323,True,True,False,0.0,5.394655186798488,1.4772106361048343,0.0
level1r_terminal_002,terminal_test,15,0.7647293566262635,0.05053654421061379,5.355123646334449,4.173684487316037,0.7662168909724675,0.05010688974734975,0.011268060520294344,0.05446010000014212,True,True,False,2.6645352591003757e-15,5.355123646334449,1.2588882893279676,1.11861032148133e-16
