coverage_source,minimum_prediction_margin,next_polarization_v,next_soc,plan_block_00_a,plan_block_01_a,plan_block_02_a,split,state_polarization_v,state_soc,step_index,teacher_current_a,teacher_objective,teacher_optimizer_success,teacher_prediction_feasible,teacher_solve_time_s,teacher_used_fallback,terminal_voltage_v,trajectory_id
original_level1,0.3447435312620088,0.0528831791465119,0.1041319444444444,10.0,10.0,10.0,train,0.04,0.1013541666666666,0,10.0,28.413019000771627,True,True,0.0061151999980211,False,3.551879988617688,level1_000
original_level1,0.342069720861538,0.0625235530307058,0.1069097222222222,10.0,10.0,10.0,train,0.0528831791465119,0.1041319444444444,1,10.0,28.14988628472225,True,True,0.0039746999973431,False,3.570020995819987,level1_000
original_level1,0.3393959105512594,0.0697373631912366,0.1096875,10.0,10.0,10.0,train,0.0625235530307058,0.1069097222222222,2,10.0,27.8879881365741,True,True,0.0048612000027787,False,3.5849191977599677,level1_000
original_level1,0.3367221003084713,0.0751353962610432,0.1124652777777778,10.0,10.0,10.0,train,0.0697373631912366,0.1096875,3,10.0,27.62732455632718,True,True,0.004582699999446,False,3.5973908359762845,level1_000
original_level1,0.3340482901161854,0.0791746987065321,0.1152430555555555,10.0,10.0,10.0,train,0.0751353962610432,0.1124652777777778,4,10.0,27.36789554398151,True,True,0.0034248000010848,False,3.608046697101877,level1_000
original_level1,0.3313744799616902,0.082197274529084,0.1180208333333333,10.0,10.0,10.0,train,0.0791746987065321,0.1152430555555555,5,10.0,27.109701099537062,True,True,0.0049564000000827,False,3.617343827603153,level1_000
original_level1,0.3287006698354728,0.0844590424274691,0.1207986111111111,10.0,10.0,10.0,train,0.082197274529084,0.1180208333333333,6,10.0,26.852741222993856,True,True,0.0045841999963158,False,3.625624231481492,level1_000
original_level1,0.3260268597304168,0.0861515041973269,0.1235763888888889,10.0,10.0,10.0,train,0.0844590424274691,0.1207986111111111,7,10.0,26.597015914351875,True,True,0.0035514999981387,False,3.633143827435664,level1_000
original_level1,0.3421365670271759,0.037917348469844,0.1068402777777777,10.0,10.0,10.0,train,0.02,0.1040625,0,10.0,28.156449556327185,True,True,0.0034433999971952,False,3.53700637097208,level1_001
original_level1,0.339462756486689,0.051324748638571,0.1096180555555555,10.0,10.0,10.0,train,0.037917348469844,0.1068402777777777,1,10.0,27.894520543981503,True,True,0.0053827000010642,False,3.5601815474977108,level1_001
original_level1,0.3367889460716373,0.0613573926755459,0.1123958333333333,10.0,10.0,10.0,train,0.051324748638571,0.1096180555555555,2,10.0,27.63382609953706,True,True,0.005647999998473,False,3.5788467757222246,level1_001
original_level1,0.3341151357504484,0.0688647352703784,0.1151736111111111,10.0,10.0,10.0,train,0.0613573926755459,0.1123958333333333,3,10.0,27.37436622299385,True,True,0.0045001000034972,False,3.594137247814986,level1_001
original_level1,0.3314413254994961,0.0744824161756783,0.1179513888888889,10.0,10.0,10.0,train,0.0688647352703784,0.1151736111111111,4,10.0,27.11614091435188,True,True,0.0030215000006137,False,3.6069024184656047,level1_001
original_level1,0.3287675153011014,0.0786860792368918,0.1207291666666666,10.0,10.0,10.0,train,0.0744824161756783,0.1179513888888889,5,10.0,26.85915017361113,True,True,0.002626000001328,False,3.6177779274266912,level1_001
original_level1,0.3260937051420347,0.081831644716686,0.1235069444444444,10.0,10.0,10.0,train,0.0786860792368918,0.1207291666666666,6,10.0,26.60339400077164,True,True,0.0053492000006372,False,3.627239418543691,level1_001
original_level1,0.3234198950123974,0.0841854447343346,0.1262847222222222,10.0,10.0,10.0,train,0.081831644716686,0.1235069444444444,7,10.0,26.34887239583336,True,True,0.0043154999948455,False,3.635642812079272,level1_001
original_level1,0.3395296011235547,0.0678490098231798,0.1095486111111111,10.0,10.0,10.0,validation,0.06,0.1067708333333333,0,10.0,27.90105372299385,True,True,0.002946200002043,False,3.582132753326472,level1_002
original_level1,0.3368557908630993,0.0737223574228405,0.1123263888888889,10.0,10.0,10.0,validation,0.0678490098231798,0.1095486111111111,1,10.0,27.64032841435188,True,True,0.0027603999988059,False,3.5952395912054387,level1_002
original_level1,0.3341819806575938,0.0781173337069273,0.1151041666666666,10.0,10.0,10.0,validation,0.0737223574228405,0.1123263888888889,2,10.0,27.380837673611136,True,True,0.0027726000043912,False,3.606370766860886,level1_002
original_level1,0.3315081704932061,0.0814060572517079,0.1178819444444444,10.0,10.0,10.0,validation,0.0781173337069273,0.1151041666666666,3,10.0,27.12258150077163,True,True,0.0029713999974774,False,3.616023571200759,level1_002
original_level1,0.3288343603595871,0.0838669812373859,0.1206597222222222,10.0,10.0,10.0,validation,0.0814060572517079,0.1178819444444444,4,10.0,26.86555989583336,True,True,0.002653100003954,False,3.6245701228013263,level1_002
original_level1,0.326160550248991,0.0857084698212763,0.1234375,10.0,10.0,10.0,validation,0.0838669812373859,0.1206597222222222,5,10.0,26.60977285879632,True,True,0.002669200002856,False,3.632288874842791,level1_002
original_level1,0.3234867401556243,0.0870864401382523,0.1262152777777778,10.0,10.0,10.0,validation,0.0857084698212763,0.1234375,6,10.0,26.355220389660523,True,True,0.0027489000058267,False,3.639388191482468,level1_002
original_level1,0.320812930075149,0.0881175636603191,0.1289930555555555,10.0,10.0,10.0,validation,0.0870864401382523,0.1262152777777778,7,10.0,26.10190248842596,True,True,0.0032127000013133,False,3.6460239898552302,level1_002
original_level1,0.3369226377231156,0.03043443313151,0.1122569444444444,10.0,10.0,10.0,train,0.01,0.1094791666666666,0,10.0,27.646831500771636,True,True,0.004384799998661,False,3.537259135680864,level1_003
original_level1,0.3342488271126207,0.0457253464425037,0.1150347222222222,10.0,10.0,10.0,train,0.03043443313151,0.1122569444444444,1,10.0,27.387309895833365,True,True,0.0048056999949039,False,3.5629513968681605,level1_003
original_level1,0.3315750166451825,0.0571674074177006,0.1178125,10.0,10.0,10.0,train,0.0457253464425037,0.1150347222222222,2,10.0,27.12902285879633,True,True,0.0053044999949634,False,3.5835001382349407,level1_003
original_level1,0.3289012062847933,0.0657294047750459,0.1205902777777778,10.0,10.0,10.0,train,0.0571674074177006,0.1178125,3,10.0,26.871970389660525,True,True,0.0040309000032721,False,3.6002000272659243,level1_003
original_level1,0.3262273960045081,0.0721362749102514,0.1233680555555555,10.0,10.0,10.0,train,0.0657294047750459,0.1205902777777778,4,10.0,26.616152488425957,True,True,0.002868200004741,False,3.614019852679056,level1_003
original_level1,0.3235535857841634,0.0769304815907956,0.1261458333333333,10.0,10.0,10.0,train,0.0721362749102514,0.1233680555555555,5,10.0,26.36156915509262,True,True,0.0042850000027101,False,3.625684550870048,level1_003
original_level1,0.3208797756086721,0.0805179458612944,0.1289236111111111,10.0,10.0,10.0,train,0.0769304815907956,0.1261458333333333,6,10.0,26.10822038966052,True,True,0.0036213999992469,False,3.6357365856063786,level1_003
original_level1,0.3182059654667433,0.0832024150028384,0.1317013888888888,10.0,10.0,10.0,train,0.0805179458612944,0.1289236111111111,7,10.0,25.85610619212966,True,True,0.004527599994617,False,3.644581877932664,level1_003
original_level1,0.3343156718194944,0.0603660944848459,0.1149652777777777,10.0,10.0,10.0,train,0.05,0.1121875,0,10.0,27.39378288966052,True,True,0.0045945000019855,False,3.5823855180352555,level1_004
original_level1,0.3316418614890315,0.0681229552267731,0.1177430555555555,10.0,10.0,10.0,train,0.0603660944848459,0.1149652777777777,1,10.0,27.13546498842595,True,True,0.0036316000041551,False,3.598009440575888,level1_004
original_level1,0.328968051231139,0.0739273484490819,0.1205208333333333,10.0,10.0,10.0,train,0.0681229552267731,0.1177430555555555,2,10.0,26.87838165509262,True,True,0.0047879999983706,False,3.611024129373602,level1_004
original_level1,0.3262942410275506,0.0782707267563755,0.1232986111111111,10.0,10.0,10.0,train,0.0739273484490819,0.1205208333333333,3,10.0,26.62253288966053,True,True,0.0029543999989982,False,3.622086350651698,level1_004
original_level1,0.3236204308645982,0.081520839971959,0.1260763888888889,10.0,10.0,10.0,train,0.0782707267563755,0.1232986111111111,4,10.0,26.367918692129663,True,True,0.0029017999986535,False,3.6316875570147777,level1_004
original_level1,0.320946620732053,0.0839528721751801,0.1288541666666667,10.0,10.0,10.0,train,0.081520839971959,0.1260763888888889,5,10.0,26.11453906250004,True,True,0.0029393000004347,False,3.6401954982861473,level1_004
original_level1,0.3182728106222612,0.0857727412828607,0.1316319444444444,10.0,10.0,10.0,train,0.0839528721751801,0.1288541666666667,6,10.0,25.86239400077164,True,True,0.0030876000018906,False,3.647885358545155,level1_004
original_level1,0.3155990005294953,0.087134533928823,0.1344097222222222,10.0,10.0,10.0,train,0.0857727412828607,0.1316319444444444,7,10.0,25.61148350694448,True,True,0.0027437999960966,False,3.654963055708622,level1_004
original_level1,0.331708707584661,0.0454002638081779,0.1176736111111111,10.0,10.0,10.0,validation,0.03,0.1148958333333333,0,10.0,27.14190788966052,True,True,0.0027749000000767,False,3.5675119003896474,level1_005
original_level1,0.3290348971141821,0.0569241508346384,0.1204513888888889,10.0,10.0,10.0,validation,0.0454002638081779,0.1176736111111111,1,10.0,26.88479369212966,True,True,0.0028442999973776,False,3.588169992253612,level1_005
original_level1,0.326361086751517,0.0655473779333913,0.1232291666666666,10.0,10.0,10.0,validation,0.0569241508346384,0.1204513888888889,2,10.0,26.628914062500037,True,True,0.0028011000031256,False,3.60495170733586,level1_005
original_level1,0.3236872764695286,0.0720000657657107,0.1260069444444444,10.0,10.0,10.0,validation,0.0655473779333913,0.1232291666666666,3,10.0,26.37426900077164,True,True,0.0028111999999964,False,3.618832762490399,level1_005
original_level1,0.3210134662479094,0.0768285574411052,0.1287847222222222,10.0,10.0,10.0,validation,0.0720000657657107,0.1260069444444444,4,10.0,26.12085850694448,True,True,0.002800100002787,False,3.630543278378505,level1_005
original_level1,0.3183396560714646,0.0804416768829879,0.1315625,10.0,10.0,10.0,validation,0.0768285574411052,0.1287847222222222,5,10.0,25.86868258101855,True,True,0.0027864999938174,False,3.640629598109685,level1_005
original_level1,0.3156658459288226,0.0831453435720775,0.1343402777777777,10.0,10.0,10.0,validation,0.0804416768829879,0.1315625,6,10.0,25.61774122299386,True,True,0.0028034999995725,False,3.6495005456073546,level1_005
original_level1,0.313099744034687,0.0851684744658307,0.1371180555555555,10.0,10.0,10.0,validation,0.0831453435720775,0.1343402777777777,7,10.0,25.36803443287041,True,True,0.0037937000015517,False,3.657462040352231,level1_005
original_level1,0.3291017416810402,0.0753319251615138,0.1203819444444444,10.0,10.0,10.0,train,0.07,0.1176041666666666,0,10.0,26.89120650077164,True,True,0.0040939999962574,False,3.6126382827440393,level1_006
