temperature_c,soc,r0_ohm,r1_ohm,tau1_s,r2_ohm,tau2_s,c1_f,c2_f,fit_success,fit_message,fit_function_evaluations,fit_training_voltage_rmse_mv,fit_training_voltage_mae_mv
15.0,0.6,0.02463787564970196,0.013994621581887861,30.617909411726316,0.01166434324263335,468.7340232067698,2187.8340355663972,40185.20489808118,True,`ftol` termination condition is satisfied.,9,19.16975284602829,13.560020853318505
15.0,0.7,0.021013795074321887,0.01354053710667898,16.619092400418122,0.011627957385025745,126.52930757977632,1227.3584326444939,10881.473279453043,True,`ftol` termination condition is satisfied.,12,23.239125813476655,17.819814523448585
15.0,0.8,0.022842867409792245,0.004958117345892744,4.386373853896096,0.029882237098551444,132.93211178193732,884.6853650064828,4448.532797043541,True,`ftol` termination condition is satisfied.,18,32.47206115935141,24.635298292724247
25.0,0.6,0.021660098427687808,0.014297243131239012,30.815233937846337,0.011693470067056186,464.73065765119475,2155.3269854183322,39742.7500122887,True,`ftol` termination condition is satisfied.,9,13.780884835276854,9.803537027294995
25.0,0.7,0.01802074055163748,0.013622579890762711,16.561667932389806,0.011876020238399452,123.79799590807468,1215.7512061001053,10424.198799172736,True,`ftol` termination condition is satisfied.,13,18.60568766952625,14.170117476749486
25.0,0.8,0.02342887389634122,0.029651353592130024,115.29215506158704,0.017301243313557365,4999.999999994498,3888.259424763244,288996.5714820313,True,`ftol` termination condition is satisfied.,155,33.3175033862524,24.58209706881207
30.0,0.6,0.020263266630770375,0.014431208969006194,30.92193595164855,0.011721353342511941,463.7748926857001,2142.712784359188,39566.6676989972,True,`ftol` termination condition is satisfied.,9,11.696557336734136,8.292026780459231
30.0,0.7,0.016614286716665243,0.013651073584289158,16.530078345792543,0.011998094231137697,122.53933159901874,1210.8995123150455,10213.232971699972,True,`ftol` termination condition is satisfied.,12,16.948865261143077,12.603235436129285
30.0,0.8,0.022026488434291405,0.02977673434709829,114.65588197013328,0.017527867112364297,4999.999999996531,3850.5190204414193,285260.03580147476,True,`ftol` termination condition is satisfied.,183,34.07792410037054,24.948775202118192
