controller,plant,reached_target_soc,charge_time_min,maximum_voltage_v,maximum_temperature_c
CC-CV 1C,Chen2020 DFN,True,42.81174733436465,4.200000000000002,37.50536112497332
CC-CV 1.5C,Chen2020 DFN,True,31.05211239362352,4.200000000000014,46.50323553728185
CC-CV 2C,Chen2020 DFN,True,26.47322701251217,4.200000000000005,54.258900901822926
Constrained MPC,reduced_model,True,53.583333333333336,4.140000000000044,33.50000000268323
Constrained MPC,chen2020_dfn,True,53.583333333333336,4.142485355073057,33.5166559880991
