c_rate,reached_target_soc,target_soc,final_soc,charge_time_s,charge_time_min,maximum_voltage_v,maximum_temperature_c,maximum_charge_current_a,voltage_limit_exceeded,temperature_limit_exceeded,current_limit_exceeded,simulation_status,solution_termination,returned_cycle_count,check_nonempty,check_finite,check_time_monotonic,check_soc_nondecreasing,check_charge_current_nonnegative
1.0,True,0.8,0.8000000000000067,2568.7048400618787,42.81174733436465,4.200000000000002,37.50536112497332,5.000203584635629,False,True,False,target_soc_reached,event: Target SOC reached [experiment],2,True,True,True,True,True
1.5,True,0.8,0.8000000000000076,1863.1267436174112,31.05211239362352,4.200000000000014,46.50323553728185,7.500648285523174,False,True,False,target_soc_reached,event: Target SOC reached [experiment],2,True,True,True,True,True
2.0,True,0.8,0.8000000000000002,1588.3936207507304,26.473227012512172,4.200000000000005,54.258900901822926,10.0,False,True,False,target_soc_reached,event: Target SOC reached [experiment],2,True,True,True,True,True
