controller,charge_time_min,maximum_voltage_v,maximum_temperature_c,maximum_current_a,success
Filtered 1C baseline,53.333333333333336,4.142489736809485,33.50239895144665,5.0,True
Original constrained MPC,53.583333333333336,4.142485355073057,33.5166559880991,9.832550962985978,True
Hybrid thermal-budget teacher,52.666666666666664,4.1424724954036005,33.50240692752163,8.358952568209334,True
