time_s,charge_current_a,raw_dnn_current_a,projection_adjustment_a,soc,terminal_voltage_v,average_temperature_c,dnn_inference_time_s,source
0.0,0.0,0.0,0.0,0.1,3.2959070147319616,25.0,0.0,chen2020_dfn_pure_dnn
5.0,2.1550396016819966,2.1550396016819966,0.0,0.10059862211157834,3.3888629142847133,25.02009207302183,0.00011460000000000001,chen2020_dfn_pure_dnn
10.0,3.2171616157075915,3.2171616157075915,0.0,0.10149227811594155,3.431076106336473,25.060936053949206,6.74e-05,chen2020_dfn_pure_dnn
15.0,4.490774465867586,4.490774465867586,0.0,0.10273971546757144,3.4766521054088004,25.1332144942819,8.37e-05,chen2020_dfn_pure_dnn
20.0,5.021964774770078,5.021964774770078,0.0,0.10413470568278535,3.503963210313684,25.221504843605487,7.24e-05,chen2020_dfn_pure_dnn
25.0,5.33124282519821,5.33124282519821,0.0,0.10561560646756263,3.5252846115306387,25.320340742483268,9.240000000000001e-05,chen2020_dfn_pure_dnn
30.0,5.578161597801601,5.578161597801601,0.0,0.1071650958002853,3.544131415100945,25.428124545062076,6.63e-05,chen2020_dfn_pure_dnn
35.0,5.8045245167251895,5.8045245167251895,0.0,0.10877746372159786,3.561533764487287,25.544336517622583,0.0001173,chen2020_dfn_pure_dnn
40.0,6.0367622300049035,6.0367622300049035,0.0,0.11045434211882144,3.578169650264001,25.669238150549234,8e-05,chen2020_dfn_pure_dnn
45.0,6.303918420054435,6.303918420054435,0.0,0.11220543056883656,3.5947575794061066,25.804081160123474,6.450000000000001e-05,chen2020_dfn_pure_dnn
50.0,6.629090240311238,6.629090240311238,0.0,0.11404684452447857,3.6118793206902247,25.95103941164774,6.670000000000001e-05,chen2020_dfn_pure_dnn
55.0,6.977696016470156,6.977696016470156,0.0,0.1159850934179425,3.6289306698955333,26.11125659586685,8.180000000000001e-05,chen2020_dfn_pure_dnn
60.0,7.262688274144633,7.262688274144633,0.0,0.11800250682742712,3.6442202975954157,26.28271084880714,0.0001552,chen2020_dfn_pure_dnn
65.0,7.4554941068189295,7.4554941068189295,0.0,0.1200734774126546,3.6570738242621372,26.462038176883766,9.05e-05,chen2020_dfn_pure_dnn
70.0,7.576106530659084,7.576106530659084,0.0,0.12217795144894879,3.667741346522557,26.646364817362098,8.120000000000001e-05,chen2020_dfn_pure_dnn
75.0,7.658904591602081,7.658904591602081,0.0,0.12430542494661603,3.6768259951165385,26.833995998105934,0.00011640000000000001,chen2020_dfn_pure_dnn
80.0,7.733964895711107,7.733964895711107,0.0,0.12645374852875801,3.6849461478170635,27.024373444963885,9.460000000000001e-05,chen2020_dfn_pure_dnn
85.0,7.823829412030339,7.823829412030339,0.0,0.12862703447654422,3.6926348273120837,27.217853024148496,6.91e-05,chen2020_dfn_pure_dnn
90.0,7.948376946218156,7.948376946218156,0.0,0.13083491696160482,3.7003968419316076,27.41564790615712,7.630000000000001e-05,chen2020_dfn_pure_dnn
95.0,8.117515808782239,8.117515808782239,0.0,0.13308978246404432,3.7085653398650438,27.619462226056328,7.76e-05,chen2020_dfn_pure_dnn
100.0,8.25814162404732,8.25814162404732,0.0,0.13538371069294636,3.7160555142881817,27.828163558780943,6.510000000000001e-05,chen2020_dfn_pure_dnn
105.0,8.172189330878304,8.172189330878304,0.0,0.13765376328485698,3.7195096830468186,28.032530626991104,9.2e-05,chen2020_dfn_pure_dnn
110.0,7.975297257456148,7.975297257456148,0.0,0.13986912363415038,3.7203679455081162,28.227862689374717,6.93e-05,chen2020_dfn_pure_dnn
115.0,7.8095022347549605,7.8095022347549605,0.0,0.1420384298104712,3.7209172869565843,28.41517044414553,7.060000000000001e-05,chen2020_dfn_pure_dnn
120.0,7.663425322380566,7.663425322380566,0.0,0.14416715906668803,3.7212240317829073,28.595122081127897,7.38e-05,chen2020_dfn_pure_dnn
