controller,seed_count,passing_seed_count,majority_passed,offline_combined_train_nrmse_mean,offline_combined_train_nrmse_std,offline_combined_train_nrmse_best,offline_original_validation_nrmse_mean,offline_original_validation_nrmse_std,offline_original_validation_nrmse_best,offline_new_validation_nrmse_mean,offline_new_validation_nrmse_std,offline_new_validation_nrmse_best,offline_frozen_test_nrmse_mean,offline_frozen_test_nrmse_std,offline_frozen_test_nrmse_best,offline_frozen_test_maximum_absolute_error_a_mean,offline_frozen_test_maximum_absolute_error_a_std,offline_frozen_test_maximum_absolute_error_a_best,closed_loop_current_nrmse_mean,closed_loop_current_nrmse_std,closed_loop_current_nrmse_best,closed_loop_charge_time_gap_fraction_mean,closed_loop_charge_time_gap_fraction_std,closed_loop_charge_time_gap_fraction_best,closed_loop_inference_speedup_mean,closed_loop_inference_speedup_std,closed_loop_inference_speedup_best,projection_intervention_fraction_mean,projection_intervention_fraction_std,projection_intervention_fraction_best
projected_dnn,5,0,False,0.05527956122021634,0.0002558746641135717,0.0550466036041873,0.05328713528067934,0.00039745179789592164,0.0528391999052647,0.05863376885432464,0.0002838352232389339,0.0583630968339042,0.05522024568797872,0.0007099635452892236,0.0544519948068586,1.8743545147501455,0.12698687849585652,1.7043703353577415,0.0517908663088991,0.002067201999493809,0.04951536709117,0.0360808709175739,0.0037130128728812732,0.0311041990668741,8588.878698836545,2219.320009983265,10705.968207613272,0.0016108437930283399,6.192106346486777e-06,0.0016025641025641
pure_dnn,5,0,False,0.05537285666230407,0.0002725557266427019,0.0551161108524756,0.05347555433653232,0.0004638041182138635,0.0528942704354432,0.0586907597533739,0.0002956497578524053,0.0583689691269777,0.05551248010719534,0.0008554154150505969,0.0546112289622222,1.9479778695897683,0.23545009968222227,1.7043703353577415,0.049689948299925304,0.0034007165383,0.0454789484029951,0.03701399688958014,0.003371614834942299,0.0326594090202177,7782.131009384776,1713.41329921654,9623.858190240133,0.0,0.0,0.0
structured_delta_dnn,5,0,False,0.07804472424972794,0.0009625638403313777,0.0765419956381602,0.07281331279002402,0.0010555124892843387,0.0711365260883227,0.0877474638196569,0.000955337361842948,0.0867320333450128,0.07990491001051069,0.0007189131139261045,0.0789875024039071,2.3369694444941835,0.16786344406552495,2.170568481179344,0.03510809445279754,0.004557091170667995,0.0298337163925611,0.03794712286158634,0.0111390386186438,0.0311041990668741,10151.5658659414,986.149952424333,11200.045276547404,0.0,0.0,0.0
