time_s,charge_current_a,latent_delta_output,soc,terminal_voltage_v,average_temperature_c,dnn_inference_time_s,source
0.0,0.0,0.0,0.1,3.2959070147319616,25.0,0.0,chen2020_dfn_structured_delta_dnn
5.0,1.9986085893270553,3.9816918108947323,0.10055516905259085,3.3833776220060594,25.017575039195947,4.6200000000000005e-05,chen2020_dfn_structured_delta_dnn
10.0,3.7790437325291397,1.422973367602498,0.10160490342273784,3.446287328411093,25.07101372542661,5.0400000000000005e-05,chen2020_dfn_structured_delta_dnn
15.0,5.771407409454335,3.1296112601589794,0.10320807214758626,3.509085654624701,25.179762569710135,6.500000000000001e-05,chen2020_dfn_structured_delta_dnn
20.0,6.979248721790649,0.6992958832887293,0.10514675234808367,3.554157176699357,25.33023179046404,5.380000000000001e-05,chen2020_dfn_structured_delta_dnn
25.0,8.314482429230761,0.8064312469805035,0.10745633080064777,3.600870322799612,25.532700871408963,6.110000000000001e-05,chen2020_dfn_structured_delta_dnn
30.0,9.448724204638602,0.6432684413455348,0.11008097641304737,3.643044384631607,25.785177072520355,4.8200000000000006e-05,chen2020_dfn_structured_delta_dnn
35.0,10.066690794775889,0.31942100287306885,0.11287727941159624,3.674723689297137,26.069457327626594,5.64e-05,chen2020_dfn_structured_delta_dnn
40.0,10.7709086672686,0.3678491283875172,0.11586919848583752,3.7052382775115555,26.39057776480678,5.81e-05,chen2020_dfn_structured_delta_dnn
45.0,10.783240091836317,0.006165790417563488,0.11886454295579205,3.722629942810772,26.71728019760252,5.0400000000000005e-05,chen2020_dfn_structured_delta_dnn
50.0,8.830121956682836,-2.2173145120798115,0.12131735461042617,3.7045674514333187,26.960190077705818,5.0100000000000005e-05,chen2020_dfn_structured_delta_dnn
55.0,8.834890118352027,0.0023840853515231797,0.12377149075441284,3.7113215146716385,27.202746500678927,5.7100000000000006e-05,chen2020_dfn_structured_delta_dnn
60.0,8.81693416933644,-0.0089782157397581,0.12622063913478407,3.717250099189821,27.44374713132379,5.16e-05,chen2020_dfn_structured_delta_dnn
65.0,8.777734441465014,-0.019602374307423953,0.12865889870185768,3.722220969559206,27.681979283196085,4.9000000000000005e-05,chen2020_dfn_structured_delta_dnn
70.0,8.719083451163318,-0.029333905983236708,0.13108086632718083,3.7262766539571337,27.916352833092503,5.4000000000000005e-05,chen2020_dfn_structured_delta_dnn
75.0,8.642697929613597,-0.03821134747244692,0.1334816157520735,3.7294948816326636,28.14590948830522,4.97e-05,chen2020_dfn_structured_delta_dnn
80.0,8.550147485388589,-0.04630829581189588,0.135856656720237,3.7319537302054164,28.369813306302376,4.8200000000000006e-05,chen2020_dfn_structured_delta_dnn
85.0,8.442936468623952,-0.05365694313736058,0.13820191685041033,3.7337235945240526,28.587342899532473,5.7600000000000004e-05,chen2020_dfn_structured_delta_dnn
90.0,8.322615062864335,-0.06023344098359684,0.14051375436787264,3.7348680384012636,28.797899419402142,4.91e-05,chen2020_dfn_structured_delta_dnn
95.0,8.190883524808092,-0.06596126620712739,0.14278899979143045,3.735445123563654,29.000976376726214,5.9900000000000006e-05,chen2020_dfn_structured_delta_dnn
100.0,8.049698771462984,-0.07070998914314941,0.14502502722794797,3.735514252291948,29.196195446304614,5.69e-05,chen2020_dfn_structured_delta_dnn
105.0,7.901356282953482,-0.07430770955862054,0.14721984841765723,3.735138126463111,29.38330586770479,4.88e-05,chen2020_dfn_structured_delta_dnn
110.0,7.748510156957793,-0.07657236913333765,0.14937221235014553,3.7343860827629927,29.562192681261422,5.7900000000000005e-05,chen2020_dfn_structured_delta_dnn
115.0,7.594072455499922,-0.07737288109653839,0.1514816769211177,3.7333336975158176,29.732880339839426,5.13e-05,chen2020_dfn_structured_delta_dnn
120.0,7.44096116994223,-0.07670572915348783,0.15354861057943497,3.7320598658341,29.89552562178426,5.81e-05,chen2020_dfn_structured_delta_dnn
