run_key,controller,initialization_seed,fit_time_s,optimization_iterations,optimizer_reached_iteration_limit,warning_count,projection_intervention_fraction,offline_combined_train_mae_a,offline_combined_train_rmse_a,offline_combined_train_nrmse,offline_combined_train_maximum_absolute_error_a,offline_combined_train_bias_a,offline_original_validation_mae_a,offline_original_validation_rmse_a,offline_original_validation_nrmse,offline_original_validation_maximum_absolute_error_a,offline_original_validation_bias_a,offline_new_validation_mae_a,offline_new_validation_rmse_a,offline_new_validation_nrmse,offline_new_validation_maximum_absolute_error_a,offline_new_validation_bias_a,offline_frozen_test_mae_a,offline_frozen_test_rmse_a,offline_frozen_test_nrmse,offline_frozen_test_maximum_absolute_error_a,offline_frozen_test_bias_a,closed_loop_current_nrmse,closed_loop_charge_time_gap_fraction,closed_loop_inference_speedup,closed_loop_reached_target_soc,closed_loop_charge_time_min,closed_loop_serious_physical_violation,closed_loop_maximum_current_change_a,closed_loop_voltage_violation_v,closed_loop_temperature_violation_c,closed_loop_current_violation_a,closed_loop_current_change_violation_a
projected_dnn__seed-22,projected_dnn,22,57.71210430000065,2500,True,1,0.001607717041800643,0.36267284228496105,0.5527972947480195,0.055279729474801954,2.059409972687039,-0.019803398935726597,0.36131984204048795,0.5299282166725862,0.05299282166725862,1.9355843659720398,-0.036658898365423555,0.3844322248118464,0.584264324409344,0.058426432440934394,1.9325307684816515,0.022397238905905264,0.3791675481597924,0.5601266786176143,0.056012667861761435,1.9399131202915392,-0.011249456395824028,0.05186760462939634,0.03421461897356148,10705.968207613272,True,51.75,False,2.0,0.0,0.0,0.0,0.0
projected_dnn__seed-42,projected_dnn,42,59.23416510000243,2500,True,1,0.0016155088852988692,0.3682708112636789,0.5518819065842911,0.055188190658429115,1.9410296402575087,0.016138318347211102,0.36225166737791425,0.5363827479486295,0.05363827479486295,1.985523702168531,0.00922820762879946,0.3935099794206549,0.5900678690588473,0.059006786905884734,1.8968611684436114,0.04287583633606803,0.38385775836799074,0.5537738845156898,0.055377388451568976,2.007822443990367,0.03410929671409497,0.04951536709117008,0.038880248833592576,10463.571368428686,True,51.5,False,2.0,0.0,0.0,0.0,0.0
projected_dnn__seed-73,projected_dnn,73,42.12318480000249,1340,False,0,0.0016025641025641025,0.3653700010680648,0.5571250063642913,0.05571250063642913,1.958715480386446,-0.01732254783630539,0.35991419221660703,0.5321359630383872,0.05321359630383872,1.8503510838229085,-0.007291805290241412,0.3871158166254939,0.588613983480239,0.0588613983480239,1.8895858392681264,0.010391659967762685,0.3757847606881889,0.5451439788331718,0.054514397883317176,1.7043703353577415,0.0028451940202459465,0.050811028219206376,0.031104199066874116,9278.065764212512,True,51.916666666666664,False,2.0,0.0,0.0,0.0,0.0
projected_dnn__seed-101,projected_dnn,101,59.44311690000177,2184,False,0,0.0016181229773462784,0.35882634553191106,0.5517078172723434,0.055170781727234344,1.9481385915514897,0.005959973517152849,0.3474870745229421,0.5283919990526473,0.052839199905264735,2.0926730760543544,0.01688876988656793,0.3836338622462692,0.5836309683390429,0.058363096833904296,1.8798874662130078,0.027135887905645074,0.3631896831616076,0.5445199480685865,0.05445199480685865,1.7789794568230635,0.02534151596209385,0.05166294675324836,0.04043545878693632,6618.711030214594,True,51.416666666666664,False,2.0,0.0,0.0,0.0,0.0
projected_dnn__seed-202,projected_dnn,202,80.41340209999908,2500,True,1,0.001610305958132045,0.3560445314100409,0.550466036041873,0.055046603604187304,2.072432510477574,-0.006281810299752845,0.35598517408368296,0.537517837321718,0.0537517837321718,1.9971092946643807,0.00848168626811587,0.38060009289610447,0.5851112974287617,0.058511129742876165,1.8949104506156793,0.01746348737444937,0.37502950999559553,0.5574477943638764,0.055744779436387636,1.9406872172880165,0.021629901120878006,0.05509738485147468,0.035769828926905216,5878.077123713662,True,51.666666666666664,False,2.0,0.0,0.0,0.0,0.0
pure_dnn__seed-22,pure_dnn,22,57.71210430000065,2500,True,1,0.0,0.36615024044644695,0.5538890242325686,0.05538890242325686,2.059409972687039,-0.017095543644494976,0.36593095821153293,0.5324727263538004,0.05324727263538004,1.9355843659720398,-0.035282144528857015,0.38756806396508936,0.5850082710374869,0.05850082710374869,1.9325307684816515,0.02553307805914827,0.38300993169102443,0.5618005226359927,0.05618005226359927,1.9399131202915392,-0.009788993500628245,0.048974513105077826,0.035769828926905216,9623.858190240133,True,51.666666666666664,True,2.3595288200632387,0.0,0.0,0.0,0.3595288200632387
pure_dnn__seed-42,pure_dnn,42,59.23416510000243,2500,True,1,0.0,0.37240121119581887,0.5531472358670948,0.05531472358670948,1.9410296402575087,0.019412718279472784,0.36668214186328635,0.5381613368935144,0.05381613368935144,1.985523702168531,0.012988116921865129,0.3967913475689328,0.5908302084632128,0.05908302084632128,1.8968611684436114,0.04615720448434593,0.38878387569212697,0.5555372038392312,0.05555372038392312,2.007822443990367,0.038429173984273854,0.04547894840299519,0.04043545878693632,9511.817038056231,True,51.416666666666664,True,2.599971217586879,0.0,0.0,0.0,0.5999712175868792
pure_dnn__seed-73,pure_dnn,73,42.12318480000249,1340,False,0,0.0,0.3688732209896124,0.5582471375305315,0.055824713753053146,1.958715480386446,-0.014633124569010668,0.3636205500605439,0.5336041537969074,0.05336041537969074,1.8503510838229085,-0.0055219265678566245,0.389447350418786,0.5890702698612124,0.058907026986121235,1.8895858392681264,0.012723193761054803,0.38095395408076205,0.5470072952155102,0.054700729521551014,1.7043703353577415,0.006083087349253676,0.04855160933510816,0.03265940902021773,7447.8088660150825,True,51.833333333333336,True,2.477350256111486,0.0,0.0,0.0,0.4773502561114862
pure_dnn__seed-101,pure_dnn,101,59.44311690000177,2184,False,0,0.0,0.3609652031421911,0.5521983269602556,0.05521983269602556,1.9481385915514897,0.007409030513438243,0.34960995891248725,0.5289427043544322,0.05289427043544322,2.0926730760543544,0.017269329305581324,0.3841622114239705,0.5836896912697771,0.05836896912697771,1.8798874662130078,0.027664237083346355,0.36678000337732186,0.5461122896222225,0.054611228962222244,1.7789794568230635,0.026231788814856802,0.05068167777881608,0.04043545878693632,6227.683792982107,True,51.416666666666664,False,2.1550396016819966,0.0,0.0,0.0,0.1550396016819966
pure_dnn__seed-202,pure_dnn,202,80.41340209999908,2500,True,1,0.0,0.358868937695676,0.5511611085247566,0.05511611085247566,2.072432510477574,-0.004302699582986265,0.3609982849596449,0.5405967954279639,0.05405967954279639,1.9971092946643807,0.009936859450867176,0.383869266544474,0.5859395470370088,0.05859395470370088,1.8949104506156793,0.020732661022818913,0.38142611074451804,0.5651666940468121,0.05651666940468121,2.30880399148613,0.021269388605539393,0.05476299287762959,0.035769828926905216,6099.487159630328,True,51.666666666666664,False,2.100153471429452,0.0,0.0,0.0,0.10015347142945208
