trajectory_id,target_reached,charge_time_s,maximum_voltage_v,maximum_average_temperature_c,maximum_current_step_a,empty_interval_count,solver_failure_count,prediction_infeasible_count,teacher_retry_count,alternative_selected_count,direction_reversal_count,sustained_oscillation_count,thermal_intervention_fraction,maximum_thermal_current_correction_a,first_thermal_intervention_time_s,first_thermal_intervention_soc,first_thermal_intervention_temperature_c,mean_teacher_time_ms,mean_thermal_supervisor_time_ms
phase7cr1_dev_000,True,1210.0,4.173126901493081,34.74360499278379,2.0,0,0,0,5,3,0,0,0.6611570247933884,2.1223227911221896,5.0,0.607958984375,30.0,41.85572355357379,0.3547235536650682
phase7cr1_dev_001,True,1580.0,4.168515523132669,34.8686999595522,2.0,0,0,0,143,61,0,0,0.7436708860759493,3.448277482258605,5.0,0.545458984375,30.0,49.42367974698854,0.3689655062586944
phase7cr1_dev_002,True,870.0,4.186496212887358,34.19688769894981,2.0,0,0,0,2,1,0,0,0.47701149425287354,0.2197863702941545,15.0,0.672535202617399,30.08168309852965,51.15590862038805,0.34947183917990177
phase7cr1_dev_003,True,2050.0,4.165613175042603,34.90043028629333,2.0,0,0,0,249,105,0,0,0.8,2.0377572451253334,10.0,0.4684911411152471,30.046066631350243,51.12347487809569,0.4389746342472818
phase7cr1_dev_004,True,1300.0,4.171623379733054,34.79415824241181,1.9924880746303617,0,0,0,47,29,0,0,0.6884615384615385,2.037334585529159,5.0,0.592333984375,30.0,40.05796076931937,0.3177115386698431
phase7cr1_dev_005,True,1675.0,4.167908179200026,34.87986084247211,0.5640418176996569,0,0,0,168,60,0,0,0.7582089552238805,2.0371214215126106,5.0,0.529833984375,30.0,48.05761611950492,0.34395134338839795
phase7cr1_dev_006,True,945.0,4.181877152667655,34.41347862821681,0.8644446039736051,0,0,0,0,0,0,0,0.5502645502645502,0.7734442218267645,5.0,0.654833984375,30.0,44.3534682536477,0.2971243387147455
phase7cr1_dev_007,True,1860.0,4.166565086931545,34.89313831375421,2.0,0,0,0,208,78,0,0,0.782258064516129,3.895034848687788,5.0,0.498583984375,30.0,45.11277177432494,0.389904838538196
