time_s,charge_current_a,raw_dnn_current_a,projection_adjustment_a,soc,terminal_voltage_v,average_temperature_c,dnn_inference_time_s,source
0.0,0.0,0.0,0.0,0.1,3.2959070147319616,25.0,0.0,chen2020_dfn_pure_dnn
5.0,4.580983391235215,4.580983391235215,0.0,0.10127249538645423,3.4593217965425502,25.072560421668527,5.7100000000000006e-05,chen2020_dfn_pure_dnn
10.0,3.4861868793265884,3.4861868793265884,0.0,0.10224088063071161,3.448408721742629,25.119902937414793,7.630000000000001e-05,chen2020_dfn_pure_dnn
15.0,6.737917824482755,6.737917824482755,0.0,0.10411252447084572,3.5373785591805644,25.260292157664708,7.31e-05,chen2020_dfn_pure_dnn
20.0,7.842725576401319,7.842725576401319,0.0,0.10629105935317942,3.5813603141896713,25.44296479891011,0.00011750000000000001,chen2020_dfn_pure_dnn
25.0,7.991021109694351,7.991021109694351,0.0,0.10851078743920563,3.6054844692151016,25.63528934189361,7.04e-05,chen2020_dfn_pure_dnn
30.0,8.37842940391235,8.37842940391235,0.0,0.1108381289402924,3.630984821448247,25.846134211292622,7.3e-05,chen2020_dfn_pure_dnn
35.0,8.474955300354955,8.474955300354955,0.0,0.11319228319039099,3.6492502194479473,26.06410812312953,6.220000000000001e-05,chen2020_dfn_pure_dnn
40.0,8.511632759220701,8.511632759220701,0.0,0.11555662562350785,3.664065670781259,26.286132501315194,9e-05,chen2020_dfn_pure_dnn
45.0,8.895856515373755,8.895856515373755,0.0,0.11802769687777834,3.6829372293490437,26.5258185888664,8.22e-05,chen2020_dfn_pure_dnn
50.0,9.188919677136441,9.188919677136441,0.0,0.12058017456587178,3.699259997060272,26.779502010420856,6.26e-05,chen2020_dfn_pure_dnn
55.0,9.080526247884702,9.080526247884702,0.0,0.12310254296806197,3.70771867855613,27.02974205854059,7.110000000000001e-05,chen2020_dfn_pure_dnn
60.0,8.821719626719716,8.821719626719716,0.0,0.1255530206421508,3.7117864856935148,27.269283646581414,7.31e-05,chen2020_dfn_pure_dnn
65.0,8.488753748328469,8.488753748328469,0.0,0.12791100779446427,3.7127698101787505,27.494318486779207,7.120000000000001e-05,chen2020_dfn_pure_dnn
70.0,8.229067164572808,8.229067164572808,0.0,0.13019685978462336,3.7133802440276007,27.70741070536758,6.8e-05,chen2020_dfn_pure_dnn
75.0,8.19447413391023,8.19447413391023,0.0,0.13247310259959844,3.716782621945023,27.9174544650391,7.03e-05,chen2020_dfn_pure_dnn
80.0,8.123634432020033,8.123634432020033,0.0,0.13472966771960398,3.7192905001780736,28.122918527245872,0.0001004,chen2020_dfn_pure_dnn
85.0,8.015868349926482,8.015868349926482,0.0,0.1369562978168058,3.7208107910235917,28.322235988658804,7.890000000000001e-05,chen2020_dfn_pure_dnn
90.0,7.877531491574153,7.877531491574153,0.0,0.13914450100890974,3.7214044190771274,28.514140226822747,0.0001111,chen2020_dfn_pure_dnn
95.0,7.701273954266375,7.701273954266375,0.0,0.14128374377398373,3.720922047827501,28.69710405530816,7.2e-05,chen2020_dfn_pure_dnn
100.0,7.488083919391658,7.488083919391658,0.0,0.14336376708492585,3.7193367828909363,28.86971944559218,9.970000000000001e-05,chen2020_dfn_pure_dnn
105.0,7.258596294053335,7.258596294053335,0.0,0.145380043833274,3.7169727398632864,29.031449821303568,6.92e-05,chen2020_dfn_pure_dnn
110.0,7.07731511589303,7.07731511589303,0.0,0.14734596469879982,3.7150087217651353,29.18423565219456,8.180000000000001e-05,chen2020_dfn_pure_dnn
115.0,6.983526435133827,6.983526435133827,0.0,0.14928583315300367,3.7143622928921154,29.331448395004088,8.81e-05,chen2020_dfn_pure_dnn
120.0,6.932380458823685,6.932380458823685,0.0,0.15121149439156578,3.7144880281372994,29.474809220423197,7.15e-05,chen2020_dfn_pure_dnn
125.0,6.8839636525971555,6.8839636525971555,0.0,0.15312370651728724,3.714749087438253,29.614556133703957,7.780000000000001e-05,chen2020_dfn_pure_dnn
130.0,6.842815587504633,6.842815587504633,0.0,0.1550244886249274,3.7151956348388415,29.751067657883084,9.810000000000001e-05,chen2020_dfn_pure_dnn
135.0,6.8097861108710545,6.8097861108710545,0.0,0.15691609587794714,3.7158376074050867,29.88473672380354,0.0001168,chen2020_dfn_pure_dnn
140.0,6.782342545632931,6.782342545632931,0.0,0.15880007991840073,3.7166348049018425,30.015814371377587,7.780000000000001e-05,chen2020_dfn_pure_dnn
145.0,6.755340224766284,6.755340224766284,0.0,0.16067656331416913,3.717485059226335,30.144443085454952,0.0001112,chen2020_dfn_pure_dnn
150.0,6.7201862742936775,6.7201862742936775,0.0,0.16254328172369517,3.7182198751220614,30.27040541827057,0.0001348,chen2020_dfn_pure_dnn
155.0,6.665892736915438,6.665892736915438,0.0,0.16439491859506056,3.7186037199681747,30.393123565634994,6.96e-05,chen2020_dfn_pure_dnn
160.0,6.585407762642193,6.585407762642193,0.0,0.16622419852912784,3.718457892100381,30.511691386723157,7.170000000000001e-05,chen2020_dfn_pure_dnn
165.0,6.484411584323436,6.484411584323436,0.0,0.1680254239692177,3.7178205429999314,30.625441789589615,7.19e-05,chen2020_dfn_pure_dnn
170.0,6.377122058867829,6.377122058867829,0.0,0.16979684676334766,3.71691400329052,30.73420597097413,0.00040070000000000004,chen2020_dfn_pure_dnn
175.0,6.272152193046082,6.272152193046082,0.0,0.17153911126141602,3.71590348013195,30.838118363212516,0.0001673,chen2020_dfn_pure_dnn
180.0,6.169955159270139,6.169955159270139,0.0,0.1732529876945466,3.714823286009696,30.937336379312967,8.460000000000001e-05,chen2020_dfn_pure_dnn
185.0,6.068640436286563,6.068640436286563,0.0,0.17493872114907066,3.7136583506797836,31.031959389248186,9.180000000000001e-05,chen2020_dfn_pure_dnn
190.0,5.967573962437014,5.967573962437014,0.0,0.17659638058308097,3.7124074489737957,31.12206885723731,7.14e-05,chen2020_dfn_pure_dnn
195.0,5.867832539716245,5.867832539716245,0.0,0.17822633406633548,3.711098249394162,31.207783573038114,0.0001144,chen2020_dfn_pure_dnn
200.0,5.771192565973987,5.771192565973987,0.0,0.17982944311243937,3.7097733653990206,31.2892784067472,0.0001688,chen2020_dfn_pure_dnn
205.0,5.678896156572328,5.678896156572328,0.0,0.1814069142670428,3.708469478254211,31.366767144520622,0.0001292,chen2020_dfn_pure_dnn
