trajectory_id,sampling_method,step_index,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,teacher_current_a,teacher_accepted,active_voltage_constraint,active_temperature_constraint,active_current_upper_constraint,active_current_change_constraint,next_soc,next_voltage_v,next_average_temperature_c,split
paper_ic_000,hammersley,0,0.1003623949579832,0.045,0.03,26.68,1.4285714285714284,3.4285714285714195,True,False,False,False,True,0.10131477591036415,3.4444767258996762,26.707998037428297,train
paper_ic_000,hammersley,1,0.10131477591036415,0.04154221083730604,0.030763722809670855,26.707998037428297,3.4285714285714195,3.4285714285714195,True,False,False,False,False,0.10226715686274511,3.444862877723048,26.73521739989456,train
paper_ic_000,hammersley,2,0.10226715686274511,0.03895477648108128,0.03150249049406301,26.73521739989456,3.4285714285714195,3.4285714285714195,True,False,False,False,False,0.10321953781512606,3.445870293262833,26.76185716696421,train
paper_ic_000,hammersley,3,0.10321953781512606,0.037018621257968634,0.03221711847766003,26.76185716696421,3.4285714285714195,3.4285714285714195,True,False,False,False,False,0.10417191876750702,3.4473357502886026,26.788065074400212,train
paper_ic_000,hammersley,4,0.10417191876750702,0.03556981269632613,0.03290839554043538,26.788065074400212,3.4285714285714195,3.4285714285714195,True,False,False,False,False,0.10512429971988797,3.449137263987036,26.813950286793883,train
paper_ic_000,hammersley,5,0.10512429971988797,0.0344856815155037,0.03357708468847855,26.813950286793883,3.4285714285714195,5.428571428571424,True,False,False,False,True,0.10663223622782447,3.5007600958910743,26.88034121767622,train
paper_ic_000,hammersley,6,0.10663223622782447,0.038264738889964706,0.03524125252389592,26.88034121767622,5.428571428571424,5.428571428571424,True,False,False,False,False,0.10814017273576099,3.508679740266361,26.948372024621463,train
paper_ic_000,hammersley,7,0.10814017273576099,0.04109257552914454,0.03685104262397298,26.948372024621463,5.428571428571424,5.428571428571424,True,False,False,False,False,0.1096481092436975,3.5158190490475647,27.017662166324605,train
paper_ic_001,hammersley,0,0.10108718487394959,0.0225,0.06,28.36,2.8571428571428568,4.857142857142844,True,False,False,False,True,0.10243639122315594,3.4937837851610776,28.40921777285247,test
paper_ic_001,hammersley,1,0.10243639122315594,0.027984439582222635,0.060510117091618874,28.40921777285247,4.857142857142844,4.857142857142844,True,False,False,False,False,0.10378559757236229,3.501535614783115,28.460101410247226,test
paper_ic_001,hammersley,2,0.10378559757236229,0.0320883992894206,0.061003565785008755,28.460101410247226,4.857142857142844,4.857142857142844,True,False,False,False,False,0.10513480392156864,3.508226275710744,28.51218229757335,test
paper_ic_001,hammersley,3,0.10513480392156864,0.03515935759351022,0.06148089073061184,28.51218229757335,4.857142857142844,4.857142857142844,True,False,False,False,False,0.10648401027077499,3.514116086697182,28.565109130320856,test
paper_ic_001,hammersley,4,0.10648401027077499,0.03745732969321585,0.061942618782073036,28.565109130320856,4.857142857142844,4.857142857142844,True,False,False,False,False,0.10783321661998134,3.519399901253524,28.618618051032005,test
paper_ic_001,hammersley,5,0.10783321661998134,0.039176882760410925,0.06238925957776159,28.618618051032005,4.857142857142844,6.857142857142849,True,False,False,False,True,0.10973797852474325,3.5737879144498237,28.72826096907353,test
paper_ic_001,hammersley,6,0.10973797852474325,0.04505391332120548,0.06383863463101391,28.72826096907353,6.857142857142849,6.857142857142849,True,False,False,False,False,0.11164274042950516,3.5839413463011374,28.840666910262424,test
paper_ic_001,hammersley,7,0.11164274042950516,0.04945164553392818,0.06524065043877592,28.840666910262424,6.857142857142849,6.857142857142849,True,False,False,False,False,0.11354750233426707,3.592915424450552,28.955110670408917,test
paper_ic_002,hammersley,0,0.10181197478991597,0.0675,0.009999999999999998,30.04,4.285714285714286,6.285714285714277,True,False,False,False,True,0.10355800653594771,3.516206404708458,30.110221374656845,train
paper_ic_002,hammersley,1,0.10355800653594771,0.06493634686089349,0.01287056191260615,30.110221374656845,6.285714285714277,6.285714285714277,True,False,False,False,False,0.10530403828197946,3.5211317476593686,30.18027572122061,train
paper_ic_002,hammersley,2,0.10530403828197946,0.06301798692121467,0.01564732640127488,30.18027572122061,6.285714285714277,6.285714285714277,True,False,False,False,False,0.1070500700280112,3.526428634828605,30.250391688784887,train
paper_ic_002,hammersley,3,0.1070500700280112,0.06158249441950787,0.018333358356088743,30.250391688784887,6.285714285714277,6.285714285714277,True,False,False,False,False,0.10879610177404295,3.5319780051781056,30.32072997298807,train
paper_ic_002,hammersley,4,0.10879610177404295,0.060508327533599346,0.02093162251991063,30.32072997298807,6.285714285714277,6.285714285714277,True,False,False,False,False,0.11054213352007469,3.5376912939005973,30.391400231225468,train
paper_ic_002,hammersley,5,0.11054213352007469,0.059704537546949814,0.023444986760757455,30.391400231225468,6.285714285714277,7.006523043697222,True,False,False,False,False,0.1124883899211017,3.5613616783767905,30.48342848914941,train
paper_ic_002,hammersley,6,0.1124883899211017,0.060757433808392186,0.026242874893511195,30.48342848914941,7.006523043697222,7.006523043697222,True,False,False,False,False,0.11443464632212871,3.5692647950246186,30.57684860734758,train
paper_ic_002,hammersley,7,0.11443464632212871,0.061545307166834345,0.028949340263994983,30.57684860734758,7.006523043697222,7.006523043697222,True,False,False,False,False,0.11638090272315572,3.576852433416982,30.671478110727435,train
paper_ic_003,hammersley,0,0.10253676470588236,0.01125,0.039999999999999994,31.72,5.7142857142857135,6.433063032521881,True,False,False,False,False,0.10432372665936065,3.5084784970567626,31.773784691217024,train
paper_ic_003,hammersley,1,0.10432372665936065,0.023183135821180645,0.04196524400229222,31.773784691217024,6.433063032521881,6.433063032521881,True,False,False,False,False,0.10611068861283895,3.5234618365441834,31.83335013451501,train
