initial_state_id,sampling_method,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,teacher_optimizer_success,teacher_prediction_feasible,teacher_accepted,teacher_status,teacher_objective,teacher_solve_time_s,teacher_minimum_constraint_margin
paper_ic_000,hammersley,0.1003623949579832,0.045,0.03,26.68,1.4285714285714284,True,True,True,Optimization terminated successfully,7.562282038372,1.2257798999999068,-3.9538441853892436e-08
paper_ic_001,hammersley,0.10108718487394959,0.0225,0.06,28.36,2.8571428571428568,True,True,True,Optimization terminated successfully,7.783863785834047,1.3413962999984506,-4.440892098500626e-15
paper_ic_002,hammersley,0.10181197478991597,0.0675,0.009999999999999998,30.04,4.285714285714286,True,True,True,Optimization terminated successfully,7.911523356973112,1.001290500000323,-4.899689542980923e-10
paper_ic_003,hammersley,0.10253676470588236,0.01125,0.039999999999999994,31.72,5.7142857142857135,True,True,True,Optimization terminated successfully,8.230984131581303,1.20283500000005,-6.648335215686529e-10
paper_ic_004,hammersley,0.10326155462184874,0.056249999999999994,0.06999999999999999,25.336,7.142857142857142,True,True,True,Optimization terminated successfully,7.348128935662498,1.7258729000022868,-3.178939778081258e-09
paper_ic_005,hammersley,0.10398634453781513,0.03375,0.019999999999999997,27.016,8.571428571428571,True,True,True,Optimization terminated successfully,7.429505015186795,1.5681769999973767,-2.489244366188359e-10
paper_ic_006,hammersley,0.10471113445378152,0.07875,0.05,28.695999999999998,0.2040816326530612,True,True,True,Optimization terminated successfully,7.789528791270973,1.6946023999989848,-8.775700166552269e-10
paper_ic_007,hammersley,0.1054359243697479,0.005625,0.07999999999999999,30.376,1.6326530612244896,True,True,True,Optimization terminated successfully,8.02547815060986,1.1796326000003319,-3.887066668539774e-09
paper_ic_008,hammersley,0.10616071428571429,0.050624999999999996,0.003333333333333333,32.056,3.0612244897959187,True,True,True,Optimization terminated successfully,8.13512091830153,0.9391568999999436,-3.1320084303843032e-09
paper_ic_009,hammersley,0.10688550420168068,0.028124999999999997,0.03333333333333333,25.672,4.489795918367347,True,True,True,Optimization terminated successfully,7.228760602141923,0.8948435999991489,-7.08908487467852e-11
paper_ic_010,hammersley,0.10761029411764707,0.073125,0.06333333333333334,27.352,5.918367346938775,True,True,True,Optimization terminated successfully,7.489645859255343,0.8782867000008991,-5.912283995712642e-10
paper_ic_011,hammersley,0.10833508403361346,0.016875,0.013333333333333332,29.032,7.346938775510203,True,True,True,Optimization terminated successfully,7.583577547791643,0.886669499999698,-4.849951551477716e-10
paper_ic_012,hammersley,0.10905987394957983,0.061875,0.04333333333333333,30.712,8.775510204081632,True,True,True,Optimization terminated successfully,7.910076889865904,0.6639837000002444,-3.7426417520691757e-10
paper_ic_013,hammersley,0.10978466386554622,0.039375,0.07333333333333332,32.391999999999996,0.4081632653061224,True,True,True,Optimization terminated successfully,8.275146942574642,0.9385082000007969,-1.944044925039634e-10
paper_ic_014,hammersley,0.11050945378151261,0.08437499999999999,0.02333333333333333,26.008,1.8367346938775508,True,True,True,Optimization terminated successfully,7.219054636197299,1.065408300000854,-2.8975932764296886e-10
paper_ic_015,hammersley,0.111234243697479,0.0028125,0.05333333333333333,27.688,3.265306122448979,True,True,True,Optimization terminated successfully,7.42159530338914,0.7757025000028079,-2.5987390017689904e-10
paper_ic_016,hammersley,0.11195903361344539,0.0478125,0.08333333333333331,29.368,4.693877551020408,True,True,True,Optimization terminated successfully,7.703190162684853,0.936273399998754,-9.432383762941754e-09
paper_ic_017,hammersley,0.11268382352941177,0.025312499999999998,0.006666666666666666,31.048000000000002,6.122448979591837,True,True,True,Optimization terminated successfully,7.784087014386344,0.8724299000023166,-2.982780245019967e-09
paper_ic_018,hammersley,0.11340861344537816,0.0703125,0.03666666666666666,32.728,7.551020408163264,True,True,True,Optimization terminated successfully,8.160259970438123,0.4376885999990918,-5.0229886028319015e-08
paper_ic_019,hammersley,0.11413340336134455,0.014062499999999999,0.06666666666666667,26.344,8.979591836734693,True,True,True,Optimization terminated successfully,7.191545971810529,0.7102768000004289,-2.553264266680344e-10
paper_ic_020,hammersley,0.11485819327731094,0.0590625,0.016666666666666666,28.024,0.6122448979591837,True,True,True,Optimization terminated successfully,7.379647481704533,1.1025478999981715,-2.0175860981908045e-10
paper_ic_021,hammersley,0.11558298319327731,0.0365625,0.04666666666666666,29.704,2.0408163265306123,True,True,True,Optimization terminated successfully,7.605178294870858,0.9368169000008493,-4.379001694587714e-08
paper_ic_022,hammersley,0.1163077731092437,0.0815625,0.07666666666666666,31.384,3.4693877551020407,True,True,True,Optimization terminated successfully,7.919111957298758,0.8541291000001365,-2.871800575121597e-10
paper_ic_023,hammersley,0.11703256302521009,0.0084375,0.026666666666666665,33.064,4.8979591836734695,True,True,True,Optimization terminated successfully,8.096639718313197,1.3705614999998943,-9.723557070628885e-09
paper_ic_024,hammersley,0.11775735294117648,0.0534375,0.056666666666666664,25.0672,6.326530612244897,True,True,True,Optimization terminated successfully,6.943496552963815,0.6120225999984541,-4.795239760824188e-10
paper_ic_025,hammersley,0.11848214285714287,0.0309375,0.08666666666666666,26.7472,7.755102040816325,True,True,True,Optimization terminated successfully,7.18379564701052,0.6384007999986352,-2.929212428171013e-10
