trajectory_id,policy_kind,step_index,time_s,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,audit_core_temperature_c,audit_surface_temperature_c,state_previous_current_a,exploration_desired_current_a,exploration_applied_current_a,exploration_safety_override,next_voltage_v,next_average_temperature_c,next_soc,soc_bin_index,split,reachable_source,teacher_current_a,teacher_optimizer_success,teacher_prediction_feasible,teacher_used_fallback,teacher_accepted,teacher_status,teacher_objective,teacher_solve_time_s,teacher_predicted_maximum_voltage_v,teacher_predicted_maximum_temperature_c,teacher_predicted_terminal_soc,teacher_minimum_constraint_margin,active_voltage_constraint,active_temperature_constraint,active_current_upper_constraint,active_current_change_constraint
constant_1c,constant,24,120.0,0.13222222222222213,0.04553552533646635,0.041811972429861344,26.398942547016002,26.399571954781322,26.396424915954725,5.0,5.0,5.0,False,3.566285553901861,26.464917873763767,0.13361111111111101,0,train,True,7.0,True,True,False,True,Optimization terminated successfully,6.735711517423969,0.8064714000001914,3.825209696594952,33.500000000546216,0.24643267095547702,-5.462155172608618e-10,False,True,False,True
constant_1c,constant,48,240.0,0.16555555555555534,0.045591416508595065,0.06160549750333111,27.964637984167506,27.965540838846827,27.961026565450226,5.0,5.0,5.0,False,3.649590240904398,28.028099032118625,0.16694444444444423,0,train,True,7.0,True,True,False,True,Optimization terminated successfully,6.207925142448,0.557302300000174,3.823014346085123,33.50000000031319,0.26948374582796136,-3.1319302706833696e-10,False,True,False,True
constant_1c,constant,97,485.0,0.23361111111111066,0.0455914696527661,0.07464864493375703,30.77519534127697,30.776538591865506,30.769822338922808,5.0,5.0,5.0,False,3.7510161259261334,30.825593293649696,0.23499999999999954,1,train,True,6.214527082342718,True,True,False,True,Optimization terminated successfully,5.150462704280018,0.6062815000000228,3.8219760363127,33.50000000002173,0.3188735456623394,-2.1728396859543864e-11,False,True,False,False
constant_1c,constant,120,600.0,0.265555555555555,0.04559146965280193,0.0763511554180545,31.863879075047453,31.865385436233414,31.857853630303612,5.0,5.0,5.0,False,3.781456440719748,31.907948413031043,0.2669444444444439,1,train,True,5.580856073972506,True,True,False,True,Optimization terminated successfully,4.671998444461643,0.3605835000003026,3.82434232072963,33.50000000224469,0.3429018962936059,-2.2446897673944477e-09,False,True,False,False
constant_1c,constant,174,870.0,0.33626848285726657,0.03464164752659829,0.07104343764169045,33.50000999999698,33.50156432680941,33.493792692747284,3.786923036823282,5.0,3.7929606190300547,False,3.800416050336745,33.500009999998184,0.33732208302921934,2,train,True,3.792484321391664,True,True,False,True,Optimization terminated successfully,3.618467094965836,0.28731939999988754,3.8543208159760045,33.50000000080081,0.40079173419474706,-8.008100849110633e-10,False,True,False,False
constant_1c,constant,204,1020.0,0.3683108202878462,0.0353304419296747,0.06405437777999662,33.50000999999779,33.50156432681022,33.493792692748094,3.8800601472030394,5.0,3.881594752892852,False,3.8233881594009116,33.50000999999771,0.3693890410525386,2,train,True,3.881114507949525,True,True,False,True,Optimization terminated successfully,3.086625634296173,0.8882307999997465,3.8804404622749655,33.50000000236314,0.4333977143722125,-2.3631372414456564e-09,False,True,False,False
constant_1c,constant,264,1320.0,0.43339122923226014,0.0357022445276106,0.06129479367479836,33.500009999998525,33.501564326810964,33.49379269274877,3.915952259558253,5.0,3.916094378218986,False,3.8763885093377786,33.50000999999703,0.43447903322620984,3,train,True,3.9156126740312702,True,True,False,True,Optimization terminated successfully,2.1490586798555937,0.3960445000002437,3.9351091666396125,33.50000000148581,0.49870173829350173,-1.485808809320588e-09,False,True,False,False
constant_1c,constant,295,1475.0,0.46712562902998644,0.03572901207439252,0.0610974715240057,33.500009999999904,33.50156432681235,33.49379269275013,3.918533328542253,5.0,3.9185746731527615,False,3.9043064144491386,33.5000099999994,0.4682141219947511,3,train,True,3.918092864413216,True,True,False,True,Optimization terminated successfully,1.7313371546231788,0.08469819999982064,3.9643147941715213,33.500000000370356,0.5324521693166452,-3.70356190160237e-10,False,True,False,False
constant_1c,constant,356,1780.0,0.533534337206648,0.03573902335569057,0.061023717298521324,33.500009999997374,33.50156432680981,33.49379269274764,3.919498571776785,5.0,3.9195022081548814,False,3.961264829328568,33.500009999999484,0.5346230878200243,4,train,True,3.919020359972515,True,True,False,True,Optimization terminated successfully,1.0423781577511702,0.08144790000005742,4.024811732063839,33.500000000129646,0.5988668698117032,-1.2964562756678788e-10,False,True,False,False
constant_1c,constant,387,1935.0,0.5672859253297383,0.03573970804657017,0.06101867401637174,33.50000999999795,33.501564326810374,33.49379269274823,3.9195645846484695,5.0,3.9195656416995917,False,3.9912207260315995,33.500009999998966,0.5683746935635438,4,train,True,3.9190837906736915,True,True,False,True,Optimization terminated successfully,0.759864421624371,0.08079470000029687,4.0600051304917715,33.500000000189615,0.6326188669378833,-1.8961543446494034e-10,False,True,False,False
