time_s,charge_current_a,soc,terminal_voltage_v,average_temperature_c,safety_override,source
0.0,0.0,0.1,3.2959070147319616,25.0,False,reduced_model
5.0,2.0,0.10055555555555556,3.3455056002961303,25.007004458575764,False,reduced_model
10.0,4.0,0.10166666666666667,3.4008262851352056,25.036521470261302,False,reduced_model
15.0,5.0,0.10305555555555555,3.436166267007136,25.085454157282342,False,reduced_model
20.0,5.0,0.10444444444444444,3.4479834907113287,25.137792565026565,False,reduced_model
25.0,5.0,0.10583333333333332,3.458147186547844,25.19278147721849,False,reduced_model
30.0,5.0,0.1072222222222222,3.4670531514398983,25.249848529524876,False,reduced_model
35.0,5.0,0.10861111111111109,3.4749980485951277,25.30855841004952,False,reduced_model
40.0,5.0,0.10999999999999997,3.482204342230359,25.368578616447003,False,reduced_model
45.0,5.0,0.11138888888888886,3.488838956605517,25.429653823788293,False,reduced_model
50.0,5.0,0.11277777777777774,3.4950272389919057,25.491586696056842,False,reduced_model
55.0,5.0,0.11416666666666662,3.5008634085956807,25.554223519627673,False,reduced_model
60.0,5.0,0.11555555555555551,3.506418375933281,25.617443445255496,False,reduced_model
65.0,5.0,0.11694444444444439,3.511745594520853,25.681150430531094,False,reduced_model
70.0,5.0,0.11833333333333328,3.516885440144024,25.745267203318498,False,reduced_model
75.0,5.0,0.11972222222222216,3.521868488312149,25.809730737710325,False,reduced_model
80.0,5.0,0.12111111111111104,3.526717967217535,25.874488862015273,False,reduced_model
85.0,5.0,0.12249999999999993,3.5314515937167283,25.939497714055854,False,reduced_model
90.0,5.0,0.12388888888888881,3.5360829476176407,26.004719830714183,False,reduced_model
95.0,5.0,0.1252777777777777,3.5406225004705347,26.070122712286285,False,reduced_model
100.0,5.0,0.1266666666666666,3.545078385813337,26.13567774233077,False,reduced_model
105.0,5.0,0.12805555555555548,3.5494569759360184,26.201359373723797,False,reduced_model
110.0,5.0,0.12944444444444436,3.553763313851892,26.267144514100337,False,reduced_model
115.0,5.0,0.13083333333333325,3.5580014369089255,26.33301206067488,False,reduced_model
120.0,5.0,0.13222222222222213,3.5621746193040993,26.398942547016002,False,reduced_model
125.0,5.0,0.13361111111111101,3.566285553901861,26.464917873763767,False,reduced_model
130.0,5.0,0.1349999999999999,3.5703364886230147,26.530921102324076,False,reduced_model
135.0,5.0,0.13638888888888878,3.5743293288280933,26.59693629584606,False,reduced_model
140.0,5.0,0.13777777777777767,3.5782657142440555,26.662948395733647,False,reduced_model
145.0,5.0,0.13916666666666655,3.5821470768317347,26.728943124894805,False,reduced_model
150.0,5.0,0.14055555555555543,3.585974684381462,26.79490691114127,False,reduced_model
155.0,5.0,0.14194444444444432,3.589749673419612,26.860826825804885,False,reduced_model
160.0,5.0,0.1433333333333332,3.593473074107307,26.92669053387415,False,reduced_model
165.0,5.0,0.14472222222222209,3.5971458291379377,26.992486252880543,False,reduced_model
170.0,5.0,0.14611111111111097,3.6007688081353573,27.058202718457295,False,reduced_model
175.0,5.0,0.14749999999999985,3.604342818676851,27.12382915501218,False,reduced_model
180.0,5.0,0.14888888888888874,3.6078686147823316,27.189355250344008,False,reduced_model
185.0,5.0,0.15027777777777762,3.6113469034996584,27.25477113332345,False,reduced_model
190.0,5.0,0.1516666666666665,3.6147783500576876,27.32006735397637,False,reduced_model
195.0,5.0,0.1530555555555554,3.6181635819402143,27.385234865470824,False,reduced_model
200.0,5.0,0.15444444444444427,3.621503192145295,27.45026500763101,False,reduced_model
205.0,5.0,0.15583333333333316,3.624797741828121,27.515149491692988,False,reduced_model
210.0,5.0,0.15722222222222204,3.628047762475931,27.579880386085375,False,reduced_model
215.0,5.0,0.15861111111111093,3.6312537577263093,27.6444501030698,False,reduced_model
220.0,5.0,0.1599999999999998,3.6344162049124127,27.708851386114375,False,reduced_model
225.0,5.0,0.1613888888888887,3.6375355563978,27.773077297902432,False,reduced_model
230.0,5.0,0.16277777777777758,3.6406122407480135,27.837121208900527,False,reduced_model
235.0,5.0,0.16416666666666646,3.6436466637743474,27.90097678642609,False,reduced_model
240.0,5.0,0.16555555555555534,3.646639209476518,27.964637984167506,False,reduced_model
245.0,5.0,0.16694444444444423,3.649590240904398,28.028099032118625,False,reduced_model
250.0,5.0,0.1683333333333331,3.6525001009540863,28.091354426896856,False,reduced_model
255.0,5.0,0.169722222222222,3.655369113109892,28.154398922419354,False,reduced_model
260.0,5.0,0.17111111111111088,3.6581975821410704,28.217227520915877,False,reduced_model
265.0,5.0,0.17249999999999976,3.6609857947600735,28.279835464259996,False,reduced_model
