trajectory_id,split,step_index,state_soc,state_polarization_1_v,state_polarization_2_v,teacher_current_a,terminal_voltage_v,next_soc,next_polarization_1_v,next_polarization_2_v,teacher_objective,teacher_solve_time_s,teacher_optimizer_success,teacher_prediction_feasible,teacher_used_fallback,minimum_prediction_margin,plan_block_00_a,plan_block_01_a,plan_block_02_a
terminal_000,train,0,0.7817193000900063,0.03,0.03,2.9742675932554086,4.148338187662044,0.7825454855325773,0.029275141573828743,0.030532634683710418,0.0029919633533372464,0.057589899999584304,True,True,False,0.031058998403163507,2.9742675932554086,0.47759697215224023,0.0
terminal_000,train,1,0.7825454855325773,0.029275141573828743,0.030532634683710418,2.8393581399178816,4.146044912803378,0.783334196126999,0.0284230984784226,0.030979241574875152,0.002727634386390043,0.05592199999955483,True,True,False,0.035839893195410255,2.8393581399178816,0.4562404923376794,0.0
terminal_000,train,2,0.783334196126999,0.0284230984784226,0.030979241574875152,2.711313657446427,4.143649639262418,0.784087338809623,0.027491640321892823,0.03134612365131468,0.0024866984926280853,0.061603300000570016,True,True,False,0.04040402594003645,2.711313657446427,0.43528887001091643,0.0
terminal_000,train,3,0.784087338809623,0.027491640321892823,0.03134612365131468,2.5887888301847455,4.141179525103569,0.7848064468180077,0.026513424993941298,0.03163869362306939,0.0022670245840238387,0.060773900000640424,True,True,False,0.044804357678194684,2.5887888301847455,0.41561913314701343,9.276392056716132e-18
terminal_000,train,4,0.7848064468180077,0.026513424993941298,0.03163869362306939,2.471803781859903,4.138674514291641,0.7854930589796355,0.025512936303952793,0.0318621975726805,0.002066756435034839,0.06889589999991586,True,True,False,0.04903569059825941,2.471803781859903,0.39682991776321463,0.0
terminal_000,train,5,0.7854930589796355,0.025512936303952793,0.0318621975726805,2.3600966354564124,4.136160197176143,0.7861486413783734,0.024507894231707867,0.03202157695614874,0.001884179561769785,0.07326389999980165,True,True,False,0.05310512028146874,2.3600966354564124,0.37890267032456754,1.8812387161442522e-17
terminal_000,train,6,0.7861486413783734,0.024507894231707867,0.03202157695614874,2.253439056423038,4.133655742974156,0.7867745966718243,0.023511034425604455,0.032121495618651894,0.0017177317577197985,0.06355849999999919,True,True,False,0.05701853834394299,2.253439056423038,0.3617795113143113,0.0
terminal_000,train,7,0.7867745966718243,0.023511034425604455,0.032121495618651894,2.1376257240804586,4.130876716672504,0.78736838159518,0.0224992834964837,0.032159239272293964,0.0015662180002847985,0.05030429999897024,True,True,False,0.06138614328438141,2.1376257240804586,0.36357121956220656,0.0
terminal_000,train,8,0.78736838159518,0.0224992834964837,0.032159239272293964,2.0454898357939393,4.1284956280615726,0.7879365732162339,0.02153073299393475,0.0321488833944187,0.001428633790729889,0.04150850000041828,True,True,False,0.064792736922195,2.0454898357939393,0.34225405400503983,9.950890393246326e-18
terminal_000,train,9,0.7879365732162339,0.02153073299393475,0.0321488833944187,1.9571215603629788,4.12616594275496,0.7884802180941125,0.020603156248196697,0.03209391611762442,0.001302935593262737,0.0492032999991352,True,True,False,0.06808521500517628,1.9571215603629788,0.32186348918982743,0.0
terminal_000,train,10,0.7884802180941125,0.020603156248196697,0.03209391611762442,1.8728607847447791,4.123897161318104,0.7890004572009861,0.019715667153293384,0.031997884485922085,0.0011881186111768849,0.054178500000489294,True,True,False,0.07124611380857626,1.8728607847447791,0.3025206095574569,6.862408216907873e-18
terminal_000,train,11,0.7890004572009861,0.019715667153293384,0.031997884485922085,1.7920574965831628,4.121679147284069,0.789498250950037,0.01886611076660892,0.03186388900336214,0.0010832356834511898,0.04525550000107614,True,True,False,0.07430063004161891,1.7920574965831628,0.283972965846804,0.0
terminal_000,train,12,0.789498250950037,0.01886611076660892,0.03186388900336214,1.7147182554231388,4.119513890657091,0.7899745615765434,0.018052889617979344,0.03169493219967262,0.00098744674072251,0.05726659999891126,True,True,False,0.0772459868529376,1.7147182554231388,0.26627184558255246,0.0
terminal_000,train,13,0.7899745615765434,0.018052889617979344,0.03169493219967262,1.6406728097927723,4.1174000693354,0.7904303040237081,0.01727441758103666,0.031493831894186225,0.0008999735424292323,0.042509200000495184,True,True,False,0.08008709622160648,1.6406728097927723,0.24940466718268323,0.0
terminal_000,train,14,0.7904303040237081,0.01727441758103666,0.031493831894186225,1.5697805750567626,4.115336776433289,0.7908663541834461,0.016529185107772258,0.03126324232182882,0.000820105009625754,0.03883809999933874,True,True,False,0.08282772746611577,1.5697805750567626,0.23332774157902822,0.0
terminal_000,train,15,0.7908663541834461,0.016529185107772258,0.03126324232182882,1.501917147345374,4.113323326596366,0.7912835533910421,0.015815777090428397,0.03100566770892045,0.0007471904219147219,0.034936099998958525,True,True,False,0.08547107128705456,1.501917147345374,0.21800260218718434,0.0
terminal_000,train,16,0.7912835533910421,0.015815777090428397,0.03100566770892045,1.4180554101363763,4.110955543978686,0.7916774576716354,0.01508946449550922,0.03071385204038498,0.0006802202340170172,0.06685690000085742,True,True,False,0.08883740829302145,1.4180554101363763,0.22766336270125795,1.0631303572442821e-17
terminal_000,train,17,0.7916774576716354,0.01508946449550922,0.03071385204038498,1.3537938035772141,4.108936964018108,0.7920535115059625,0.014398480789178566,0.030398884050374983,0.000620129875319465,0.06698080000023765,True,True,False,0.09139621835284562,1.3537938035772141,0.217629185866626,1.232595164407831e-32
terminal_000,train,18,0.7920535115059625,0.014398480789178566,0.030398884050374983,1.292615803909107,4.10697955740396,0.7924125714514928,0.013741010736921168,0.030063088776250118,0.000565355087615478,0.05808740000065882,True,True,False,0.09367556823597045,1.292615803909107,0.20807051341928565,1.047177991116888e-17
terminal_000,train,19,0.7924125714514928,0.013741010736921168,0.030063088776250118,1.2341055986052984,4.105075766744018,0.7927553785622165,0.01311474166125668,0.029708503774332668,0.0005154184511684623,0.05702259999998205,True,True,False,0.09558225352718708,1.2341055986052984,0.19865172874354986,0.0
terminal_000,train,20,0.7927553785622165,0.01311474166125668,0.029708503774332668,1.1783657378232992,4.1032282033150445,0.7930827023782785,0.012518178373382559,0.02933715218610528,0.00046989634464918585,0.06085489999895799,True,True,False,0.09743145893107474,1.1783657378232992,0.18956579768300968,0.0
terminal_000,train,21,0.7930827023782785,0.012518178373382559,0.02933715218610528,1.125036341519858,4.101430439581216,0.7933952124731452,0.01194937605685476,0.02895080798750726,0.00042839430077650393,0.06362199999966833,True,True,False,0.0992304049188677,1.125036341519858,0.1811567548452247,0.0
terminal_000,train,22,0.7933952124731452,0.01194937605685476,0.02895080798750726,1.0741845297374484,4.099684367670851,0.7936935970647389,0.011407033472678262,0.028551221330260418,0.0003905606479803424,0.065781600000264,True,True,False,0.1009765620508567,1.0741845297374484,0.17299992208459766,0.0
terminal_000,train,23,0.7936935970647389,0.011407033472678262,0.028551221330260418,1.0256776591863408,4.097988253878725,0.7939785075256239,0.010889872478247159,0.02814001770787209,0.00035606900359899045,0.060175700000399956,True,True,False,0.10267180029269429,1.0256776591863408,0.16512443051942946,0.0
terminal_001,train,0,0.7695000000000001,0.06,0.06,3.429675648498537,4.206549685957535,0.7704526876801385,0.05276911819713746,0.059784015534747506,0.01037975016123023,0.06020640000133426,True,True,False,0.0,3.429675648498537,2.0134134838505973,0.261515935139663
terminal_001,train,1,0.7704526876801385,0.05276911819713746,0.059784015534747506,3.582183488865759,4.203254666507412,0.7714477386492679,0.047708339203084184,0.059652663786696224,0.00913751153824786,0.08109820000026957,True,True,False,0.0,3.582183488865759,1.7738246773509945,0.1513270350220907
terminal_001,train,2,0.7714477386492679,0.047708339203084184,0.059652663786696224,3.562420710721911,4.1985778540924015,0.7724372999578017,0.043876042551811115,0.059515551420996,0.008334444563488221,0.0703388999991148,True,True,False,0.0,3.562420710721911,1.6455217738870034,0.10654876711209103
terminal_001,train,3,0.7724372999578017,0.043876042551811115,0.059515551420996,3.5427600133823005,4.195120772095588,0.773421399961519,0.040963243128043766,0.05937291859432487,0.0075869790528077415,0.07096639999872423,True,True,False,8.881784197001252e-16,3.5427600133823005,1.5169598268610776,0.06222512671790542
terminal_001,train,4,0.773421399961519,0.040963243128043766,0.05937291859432487,3.5232195801716792,4.192575090311975,0.7744000720671222,0.03873877171943187,0.05922500686529718,0.006894214702524508,0.077619899999263,True,True,False,0.0,3.5232195801716792,1.3904348313232746,0.018019089839525507
terminal_001,train,5,0.7744000720671222,0.03873877171943187,0.05922500686529718,3.5038120126341568,4.1907101814774,0.7753733531817428,0.03702967528394717,0.05907205630940211,0.006255612788196564,0.08461410000018077,True,True,False,0.0,3.5038120126341568,1.2508277165399249,0.0
