trajectory_id,initial_soc,initial_polarization_1_v,initial_polarization_2_v,split
terminal_000,0.7817193000900063,0.03,0.03,train
terminal_001,0.7695000000000001,0.06,0.06,train
terminal_002,0.7910954988232819,0.009999999999999998,0.09,train
terminal_003,0.7608596500450031,0.039999999999999994,0.12,train
terminal_004,0.7866435954874836,0.06999999999999999,0.006,train
terminal_005,0.7761299737060519,0.019999999999999997,0.036000000000000004,train
terminal_006,0.7951894464549156,0.05,0.066,train
terminal_007,0.75475,0.07999999999999999,0.096,terminal_test
terminal_008,0.78425,0.003333333333333333,0.126,train
terminal_009,0.7729820026681219,0.03333333333333333,0.012,train
terminal_010,0.7931818813130939,0.06333333333333334,0.042,train
terminal_011,0.7655477494116409,0.013333333333333332,0.07200000000000001,train
terminal_012,0.7889202156577422,0.04333333333333333,0.102,validation
terminal_013,0.7971265043565594,0.02333333333333333,0.018,train
terminal_014,0.7504298250225016,0.05333333333333333,0.048,train
terminal_015,0.7830032702244841,0.08333333333333331,0.078,train
terminal_016,0.7712894750675048,0.006666666666666666,0.108,train
terminal_017,0.7633217977437418,0.06666666666666667,0.024,train
terminal_018,0.787795462650758,0.016666666666666666,0.054,train
terminal_019,0.7776052689127468,0.04666666666666666,0.084,train
terminal_020,0.7580649868530259,0.026666666666666665,0.14400000000000002,train
terminal_021,0.7854625532718962,0.056666666666666664,0.0012,train
terminal_022,0.7745918162286978,0.08666666666666666,0.031200000000000002,train
terminal_023,0.7941949605590779,0.0011111111111111111,0.061200000000000004,train
terminal_024,0.7675947232274578,0.031111111111111107,0.09119999999999999,train
terminal_025,0.780394538616006,0.01111111111111111,0.0072,train
terminal_026,0.7980708080708372,0.041111111111111105,0.037200000000000004,train
terminal_027,0.747375,0.07111111111111111,0.0672,validation
terminal_028,0.782366149518218,0.02111111111111111,0.0972,train
terminal_029,0.7704079039889302,0.051111111111111114,0.1272,terminal_test
terminal_030,0.791625,0.0811111111111111,0.013199999999999998,train
terminal_031,0.762125,0.0044444444444444444,0.0432,train
terminal_032,0.7872230412510672,0.034444444444444444,0.0732,train
terminal_033,0.776875,0.06444444444444444,0.10319999999999999,validation
terminal_034,0.7956800289601218,0.014444444444444444,0.13319999999999999,train
terminal_035,0.756491001334061,0.04444444444444444,0.0192,train
terminal_036,0.7848603736609494,0.07444444444444444,0.0492,train
terminal_037,0.7737964957502993,0.024444444444444442,0.0792,train
terminal_038,0.7894730040021829,0.007777777777777777,0.0252,train
terminal_039,0.779715590452617,0.03777777777777777,0.0552,terminal_test
terminal_040,0.7976005913598117,0.06777777777777777,0.08520000000000001,train
terminal_041,0.7527738747058205,0.017777777777777778,0.1152,train
terminal_042,0.7721468797086125,0.07777777777777777,0.0024,validation
terminal_043,0.7926680346605035,0.027777777777777776,0.032400000000000005,terminal_test
terminal_044,0.7644601078288711,0.057777777777777775,0.062400000000000004,terminal_test
terminal_045,0.7783216241174614,0.0022222222222222222,0.12240000000000001,train
terminal_046,0.7966484498905311,0.03222222222222222,0.0084,train
terminal_047,0.7595124159191013,0.062222222222222213,0.0384,train
terminal_048,0.7860568602381882,0.012222222222222221,0.0684,train
terminal_049,0.7753692574844313,0.04222222222222222,0.0984,train
terminal_050,0.7685632521782797,0.02222222222222222,0.0144,terminal_test
terminal_051,0.7905604526779577,0.052222222222222225,0.0444,train
terminal_052,0.7810622621758714,0.08222222222222221,0.07440000000000001,train
terminal_053,0.7985372477573041,0.005555555555555555,0.10439999999999999,train
terminal_054,0.7452149125112508,0.035555555555555556,0.1344,train
terminal_055,0.7820439688005307,0.06555555555555556,0.0204,train
terminal_056,0.7699573916170951,0.015555555555555553,0.0504,train
terminal_057,0.7913609317721165,0.04555555555555556,0.0804,train
terminal_058,0.761501635112242,0.07555555555555554,0.1104,train
terminal_059,0.7765043875787555,0.05555555555555555,0.026399999999999996,train
terminal_060,0.7954352803952501,0.08555555555555554,0.0564,train
terminal_061,0.7556447375337524,0.008888888888888889,0.0864,train
terminal_062,0.78455623202763,0.03888888888888888,0.1164,train
terminal_063,0.7934369517515736,0.018888888888888886,0.0036,train
terminal_064,0.766074562556254,0.048888888888888885,0.0336,terminal_test
terminal_065,0.7891973862364658,0.07888888888888888,0.0636,train
terminal_066,0.7793717260543654,0.028888888888888888,0.0936,train
terminal_067,0.7516608988718709,0.08888888888888888,0.0096,train
terminal_068,0.7833183167089859,0.0003703703703703704,0.0396,train
terminal_069,0.7717210744222197,0.030370370370370367,0.0696,train
terminal_070,0.7924092221130976,0.060370370370370366,0.09960000000000001,validation
terminal_071,0.763897731325379,0.010370370370370368,0.12960000000000002,train
terminal_072,0.7880791177383696,0.04037037037037036,0.015600000000000001,train
terminal_073,0.7779651361448896,0.07037037037037036,0.04560000000000001,terminal_test
terminal_074,0.7964079033691203,0.02037037037037037,0.0756,train
terminal_075,0.7588026344563734,0.05037037037037037,0.10559999999999999,train
terminal_076,0.7749826966156127,0.0037037037037037034,0.021599999999999998,train
terminal_077,0.7944452850346106,0.0337037037037037,0.0516,train
terminal_078,0.7680831633278732,0.0637037037037037,0.0816,validation
terminal_079,0.7902907950076353,0.013703703703703704,0.11159999999999999,terminal_test
terminal_080,0.7983044943593546,0.07370370370370369,0.0276,terminal_test
terminal_081,0.749032493426513,0.0237037037037037,0.0576,validation
terminal_082,0.782685898579039,0.0537037037037037,0.08760000000000001,train
terminal_083,0.7918877243430468,0.007037037037037036,0.1476,train
terminal_084,0.7627312766359481,0.037037037037037035,0.0048,train
terminal_085,0.787510114054799,0.06703703703703703,0.0348,train
terminal_086,0.7772419244602102,0.017037037037037035,0.06480000000000001,train
terminal_087,0.7959237063998802,0.04703703703703703,0.0948,validation
terminal_088,0.7851624671325649,0.027037037037037033,0.0108,validation
terminal_089,0.7741964682021404,0.05703703703703703,0.0408,train
terminal_090,0.7939434744663337,0.08703703703703702,0.07079999999999999,validation
terminal_091,0.767097480279539,0.0014814814814814816,0.1008,train
terminal_092,0.7897470947644182,0.03148148148148148,0.1308,terminal_test
terminal_093,0.7800565030613008,0.06148148148148147,0.0168,train
terminal_094,0.7978361775837581,0.011481481481481481,0.04680000000000001,train
terminal_095,0.7537973616137289,0.04148148148148147,0.0768,train
terminal_096,0.7725671181945839,0.02148148148148148,0.1368,train
terminal_097,0.7929255815981271,0.05148148148148148,0.022799999999999997,train
terminal_098,0.7650098418127744,0.08148148148148147,0.05279999999999999,train
terminal_099,0.7886414657211315,0.004814814814814814,0.0828,terminal_test
terminal_100,0.7786748262762744,0.03481481481481481,0.1128,train
terminal_101,0.760197269308003,0.014814814814814814,0.0288,train
terminal_102,0.7863511562692885,0.04481481481481481,0.0588,terminal_test
terminal_103,0.7757516389484455,0.0748148148148148,0.0888,train
terminal_104,0.7949425125699581,0.02481481481481481,0.1188,validation
terminal_105,0.7908286797733327,0.0848148148148148,0.00024,train
terminal_106,0.7813920848411867,0.008148148148148147,0.03024,train
terminal_107,0.7987690793487529,0.038148148148148146,0.06024,train
terminal_108,0.7436875,0.06814814814814814,0.09024,train
terminal_109,0.7818819490502771,0.018148148148148146,0.12024000000000001,terminal_test
terminal_110,0.7697295754468509,0.048148148148148134,0.00624,validation
terminal_111,0.7912283872110962,0.07814814814814813,0.03624,terminal_test
terminal_112,0.761183074759109,0.028148148148148144,0.06624,terminal_test
terminal_113,0.7867891296804076,0.05814814814814814,0.09624,train
terminal_114,0.7953125000000001,0.0025925925925925925,0.012240000000000001,train
terminal_115,0.7552039519944651,0.03259259259259259,0.04224,train
terminal_116,0.7844033800092967,0.06259259259259259,0.07224,train
terminal_117,0.7731875,0.012592592592592593,0.10224,train
terminal_118,0.7658125,0.07259259259259258,0.01824,train
terminal_119,0.7890589966902096,0.022592592592592588,0.04824,train
terminal_120,0.779198662684459,0.052592592592592594,0.07824,train
terminal_121,0.7510625,0.005925925925925925,0.13824,train
terminal_122,0.7831610809207786,0.035925925925925924,0.024239999999999998,train
terminal_123,0.7715060138108584,0.06592592592592593,0.05424,train
terminal_124,0.7922793353654195,0.015925925925925927,0.08424000000000001,train
terminal_125,0.7636115206255336,0.045925925925925926,0.11424000000000001,train
terminal_126,0.7777856309494761,0.02592592592592592,0.00144,train
terminal_127,0.796287244614122,0.05592592592592592,0.03144,validation
terminal_128,0.7584375,0.0859259259259259,0.06144,terminal_test
terminal_129,0.7856118559833954,0.009259259259259259,0.09144000000000001,train
terminal_130,0.7747878054244588,0.03925925925925925,0.12144,validation
terminal_131,0.7943202669935449,0.06925925925925926,0.0074399999999999996,train
terminal_132,0.7678400144800609,0.019259259259259257,0.03744,train
terminal_133,0.7901554225009619,0.04925925925925925,0.06744,train
terminal_134,0.7482455006670304,0.059259259259259255,0.013439999999999999,train
terminal_135,0.7825263245678485,0.08925925925925925,0.04344,train
terminal_136,0.7706306754945105,0.0007407407407407408,0.07344,validation
terminal_137,0.7917565288755921,0.03074074074074074,0.10343999999999999,train
terminal_138,0.7873667951338277,0.01074074074074074,0.01944,validation
terminal_139,0.7770589163528833,0.04074074074074074,0.04944,train
terminal_140,0.7958020006921795,0.07074074074074073,0.07944000000000001,terminal_test
terminal_141,0.7568982478751497,0.020740740740740737,0.10944,train
terminal_142,0.7739970701862675,0.08074074074074072,0.02544,validation
terminal_143,0.7938172907275163,0.004074074074074074,0.055439999999999996,train
terminal_144,0.766845405216722,0.03407407407407407,0.08544000000000002,terminal_test
terminal_145,0.7798864109848204,0.014074074074074072,0.14544,train
terminal_146,0.7977185046692133,0.04407407407407407,0.00264,train
terminal_147,0.7532954703282735,0.07407407407407406,0.03264,terminal_test
terminal_148,0.7837866364459524,0.024074074074074074,0.06264,train
terminal_149,0.7723576811785084,0.054074074074074066,0.09264,train
terminal_150,0.7647365020010914,0.007407407407407407,0.00864,train
terminal_151,0.7885014899899994,0.0374074074074074,0.03864,validation
terminal_152,0.7784986302516077,0.0674074074074074,0.06863999999999999,train
terminal_153,0.7967683409238812,0.017407407407407406,0.09864,validation
terminal_154,0.7598577952263085,0.0474074074074074,0.12864,train
terminal_155,0.7862042425676474,0.0774074074074074,0.01464,train
terminal_156,0.7755609621811616,0.027407407407407408,0.044640000000000006,train
terminal_157,0.794818628505737,0.05740740740740741,0.07464,validation
terminal_158,0.790694743625449,0.0018518518518518517,0.13464,train
terminal_159,0.7812275033351525,0.03185185185185185,0.02064,train
