trajectory_id,split,step_index,state_soc,state_polarization_1_v,state_polarization_2_v,teacher_current_a,terminal_voltage_v,next_soc,next_polarization_1_v,next_polarization_2_v,teacher_objective,teacher_solve_time_s,teacher_optimizer_success,teacher_prediction_feasible,teacher_used_fallback,minimum_prediction_margin,plan_block_00_a,plan_block_01_a,plan_block_02_a
global_000,train,0,0.4495,0.03,0.03,10.0,3.981930555418477,0.4522777777777778,0.04540026380817799,0.03410637368647447,5.286199904076622,0.015405299998747068,True,True,False,-2.715694336075103e-11,10.0,9.249940315130452,7.869001458881003
global_000,train,1,0.4522777777777778,0.04540026380817799,0.03410637368647447,10.0,4.00376683184258,0.45505555555555555,0.05692415083463844,0.03807856901859112,5.189060787852938,0.015029100000901963,True,True,False,-3.019806626980426e-14,10.0,9.166649199332632,7.807158969414016
global_000,train,2,0.45505555555555555,0.05692415083463844,0.03807856901859112,9.999999999999998,4.021592553130607,0.4578333333333333,0.0655473779333913,0.041920970358844165,5.092711612176403,0.014433100001042476,True,True,False,-1.509903313490213e-14,9.999999999999998,9.084185678196539,7.745546415686836
global_000,train,3,0.4578333333333333,0.0655473779333913,0.041920970358844165,9.999999999999995,4.036387820499064,0.4606111111111111,0.07200006576571077,0.04563781880791354,4.997159558857783,0.014483400000244728,True,True,False,8.881784197001252e-16,9.999999999999995,9.002522528168285,7.684156324035808
global_000,train,4,0.4606111111111111,0.07200006576571077,0.04563781880791354,10.0,4.048886995709902,0.46338888888888885,0.07682855744110523,0.04923321688583521,4.902411541856851,0.016867100001036306,True,True,False,-5.3290705182007514e-14,10.0,8.921633460893078,7.622981455478302
global_000,train,5,0.46338888888888885,0.07682855744110523,0.04923321688583521,9.999999999999995,4.059640524392669,0.4661666666666666,0.08044167688298791,0.05271113306021122,4.808474218050379,0.017934200001036515,True,True,False,-5.329070518200751e-15,9.999999999999995,8.841493081164867,7.562014799986968
global_000,train,6,0.4661666666666666,0.08044167688298791,0.05271113306021122,10.0,4.069061198938377,0.4689444444444444,0.08314534357207758,0.05607540612645773,4.7153539972429455,0.016835200000059558,True,True,False,0.0,10.0,8.762076849150562,7.5012495709274605
global_000,train,7,0.4689444444444444,0.08314534357207758,0.05607540612645773,10.0,4.077458777623163,0.47172222222222215,0.08516847446583074,0.05932974944492553,4.623057051584988,0.015011700001196004,True,True,False,-1.7763568394002505e-15,10.0,8.683361045997298,7.440679199177022
global_001,train,0,0.27475000000000005,0.06,0.06,10.0,3.890550835683053,0.2775277777777778,0.06784900982317987,0.06312610473433475,14.354373827160517,0.0028256000005058013,True,True,False,0.051029813659655865,10.0,10.0,10.0
global_001,train,1,0.2775277777777778,0.06784900982317987,0.06312610473433475,10.0,3.904199760282717,0.2803055555555556,0.07372235742284053,0.06615006202159598,14.16830592592595,0.002781800001685042,True,True,False,0.048274251379107014,10.0,10.0,10.0
global_001,train,2,0.2803055555555556,0.07372235742284053,0.06615006202159598,10.0,3.9157708752117886,0.28308333333333335,0.0781173337069273,0.06907520959414727,13.983472592592614,0.0027709999994840473,True,True,False,0.04553260646094337,10.0,10.0,10.0
