seed,mean_current_nrmse,maximum_current_nrmse,mean_charge_time_gap_fraction,target_reach_fraction,maximum_voltage_violation_v,maximum_current_violation_a,mpc_time_s,dnn_time_s,speedup
22,0.0021385693605457394,0.0024503837108753026,0.013433360432606655,1.0,0.0,0.0,100.39741799999501,0.07480849997955374,1342.0589642545312
42,0.0018923552895475212,0.002090855100583734,0.013433360432606655,1.0,0.0,0.0,100.39741799999501,0.07174769995071983,1399.3120067814486
73,0.001484159385861312,0.0017936491669793102,0.004167420578714943,1.0,0.0,0.0,100.39741799999501,0.07252210001388448,1384.3699779897956
101,0.0017383190871574567,0.001974665581755335,0.008800390505660798,1.0,0.0,0.0,100.39741799999501,0.07102280000617611,1413.5941977965456
137,0.0036623015897627505,0.0039703776230162755,0.005623420436276303,1.0,0.0,0.0,100.39741799999501,0.07302019996313902,1374.926637432877
