variable,bin,sample_count,mean_voltage_residual_v,p95_voltage_residual_v,maximum_voltage_residual_v,maximum_positive_growth_v
soc,"(0.399, 0.5]",138,-0.04217005441052277,-0.019783816130469888,-0.018432635127481056,0.011293911480523278
soc,"(0.5, 0.6]",1318,-0.02326899375948598,0.006924035883100284,0.010455108186971707,0.01035035654469052
soc,"(0.6, 0.7]",3692,0.005082221874229348,0.024066868705525435,0.025793378300193126,0.011305522502741638
soc,"(0.7, 0.75]",2929,0.02363371719589187,0.028705791082048116,0.02911725196505266,0.0014426935699285437
soc,"(0.75, 0.8]",7947,0.013536233124645513,0.02464697979640924,0.02757585472412849,8.512754262302025e-05
current_a,"(-0.001, 2.0]",4994,0.0090532757729821,0.01579684880002383,0.01803441984588261,0.0
current_a,"(2.0, 5.0]",6226,0.02184383884725991,0.02839440078343025,0.02911725196505266,0.01035035654469052
current_a,"(5.0, 8.0]",4076,7.139014954416555e-05,0.022039939490716698,0.02496065279849269,0.011305522502741638
current_a,"(8.0, 10.0]",728,-0.03081266749798014,-0.0029841247423417986,1.8793055509114254e-05,0.011293911480523278
previous_current_a,"(-0.001, 2.0]",4940,0.008754136582513923,0.015479822273197196,0.017675940588835815,0.0
previous_current_a,"(2.0, 5.0]",6244,0.021586786069977167,0.028393282410626417,0.02911725196505266,0.01035035654469052
previous_current_a,"(5.0, 8.0]",4100,0.0006846319381561383,0.022289756653689263,0.02508385360302956,0.011305522502741638
previous_current_a,"(8.0, 10.0]",740,-0.02941777527117719,-0.0024395838114702703,0.0005667501529700303,0.011293911480523278
predicted_voltage_v,"(3.6990000000000003, 4.0]",30,-0.055017404971865885,-0.027441660262960087,-0.027375052709317504,0.0
predicted_voltage_v,"(4.0, 4.1]",3774,0.004085512293697656,0.010227501658897919,0.011321779348596017,0.011293911480523278
predicted_voltage_v,"(4.1, 4.15]",2603,-0.0038834579801993135,0.01690419811422057,0.018266393875500775,0.011305522502741638
predicted_voltage_v,"(4.15, 4.18]",4730,0.008811434445402057,0.022994042110824165,0.024516690239743788,0.006681316826766093
predicted_voltage_v,"(4.18, 4.2]",4887,0.02327266607996181,0.028522976484020558,0.02911725196505266,0.0009287627914327246
predicted_margin_v,"(0.01, 0.02]",4887,0.02327266607996181,0.028522976484020558,0.02911725196505266,0.0009287627914327246
predicted_margin_v,"(0.02, 0.05]",4730,0.008811434445402057,0.022994042110824165,0.024516690239743788,0.006681316826766093
predicted_margin_v,"(0.05, 0.1]",2603,-0.0038834579801993135,0.01690419811422057,0.018266393875500775,0.011305522502741638
predicted_margin_v,"(0.1, 0.5]",3804,0.0036194009587957347,0.010214056258657544,0.011321779348596017,0.011293911480523278
charge_stage,4.15_4.18,2299,0.007374753407101541,0.01833342855536912,0.02062386891498935,0.0020205259296863787
charge_stage,4.18_4.19,1053,0.014528431331192092,0.020023000492308363,0.023035488948596416,0.0009287627914327246
charge_stage,4.19_4.20,1309,0.01844870358543731,0.023502667425740496,0.024095046008813625,0.0007381105073243077
charge_stage,above_4.20,4902,0.023823304208736757,0.02852228806428374,0.02911725196505266,0.00043927288791945074
charge_stage,below_4.15,6461,-0.002184340243756615,0.013792742237701994,0.01623495898351024,0.011305522502741638
