feature_set,features,feature_count,effective_variable_feature_count,mean_conditional_variance_a2,median_conditional_variance_a2,p95_conditional_variance_a2,mean_local_standard_deviation_a,p95_local_standard_deviation_a,nearest_neighbor_label_difference_mean_a,nearest_neighbor_label_difference_p95_a,knn_leave_one_out_rmse_a,knn_leave_one_out_nrmse_percent_of_10a,mean_neighbor_distance,variance_reduction_from_electrothermal_4_fraction,variance_reduction_from_current_dnn_5_fraction,significant_reduction_vs_current_dnn
electrothermal_4,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c",4,4,0.9600522272266928,0.5876313599163612,2.923107469609879,0.8496189527792634,1.7097089871256768,0.479813929582177,2.0000000000000044,1.00062670174912,10.006267017491199,0.6766399435757227,0.0,-1.6733620734836512,False
current_dnn_5_plus_previous_current,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",5,5,0.35911791999639286,0.12449164835268489,1.5331828099114488,0.5024263655063503,1.2382173021451448,0.22637809362438654,1.0207776609312262,0.4088929094640079,4.088929094640079,0.8657036351130774,0.6259391835027783,0.0,False
plus_thermal_split,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_core_temperature_c,state_surface_temperature_c,state_previous_current_a",6,6,0.3684212810767333,0.10394696204810643,1.63922237282886,0.4936955983177277,1.2803211895123718,0.25649202044332536,1.6362192324235592,0.43888876648867486,4.388887664886749,0.9705425403683832,0.6162487095717766,-0.025906145481221943,False
plus_control_block_phase,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,control_block_phase",6,6,0.44397870615255264,0.20654637563500672,1.570799041310546,0.5881698127862068,1.2533152068525852,0.3692546973691962,1.2400264251000004,0.4334332601309961,4.334332601309961,1.1597346685009617,0.5375473400701585,-0.23630340183807075,False
plus_mpc_mode,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,mode_voltage_active,mode_temperature_active,mode_slew_active",8,8,0.405231146351779,0.13236438496167244,1.69783394058055,0.529610632377884,1.3030095061390106,0.24158512306748836,1.2821563580917152,0.4550621100395551,4.550621100395551,0.9652397772936031,0.577907185818034,-0.12840692092404993,False
plus_previous_plan_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a",8,8,0.22410778834404158,0.09719819407112623,0.8490992204613511,0.41281910968912605,0.9214630905655976,0.20163466986347967,0.7454223968671811,0.35088983080260194,3.508898308026019,1.0570724827848208,0.7665670866767085,0.37594930281871586,True
plus_target_cap_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,target_cap_active",6,5,0.35911791999639286,0.12449164835268489,1.5331828099114488,0.5024263655063503,1.2382173021451448,0.22637809362438654,1.0207776609312262,0.4088929094640079,4.088929094640079,0.8657036351130774,0.6259391835027783,0.0,False
all_online_or_diagnostic_variables,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_core_temperature_c,state_surface_temperature_c,state_previous_current_a,control_block_phase,mode_voltage_active,mode_temperature_active,mode_slew_active,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,target_cap_active",14,13,0.3148387923772394,0.13797571899242433,1.053264033966201,0.49578511203099274,1.0262865211340857,0.27913245216259525,0.8264462809917383,0.3713713348704133,3.713713348704133,1.560567835752323,0.6720607656036426,0.12329968835751282,False
