profile_name,variant,temperature_c,initial_soc,c_rate,holdout_soc,horizon_s,voltage_rmse_mv,voltage_maximum_absolute_error_mv,temperature_rmse_c,temperature_maximum_absolute_error_c,true_voltage_feasible,predicted_voltage_feasible,voltage_classification,true_temperature_feasible,predicted_temperature_feasible,temperature_classification
t15_soc0.65_c0.5,fixed_2rc_dual,15.0,0.65,0.5,True,25.0,32.53811200083642,33.43262341903763,0.04588473700390121,0.07473778759205096,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c0.5,fixed_2rc_dual,15.0,0.65,0.5,True,300.0,35.22881573960484,36.55780317840662,0.38621570979005376,0.5918496054802986,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c0.5,related_2rc_dual,15.0,0.65,0.5,True,5.0,32.214522298317355,32.90838380372296,0.006681942645593725,0.009449693912397805,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c0.5,related_2rc_dual,15.0,0.65,0.5,True,25.0,32.62375542614975,32.972512765373274,0.02320753566705918,0.035970830984430435,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c0.5,related_2rc_dual,15.0,0.65,0.5,True,300.0,35.54295638573419,37.258298142544,0.0689753432420547,0.08299571167629871,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c0.5,related_2rc_single,15.0,0.65,0.5,True,5.0,32.214522298317355,32.90838380372296,0.006782968053551333,0.009592565414475729,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c0.5,related_2rc_single,15.0,0.65,0.5,True,25.0,32.62375542614975,32.972512765373274,0.023687906254846285,0.03678607558063263,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c0.5,related_2rc_single,15.0,0.65,0.5,True,300.0,35.54295638573419,37.258298142544,0.07282753254011644,0.08757424124614133,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c1,fixed_2rc_dual,15.0,0.65,1.0,True,5.0,31.240778036535282,32.61301302327002,0.03028374698302144,0.042827685702864216,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c1,fixed_2rc_dual,15.0,0.65,1.0,True,25.0,33.27810234581037,35.31878522042842,0.11972666066929494,0.19377050590916234,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c1,fixed_2rc_dual,15.0,0.65,1.0,True,300.0,37.73324118583581,41.206123273758166,0.8635595938371364,1.2376365813384815,False,False,true_infeasible,True,True,true_feasible
t15_soc0.65_c1,related_2rc_dual,15.0,0.65,1.0,True,5.0,28.13581650003286,29.4911453075839,0.01174047999055819,0.016603546031417338,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c1,related_2rc_dual,15.0,0.65,1.0,True,25.0,29.051410981313694,29.68084931650683,0.029480313724752957,0.038702679478680224,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c1,related_2rc_dual,15.0,0.65,1.0,True,300.0,34.221363474240995,36.56455657414703,0.4486809626144017,0.9055429591943316,False,True,false_safe,True,True,true_feasible
t15_soc0.65_c1,related_2rc_single,15.0,0.65,1.0,True,5.0,28.13581650003286,29.4911453075839,0.012144581622387364,0.017175032039727256,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c1,related_2rc_single,15.0,0.65,1.0,True,25.0,29.051410981313694,29.68084931650683,0.03135581099466426,0.041963657863481885,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c1,related_2rc_single,15.0,0.65,1.0,True,300.0,34.221363474240995,36.56455657414703,0.4344808695632841,0.8865020676141881,False,True,false_safe,True,True,true_feasible
t15_soc0.65_c2,fixed_2rc_dual,15.0,0.65,2.0,True,5.0,3.3753595234879006,4.700276955948546,0.06435902484914144,0.09101740580276285,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c2,fixed_2rc_dual,15.0,0.65,2.0,True,25.0,4.4931341524798185,7.251042971672561,0.2368866804179302,0.3761775677226389,False,False,true_infeasible,True,True,true_feasible
t15_soc0.65_c2,fixed_2rc_dual,15.0,0.65,2.0,True,300.0,24.303815007850307,43.60449380112552,1.0502590219824002,1.2413763650686107,False,False,true_infeasible,True,True,true_feasible
t15_soc0.65_c2,related_2rc_dual,15.0,0.65,2.0,True,5.0,12.785990597974052,15.21818686785359,0.009814043120710303,0.013879152883022883,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c2,related_2rc_dual,15.0,0.65,2.0,True,25.0,10.713958891627584,15.21818686785359,0.1294690130679269,0.24409373799930023,False,False,true_infeasible,True,True,true_feasible
t15_soc0.65_c2,related_2rc_dual,15.0,0.65,2.0,True,300.0,24.896505071705185,44.92355708691598,4.1846899729740406,7.434077049816132,False,False,true_infeasible,True,False,false_conservative
t15_soc0.65_c2,related_2rc_single,15.0,0.65,2.0,True,5.0,12.785990597974052,15.21818686785359,0.008197636593392345,0.011593208849781433,True,True,true_feasible,True,True,true_feasible
t15_soc0.65_c2,related_2rc_single,15.0,0.65,2.0,True,25.0,10.713958891627584,15.21818686785359,0.12185845090386968,0.23104982446008648,False,False,true_infeasible,True,True,true_feasible
t15_soc0.65_c2,related_2rc_single,15.0,0.65,2.0,True,300.0,24.896505071705185,44.92355708691598,4.123853112159975,7.357913483495537,False,False,true_infeasible,True,False,false_conservative
t15_soc0.70_c0.5,fixed_2rc_dual,15.0,0.7,0.5,False,5.0,36.695823179436545,37.111603697389306,0.01153938894810287,0.016319160351905282,True,True,true_feasible,True,True,true_feasible
t15_soc0.70_c0.5,fixed_2rc_dual,15.0,0.7,0.5,False,25.0,37.21533871850403,37.76805258109661,0.04684938714799949,0.07633316920103006,True,True,true_feasible,True,True,true_feasible
t15_soc0.70_c0.5,fixed_2rc_dual,15.0,0.7,0.5,False,300.0,38.48776532919291,39.832824942029,0.3968329652553039,0.6096610548037038,True,True,true_feasible,True,True,true_feasible
