profile_name,temperature_c,initial_soc,c_rate,holdout_soc,thermal_structure,rmse_c,maximum_absolute_error_c
t25_soc0.60_c2,25.0,0.6,2.0,False,temperature_related_dual,0.04505485061162309,0.0868385710492845
t25_soc0.60_c2,25.0,0.6,2.0,False,temperature_related_single,0.015089419764612758,0.026622227554632616
t25_soc0.65_c0.5,25.0,0.65,0.5,True,fixed_dual,0.30045514438999765,0.4297832025767434
t25_soc0.65_c0.5,25.0,0.65,0.5,True,temperature_related_dual,0.003963810466147897,0.006818270237410218
t25_soc0.65_c0.5,25.0,0.65,0.5,True,temperature_related_single,0.0015784286907966814,0.0027497212776452784
t25_soc0.65_c1,25.0,0.65,1.0,True,fixed_dual,1.0544141479540239,1.5071656696686233
t25_soc0.65_c1,25.0,0.65,1.0,True,temperature_related_dual,0.013701855823476038,0.024163570125999456
t25_soc0.65_c1,25.0,0.65,1.0,True,temperature_related_single,0.005418746267742118,0.009317772211936415
t25_soc0.65_c2,25.0,0.65,2.0,True,fixed_dual,3.604538590099723,5.173901485231617
t25_soc0.65_c2,25.0,0.65,2.0,True,temperature_related_dual,0.04484179499437692,0.09161429153808598
t25_soc0.65_c2,25.0,0.65,2.0,True,temperature_related_single,0.012189600965562616,0.025917704151858345
t25_soc0.70_c0.5,25.0,0.7,0.5,False,fixed_dual,0.3042259209980016,0.43525460855025955
t25_soc0.70_c0.5,25.0,0.7,0.5,False,temperature_related_dual,0.004033429907050125,0.006931433056962533
t25_soc0.70_c0.5,25.0,0.7,0.5,False,temperature_related_single,0.00159088107269598,0.002784278229885473
t25_soc0.70_c1,25.0,0.7,1.0,False,fixed_dual,1.0638676898878985,1.5207570099981673
t25_soc0.70_c1,25.0,0.7,1.0,False,temperature_related_dual,0.014054447128599167,0.023884289876310305
t25_soc0.70_c1,25.0,0.7,1.0,False,temperature_related_single,0.005939229532991468,0.01024421958909727
t25_soc0.70_c2,25.0,0.7,2.0,False,fixed_dual,3.6870192958505674,5.304205579563245
t25_soc0.70_c2,25.0,0.7,2.0,False,temperature_related_dual,0.045951040924174055,0.09749158613238507
t25_soc0.70_c2,25.0,0.7,2.0,False,temperature_related_single,0.01039623483407425,0.025733067831545497
t25_soc0.75_c0.5,25.0,0.75,0.5,True,fixed_dual,0.3101115294674124,0.4437357854995234
t25_soc0.75_c0.5,25.0,0.75,0.5,True,temperature_related_dual,0.004097176092747666,0.007044744476985443
t25_soc0.75_c0.5,25.0,0.75,0.5,True,temperature_related_single,0.001616802583550261,0.0028178179949982507
t25_soc0.75_c1,25.0,0.75,1.0,True,fixed_dual,1.0808948887924203,1.546835284706333
t25_soc0.75_c1,25.0,0.75,1.0,True,temperature_related_dual,0.014273119751516666,0.024632736624894846
t25_soc0.75_c1,25.0,0.75,1.0,True,temperature_related_single,0.005736350081994001,0.009675650416028247
t25_soc0.75_c2,25.0,0.75,2.0,True,fixed_dual,3.8078948338455048,5.494132158907632
t25_soc0.75_c2,25.0,0.75,2.0,True,temperature_related_dual,0.04787776781372337,0.10690666673993121
t25_soc0.75_c2,25.0,0.75,2.0,True,temperature_related_single,0.010176837156345611,0.025880953294279863
t25_soc0.80_c0.5,25.0,0.8,0.5,False,fixed_dual,0.3178327324878202,0.4547745958020002
t25_soc0.80_c0.5,25.0,0.8,0.5,False,temperature_related_dual,0.004195005910993172,0.007253778889324991
t25_soc0.80_c0.5,25.0,0.8,0.5,False,temperature_related_single,0.001625150454338271,0.0028486208076969888
t25_soc0.80_c1,25.0,0.8,1.0,False,fixed_dual,1.1084351674347366,1.5878931718083145
t25_soc0.80_c1,25.0,0.8,1.0,False,temperature_related_dual,0.014502087950677181,0.02546586358273828
t25_soc0.80_c1,25.0,0.8,1.0,False,temperature_related_single,0.005625365117426218,0.009582022790716849
t25_soc0.80_c2,25.0,0.8,2.0,False,fixed_dual,4.000119875063641,5.803911574058951
t25_soc0.80_c2,25.0,0.8,2.0,False,temperature_related_dual,0.05455217189278503,0.1280373493514162
t25_soc0.80_c2,25.0,0.8,2.0,False,temperature_related_single,0.01849645817931679,0.027053000831188
t30_soc0.60_c0.5,30.0,0.6,0.5,False,fixed_dual,0.2686497771690102,0.38439381078554646
t30_soc0.60_c0.5,30.0,0.6,0.5,False,temperature_related_dual,0.003530110889346097,0.006130974907645026
t30_soc0.60_c0.5,30.0,0.6,0.5,False,temperature_related_single,0.0013819654217473699,0.0024332836286014015
t30_soc0.60_c1,30.0,0.6,1.0,False,fixed_dual,0.9823587628897789,1.4041870157137808
t30_soc0.60_c1,30.0,0.6,1.0,False,temperature_related_dual,0.012632154346341379,0.022278756910594666
t30_soc0.60_c1,30.0,0.6,1.0,False,temperature_related_single,0.005188071208240381,0.009075441223984626
t30_soc0.60_c2,30.0,0.6,2.0,False,fixed_dual,3.422273800400669,4.900538967904424
t30_soc0.60_c2,30.0,0.6,2.0,False,temperature_related_dual,0.042986442491629764,0.0832096754659446
t30_soc0.60_c2,30.0,0.6,2.0,False,temperature_related_single,0.015052403951579056,0.027390502788470883
t30_soc0.65_c0.5,30.0,0.65,0.5,True,fixed_dual,0.2710761378157131,0.38790220225237704
t30_soc0.65_c0.5,30.0,0.65,0.5,True,temperature_related_dual,0.003558314899003606,0.006089198984732036
t30_soc0.65_c0.5,30.0,0.65,0.5,True,temperature_related_single,0.0014780331282673003,0.0026077446698131723
t30_soc0.65_c1,30.0,0.65,1.0,True,fixed_dual,0.9844117820526865,1.4076945770983755
t30_soc0.65_c1,30.0,0.65,1.0,True,temperature_related_dual,0.012742462230395222,0.022335542881492643
t30_soc0.65_c1,30.0,0.65,1.0,True,temperature_related_single,0.005270720024024274,0.009175786008171372
t30_soc0.65_c2,30.0,0.65,2.0,True,fixed_dual,3.468271100962797,4.981734013497572
t30_soc0.65_c2,30.0,0.65,2.0,True,temperature_related_dual,0.042962490059652886,0.08702343930302447
t30_soc0.65_c2,30.0,0.65,2.0,True,temperature_related_single,0.012773266184870898,0.026544838699706474
t30_soc0.70_c0.5,30.0,0.7,0.5,False,fixed_dual,0.27440281553667156,0.3927709496595071
t30_soc0.70_c0.5,30.0,0.7,0.5,False,temperature_related_dual,0.0036637777599351183,0.0061278168030725055
t30_soc0.70_c0.5,30.0,0.7,0.5,False,temperature_related_single,0.0015643123661914062,0.002746198087784535
t30_soc0.70_c1,30.0,0.7,1.0,False,fixed_dual,0.9940994249080222,1.4215443652244275
t30_soc0.70_c1,30.0,0.7,1.0,False,temperature_related_dual,0.0128951344044576,0.02258696412719985
t30_soc0.70_c1,30.0,0.7,1.0,False,temperature_related_single,0.0052970898270638216,0.009318172797769364
t30_soc0.70_c2,30.0,0.7,2.0,False,fixed_dual,3.5523238555347767,5.113967977345865
t30_soc0.70_c2,30.0,0.7,2.0,False,temperature_related_dual,0.043758823632725805,0.09333737304124412
t30_soc0.70_c2,30.0,0.7,2.0,False,temperature_related_single,0.010781638371240647,0.02634785931470418
t30_soc0.75_c0.5,30.0,0.75,0.5,True,fixed_dual,0.2799490918605357,0.40074213842258644
t30_soc0.75_c0.5,30.0,0.75,0.5,True,temperature_related_dual,0.0036765516514899454,0.006324892607871391
t30_soc0.75_c0.5,30.0,0.75,0.5,True,temperature_related_single,0.0014900361040205972,0.002635561718289381
t30_soc0.75_c1,30.0,0.75,1.0,True,fixed_dual,1.010283168484294,1.4465347193616864
t30_soc0.75_c1,30.0,0.75,1.0,True,temperature_related_dual,0.013296623990262772,0.022847354423809918
t30_soc0.75_c1,30.0,0.75,1.0,True,temperature_related_single,0.00553268117340301,0.009447055764056245
t30_soc0.75_c2,30.0,0.75,2.0,True,fixed_dual,3.675278912045861,5.307907190058437
t30_soc0.75_c2,30.0,0.75,2.0,True,temperature_related_dual,0.046723191560491026,0.10533465337786652
t30_soc0.75_c2,30.0,0.75,2.0,True,temperature_related_single,0.011024556004275014,0.026444272086621368
t30_soc0.80_c0.5,30.0,0.8,0.5,False,fixed_dual,0.28700688471471614,0.41082133584476566
t30_soc0.80_c0.5,30.0,0.8,0.5,False,temperature_related_dual,0.0037910279734823717,0.006458551953986813
t30_soc0.80_c0.5,30.0,0.8,0.5,False,temperature_related_single,0.001549727939420969,0.0027494158930707613
t30_soc0.80_c1,30.0,0.8,1.0,False,fixed_dual,1.0376016882227808,1.487373627731948
t30_soc0.80_c1,30.0,0.8,1.0,False,temperature_related_dual,0.013593428922304042,0.02361298393368827
t30_soc0.80_c1,30.0,0.8,1.0,False,temperature_related_single,0.005487363371221448,0.00943562293307565
t30_soc0.80_c2,30.0,0.8,2.0,False,fixed_dual,3.8660966572596154,5.614601828186714
t30_soc0.80_c2,30.0,0.8,2.0,False,temperature_related_dual,0.05190700093579411,0.12114056692574593
t30_soc0.80_c2,30.0,0.8,2.0,False,temperature_related_single,0.017737561853845302,0.027594092242978263
