role,trajectory_id,ambient_temperature_c,target_reached,charge_time_s,maximum_voltage_v,maximum_temperature_c,minimum_current_a,maximum_current_a,maximum_current_step_a,guard_exceedance_count,maximum_positive_residual_growth_v,empty_voltage_slew_count,empty_thermal_slew_count,solver_failure_count,prediction_infeasible_count,sustained_oscillation_count,voltage_intervention_fraction,thermal_intervention_fraction,both_layers_fraction,maximum_voltage_correction_a,maximum_thermal_correction_a,teacher_retry_count,alternative_selected_count,total_thermal_supervisor_time_s,level4_variant,seed
baseline_seed_101,phase7d1_development_15c_000,15.0,True,1210.0,4.1866035046447525,23.352490229245177,0.0929873481195371,8.001364946625827,1.4161714148893694,0,0.0265230668567237,0,0,0,0,0,0.47107438016528924,0.0,0.0,0.7980252635464442,0.0,0,0,0.04399050000164502,baseline,101
baseline_seed_101,phase7d1_development_15c_001,15.0,True,1305.0,4.186498650348776,25.292019327733783,0.0934857985229093,8.756280974169812,1.089826815916812,0,0.0296481973804052,0,0,0,0,0,0.4482758620689655,0.0,0.0,0.7446225729036078,0.0,0,0,0.04704530000298028,baseline,101
baseline_seed_101,phase7d1_development_15c_002,15.0,True,1105.0,4.1868006178495385,21.55480143220865,0.0915662932875367,6.747646840501194,0.5270323781568607,0,0.0178929123049575,0,0,0,0,0,0.4796380090497738,0.0,0.0,0.8146774250015012,0.0,0,0,0.04064399999878204,baseline,101
baseline_seed_101,phase7d1_development_15c_003,15.0,True,1050.0,4.186589243833126,21.0352555980665,0.0923103689832971,6.814442391886021,0.8888082553434611,0,0.0228248704840456,0,0,0,0,0,0.5,0.0,0.0,0.8285206429158309,0.0,0,0,0.03890969999837485,baseline,101
baseline_seed_101,phase7d1_development_15c_004,15.0,True,1270.0,4.186503466655662,24.592297288989528,0.0916806190195065,8.68961898943168,0.4965724238348521,0,0.0137060610979062,0,0,0,0,0,0.4645669291338583,0.0,0.0,0.7680229530044542,0.0,0,0,0.046338500002082096,baseline,101
baseline_seed_101,phase7d1_development_15c_005,15.0,True,1175.0,4.186700697770981,22.633999016003656,0.0914597572448987,7.486277022462415,1.563912400277271,0,0.0267937602748142,0,0,0,0,0,0.4765957446808511,0.0,0.0,0.8084825222222589,0.0,0,0,0.04411140000091907,baseline,101
baseline_seed_101,phase7d1_development_15c_006,15.0,True,1220.0,4.1865085308924,23.641509167485594,0.092082961495254,8.318990516765723,1.5883417631168193,0,0.0261216233514707,0,0,0,0,0,0.47950819672131145,0.0,0.0,0.7948130619168197,0.0,0,0,0.04811899999684842,baseline,101
baseline_seed_101,phase7d1_development_15c_007,15.0,True,1315.0,4.186438609470334,25.60533621460553,0.0913195807062199,9.111898422783394,1.775994714329423,0,0.012136443595879,0,0,0,0,0,0.4448669201520912,0.0,0.0,0.7359671021278293,0.0,0,0,0.051663500001256635,baseline,101
baseline_seed_101,phase7d1_development_15c_008,15.0,True,1115.0,4.186681989880887,21.79085571962173,0.0933439639839184,7.064075563786092,0.7003995732393085,0,0.0229023717127994,0,0,0,0,0,0.484304932735426,0.0,0.0,0.8187551535006854,0.0,0,0,0.04429540000136356,baseline,101
baseline_seed_101,phase7d1_development_15c_009,15.0,True,1245.0,4.186452253813664,24.15260730613784,0.0900660314254859,8.648932201580472,0.0976060363379671,0,0.0160264568043366,0,0,0,0,0,0.4738955823293173,0.0,0.0,0.7830738736059235,0.0,0,0,0.04446109999524982,baseline,101
baseline_seed_101,phase7d1_development_15c_010,15.0,True,1200.0,4.186689542824569,23.07611997529148,0.09337645747879,7.644487327056989,0.2473591288070986,0,0.0155335549827153,0,0,0,0,0,0.4708333333333333,0.0,0.0,0.8006100700281031,0.0,0,0,0.044009300003370416,baseline,101
baseline_seed_101,phase7d1_development_15c_011,15.0,True,1290.0,4.186402279368092,25.153676433412897,0.091088608915236,9.172383834043462,1.3466842072221432,0,0.0147906320157531,0,0,0,0,0,0.4573643410852713,0.0,0.0,0.7529656936506317,0.0,0,0,0.04628090000004497,baseline,101
baseline_seed_101,phase7d1_development_15c_012,15.0,True,1085.0,4.186599555073974,21.418459749252747,0.0902568419036495,7.024198100700434,0.8714723716019348,0,0.0211505397248084,0,0,0,0,0,0.4930875576036866,0.0,0.0,0.826109138599949,0.0,0,0,0.040902900005211254,baseline,101
baseline_seed_101,phase7d1_development_15c_013,15.0,True,1080.0,4.186692709185872,21.32125303318975,0.0914216745044376,6.802700784411725,1.521541116462073,0,0.029242689273035,0,0,0,0,0,0.49074074074074076,0.0,0.0,0.821668271389945,0.0,0,0,0.0399428999985404,baseline,101
baseline_seed_101,phase7d1_development_15c_014,15.0,True,1290.0,4.186521955241018,24.94929761102594,0.0930022701390904,8.672307433115321,0.0871703289374341,0,0.0161490151952827,0,0,0,0,0,0.45348837209302323,0.0,0.0,0.7554931602348871,0.0,0,0,0.0463233000009378,baseline,101
baseline_seed_101,phase7d1_development_15c_015,15.0,True,1190.0,4.186502253248585,23.091568616008203,0.0913699057518897,8.09517484939746,1.5147813371906231,0,0.0279899021831218,0,0,0,0,0,0.48739495798319327,0.0,0.0,0.8079297173870286,0.0,0,0,0.04226919999472399,baseline,101
baseline_seed_101,phase7d1_development_15c_016,15.0,True,1015.0,4.186695365307351,20.578876993555014,0.0893509472423961,6.3615131959405495,0.6770144192189615,0,0.0252698193984519,0,0,0,0,0,0.4876847290640394,0.0,0.0,0.8227441730351539,0.0,0,0,0.03689129999928768,baseline,101
baseline_seed_101,phase7d1_development_15c_017,15.0,True,1240.0,4.186519022694165,24.01555988740097,0.0930025122437983,8.436272190890314,0.969173147159374,0,0.0101920338994476,0,0,0,0,0,0.4717741935483871,0.0,0.0,0.7843473654647326,0.0,0,0,0.042820300004666335,baseline,101
