variant,temperature_guard_c,trajectory_count,mean_charge_time_s,maximum_charge_time_s,maximum_voltage_v,maximum_temperature_c,mean_voltage_intervention_fraction,mean_thermal_intervention_fraction,maximum_thermal_correction_a,end_to_end_speedup,strictly_safe
baseline,0.1,48,1349.5833333333333,1880.0,4.178479118177957,34.89465242348314,0.12062516081660206,0.6682201079726117,3.6576538770151927,159.31114532298034,True
thermal_guard_075mc,0.075,48,1346.4583333333333,1875.0,4.178479118178052,34.91928467943262,0.12287434643153379,0.6660548605952062,3.6427162712317775,159.64887334425177,True
thermal_guard_050mc,0.05,48,1343.125,1870.0,4.178479118177882,34.943869470383504,0.12583672072072857,0.6636828203369531,3.627204142149001,155.81614134865134,True
thermal_guard_025mc,0.025,48,1340.5208333333333,1865.0,4.178479118178057,34.96848529519565,0.12862557439342007,0.6613985422386459,3.6116920130662233,158.7883390351865,True
