role,trajectory_id,ambient_temperature_c,target_reached,charge_time_s,maximum_voltage_v,maximum_temperature_c,minimum_current_a,maximum_current_a,maximum_current_step_a,guard_exceedance_count,maximum_positive_residual_growth_v,empty_voltage_slew_count,empty_thermal_slew_count,solver_failure_count,prediction_infeasible_count,sustained_oscillation_count,voltage_intervention_fraction,thermal_intervention_fraction,both_layers_fraction,maximum_voltage_correction_a,maximum_thermal_correction_a,teacher_retry_count,alternative_selected_count,total_thermal_supervisor_time_s,level4_variant,seed
thermal_guard_075mc_seed_101,phase7d1_development_30c_000,30.0,True,1075.0,4.176839841405473,34.65110575048914,0.0909026670433554,5.60222106685503,1.807948090347435,0,0.0316221677199166,0,0,0,0,0,0.19534883720930232,0.6186046511627907,0.19534883720930232,0.1869330288448925,1.1890852984863765,0,0,0.04081980000136188,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_001,30.0,True,1570.0,4.168803008452315,34.89296381648671,0.0913895466232697,5.838740585773893,2.0,0,0.0295936946709014,0,0,0,0,0,0.05732484076433121,0.7452229299363057,0.05732484076433121,0.0368097332360788,2.8491806833184263,0,0,0.053947299994419634,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_002,30.0,True,1380.0,4.170590348346508,34.85155609067704,0.092376398210376,6.267312014345322,2.0,0,0.0305123325325853,0,0,0,0,0,0.11956521739130435,0.7101449275362319,0.11956521739130435,0.0846420761256108,2.1693289808574248,0,0,0.04957560000183228,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_003,30.0,True,1635.0,4.168358756162853,34.90111960387418,0.0893258693526295,7.614250789855523,2.0,0,0.0347081627237231,0,0,0,0,0,0.03669724770642202,0.7553516819571865,0.03669724770642202,0.0213084084132759,3.3636024049930318,0,0,0.05398449999482684,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_004,30.0,True,1255.0,4.172564935887645,34.79982693691363,0.0931442723290891,5.6026421105500495,1.4401801078769054,0,0.0273061772336058,0,0,0,0,0,0.1593625498007968,0.6812749003984063,0.1593625498007968,0.1195469481544293,1.8204803795354385,0,0,0.045210199998098,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_005,30.0,True,1015.0,4.177942087451555,34.569895392553974,0.0917392319883796,5.899965075569812,2.0,0,0.0341014460275497,0,0,0,0,0,0.18719211822660098,0.5763546798029556,0.16748768472906403,0.2109783710124815,0.8027115322401821,0,0,0.03722930000457267,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_006,30.0,True,1505.0,4.169526994382643,34.88252970809913,0.0928809190907058,6.3285365041412405,2.0,0,0.0340399959100734,0,0,0,0,0,0.07641196013289037,0.7375415282392026,0.07641196013289037,0.0526094785445661,2.725901342140164,0,0,0.051682300000708004,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_007,30.0,True,1460.0,4.169774591878839,34.87288461154162,0.0908156122377579,6.757107932712668,2.0,0,0.0305925209457362,0,0,0,0,0,0.09246575342465753,0.726027397260274,0.09246575342465753,0.0642397890511756,2.676876688944729,0,0,0.05070550000526533,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_008,30.0,True,1715.0,4.167830566001364,34.908703487532875,0.0892832843420063,5.602233820330994,1.5018128878918793,0,0.0313180445480378,0,0,0,0,0,0.014577259475218658,0.7667638483965015,0.014577259475218658,0.0033644534373169,3.1899094559651893,0,0,0.05531649999555667,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_009,30.0,True,1335.0,4.171403923512302,34.83518546497612,0.0910181179244005,5.602391359813985,1.930226776980316,0,0.0277742197384447,0,0,0,0,0,0.1348314606741573,0.700374531835206,0.1348314606741573,0.0984577266328514,2.2817204328174565,0,0,0.04761830000460223,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_010,30.0,True,1090.0,4.176321196005356,34.66897949684244,0.0905411791861214,6.389760993937159,2.0,0,0.0361512591872319,0,0,0,0,0,0.18807339449541285,0.6238532110091743,0.18807339449541285,0.1765076603428599,1.2020445426679576,0,0,0.03951719999803392,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_011,30.0,True,1585.0,4.168842616136802,34.89550509618675,0.0917455506318729,6.818332422508588,2.0,0,0.0338144391443568,0,0,0,0,0,0.050473186119873815,0.7476340694006309,0.050473186119873815,0.0325743223744514,2.867084455315718,0,0,0.0528079999994452,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_012,30.0,True,1395.0,4.170339188404452,34.856735368451325,0.0926277961305226,7.308128340875935,2.0,0,0.0356946692790121,0,0,0,0,0,0.11469534050179211,0.7132616487455197,0.11469534050179211,0.0795616748081342,2.03001651542424,0,0,0.050002400001164016,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_013,30.0,True,1150.0,4.174825218850051,34.7268860753631,0.0911297958729742,5.602428652841686,1.562842545177105,0,0.0252738349858181,0,0,0,0,0,0.1826086956521739,0.6478260869565218,0.1826086956521739,0.1545443622409203,1.4852601587453682,0,0,0.04286160000173086,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_014,30.0,True,1650.0,4.168118630626717,34.90282150442204,0.0906727053457725,5.602654190137647,1.991188436452573,0,0.0323316384954721,0,0,0,0,0,0.03333333333333333,0.7575757575757576,0.03333333333333333,0.0178786092507698,3.2976911481181705,0,0,0.054588299994962286,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_015,30.0,True,1270.0,4.17224073475641,34.80802707728776,0.0933893624837836,6.022414055161649,2.0,0,0.0338915699898061,0,0,0,0,0,0.14960629921259844,0.6850393700787402,0.14960629921259844,0.1139429002960263,1.8281381315770329,0,0,0.045538899997142716,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_016,30.0,True,1525.0,4.169332243921165,34.885491876277456,0.0889023949135707,7.369352830671852,2.0,0,0.0307511278871404,0,0,0,0,0,0.06885245901639345,0.7377049180327869,0.06885245901639345,0.0482232349182201,3.0184142357667394,0,0,0.05224600000654911,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_017,30.0,True,1430.0,4.170285072237158,34.86568919188272,0.0892434722138735,7.797924259243279,2.0,0,0.0337430715146478,0,0,0,0,0,0.1048951048951049,0.7202797202797203,0.1048951048951049,0.0719006998223497,2.2650744655405823,0,0,0.049756499994132286,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_018,30.0,True,945.0,4.1780920402381945,34.41757395965425,0.0917107261436793,5.602685888553989,1.6238097992607212,0,0.0323849835501475,0,0,0,0,0,0.21693121693121692,0.4708994708994709,0.12169312169312169,0.2474082231902201,0.5094962503596463,0,0,0.03405120000933463,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_019,30.0,True,1180.0,4.174014093954424,34.75107227815175,0.0915211646246949,5.655067116386138,2.0,0,0.0284910199431522,0,0,0,0,0,0.17372881355932204,0.6567796610169492,0.17372881355932204,0.1415131122983872,1.5428396819474566,0,0,0.04261879999465952,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_020,30.0,True,1680.0,4.1682118289693415,34.906150758088415,0.0919503865188398,6.083638544957566,2.0,0,0.0325193961949494,0,0,0,0,0,0.026785714285714284,0.7648809523809523,0.026785714285714284,0.0104166667949483,2.636779221147325,0,0,0.05567580000841656,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_021,30.0,True,1305.0,4.171606954927553,34.82275809242117,0.0897247850514468,6.512209973528995,2.0,0,0.0319978589973382,0,0,0,0,0,0.14559386973180077,0.6896551724137931,0.14559386973180077,0.1064609189833567,2.064351586732452,0,0,0.0464272000026418,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_022,30.0,True,1555.0,4.168920984584304,34.89095236391995,0.0900160369664075,7.8591487490392,2.0,0,0.0372948349212687,0,0,0,0,0,0.06109324758842444,0.7427652733118971,0.06109324758842444,0.0398916696372517,2.3905969506112186,0,0,0.05290319999856839,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_023,30.0,True,1365.0,4.170841833374812,34.846293780673705,0.0920733786937701,5.602449860554557,1.6852703170560712,0,0.0242290820528863,0,0,0,0,0,0.12454212454212454,0.706959706959707,0.12454212454212454,0.0900121856092335,2.441717059647788,0,0,0.047969400004136825,thermal_guard_075mc,101
thermal_guard_075mc_seed_101,phase7d1_development_30c_024,30.0,True,1625.0,4.168377054889287,34.89983710528429,0.0900605173917687,5.602649038979981,1.3817692691973713,0,0.0272306991596922,0,0,0,0,0,0.043076923076923075,0.7538461538461538,0.043076923076923075,0.0240757945712388,3.216979724628241,0,0,0.05372840000016793,thermal_guard_075mc,101
