scenario_id,controller,step,failure_type,source,optimizer_success,prediction_feasible,slack_voltage_v,slack_temperature_c,slack_soc,slack_current_change_a,braking_distance_steps,braking_current_deficit_a,candidate_shifted_previous,candidate_projected_ann,candidate_conservative_slew_down,emergency_fallback
lhs_008,recovery_mpc,81,none,slsqp,True,True,0.0,1.3891394701204263e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,86,none,slsqp,True,True,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,86,none,slsqp,True,True,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,91,none,slsqp,True,True,0.0,3.084892341576051e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,91,none,slsqp,True,True,0.0,3.084892341576051e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,96,none,slsqp,True,True,0.0,5.214673137743375e-11,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,96,none,slsqp,True,True,0.0,5.214673137743375e-11,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,101,none,slsqp,True,True,0.0,2.19948503854539e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,101,none,slsqp,True,True,0.0,2.19948503854539e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,106,none,slsqp,True,True,0.0,3.44606121416291e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,106,none,slsqp,True,True,0.0,3.44606121416291e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,111,none,slsqp,True,True,0.0,3.9511995453267446e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,111,none,slsqp,True,True,0.0,3.9511995453267446e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,116,none,slsqp,True,True,0.0,1.62239004453113e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,116,none,slsqp,True,True,0.0,1.62239004453113e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,121,none,slsqp,True,True,0.0,1.5077787907102902e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,121,none,slsqp,True,True,0.0,1.5077787907102902e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,126,none,slsqp,True,True,0.0,1.912027869366284e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,126,none,slsqp,True,True,0.0,1.912027869366284e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,131,none,slsqp,True,True,0.0,2.2601298610425147e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,131,none,slsqp,True,True,0.0,2.2601298610425147e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,136,none,slsqp,True,True,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,136,none,slsqp,True,True,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,141,none,slsqp,True,True,0.0,1.638582602936367e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,141,none,slsqp,True,True,0.0,1.638582602936367e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,146,none,slsqp,True,True,0.0,6.469278446274984e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,146,none,slsqp,True,True,0.0,6.469278446274984e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,151,none,slsqp,True,True,0.0,1.5180461332420236e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,151,none,slsqp,True,True,0.0,1.5180461332420236e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,156,none,slsqp,True,True,0.0,1.543389771541115e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,156,none,slsqp,True,True,0.0,1.543389771541115e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,161,none,slsqp,True,True,0.0,2.359492157211207e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,161,none,slsqp,True,True,0.0,2.359492157211207e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,166,none,slsqp,True,True,0.0,5.787605061868817e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,166,none,slsqp,True,True,0.0,5.787605061868817e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,171,none,slsqp,True,True,0.0,1.0502532177270041e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,171,none,slsqp,True,True,0.0,1.0502532177270041e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,176,none,slsqp,True,True,0.0,6.504805583062989e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,176,none,slsqp,True,True,0.0,6.504805583062989e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,181,none,slsqp,True,True,0.0,5.026237204219797e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,181,none,slsqp,True,True,0.0,5.026237204219797e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,186,none,slsqp,True,True,0.0,9.262421940547938e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,186,none,slsqp,True,True,0.0,9.262421940547938e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,191,none,slsqp,True,True,0.0,3.3554130141055794e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,191,none,slsqp,True,True,0.0,3.3554130141055794e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,196,none,slsqp,True,True,0.0,5.89004400808335e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,196,none,slsqp,True,True,0.0,5.89004400808335e-10,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,201,none,slsqp,True,True,0.0,5.40477884669599e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,201,none,slsqp,True,True,0.0,5.40477884669599e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,206,none,slsqp,True,True,0.0,4.9991726314146945e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,206,none,slsqp,True,True,0.0,4.9991726314146945e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,211,none,slsqp,True,True,0.0,2.1219790369286784e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,211,none,slsqp,True,True,0.0,2.1219790369286784e-09,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,216,none,slsqp,True,True,0.0,1.689238615654176e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,recovery_mpc,216,none,slsqp,True,True,0.0,1.689238615654176e-08,0.0,0.0,0,0.0,0,0,0,0
lhs_008,original_mpc,221,none,slsqp,True,True,0.0,3.97193389289896e-11,0.0,0.0,0,0.0,0,0,0,0
