scenario_id,controller,step,time_s,current_a,current_change_a,soc,voltage_v,temperature_c,control_update
nominal,original_mpc,1,5.0,2.000000000000001,2.000000000000001,0.10055555555555556,3.3455056002961303,25.007004458575764,True
nominal,recovery_mpc,1,5.0,2.000000000000001,2.000000000000001,0.10055555555555556,3.3455056002961303,25.007004458575764,True
nominal,original_mpc,2,10.0,4.000000000000003,2.0000000000000018,0.10166666666666668,3.4008262851352056,25.036521470261313,True
nominal,recovery_mpc,2,10.0,4.000000000000003,2.0000000000000018,0.10166666666666668,3.4008262851352056,25.036521470261313,True
nominal,original_mpc,3,15.0,5.999999999999992,1.9999999999999893,0.10333333333333335,3.4609603507892244,25.105794149108576,True
nominal,recovery_mpc,3,15.0,5.999999999999992,1.9999999999999893,0.10333333333333335,3.4609603507892244,25.105794149108576,True
nominal,original_mpc,4,20.0,7.999999999999992,2.0,0.10555555555555557,3.5252111828954265,25.233304474203038,True
nominal,recovery_mpc,4,20.0,7.999999999999992,2.0,0.10555555555555557,3.5252111828954265,25.233304474203038,True
nominal,original_mpc,5,25.0,9.894715516470807,1.8947155164708152,0.10830408764346412,3.590429343420518,25.434428005150025,True
nominal,recovery_mpc,5,25.0,9.894715516470807,1.8947155164708152,0.10830408764346412,3.590429343420518,25.434428005150025,True
nominal,original_mpc,6,30.0,9.894715516470807,0.0,0.11105261973137268,3.6115528612764547,25.646928985371346,False
nominal,recovery_mpc,6,30.0,9.894715516470807,0.0,0.11105261973137268,3.6115528612764547,25.646928985371346,False
nominal,original_mpc,7,35.0,9.894715516470807,0.0,0.11380115181928123,3.6298889925891005,25.868319676169556,False
nominal,recovery_mpc,7,35.0,9.894715516470807,0.0,0.11380115181928123,3.6298889925891005,25.868319676169556,False
nominal,original_mpc,8,40.0,9.894715516470807,0.0,0.11654968390718978,3.646091004001449,26.096710990695943,False
nominal,recovery_mpc,8,40.0,9.894715516470807,0.0,0.11654968390718978,3.646091004001449,26.096710990695943,False
nominal,original_mpc,9,45.0,9.894715516470807,0.0,0.11929821599509834,3.660648320037039,26.33066266489891,False
nominal,recovery_mpc,9,45.0,9.894715516470807,0.0,0.11929821599509834,3.660648320037039,26.33066266489891,False
nominal,original_mpc,10,50.0,8.70866169509748,1.1860538213733278,0.12171728868818096,3.6445662439331366,26.521385107517872,True
nominal,recovery_mpc,10,50.0,8.70866169509748,1.1860538213733278,0.12171728868818096,3.6445662439331366,26.521385107517872,True
nominal,original_mpc,11,55.0,8.70866169509748,0.0,0.12413636138126359,3.653511969066787,26.713410432716252,False
nominal,recovery_mpc,11,55.0,8.70866169509748,0.0,0.12413636138126359,3.653511969066787,26.713410432716252,False
nominal,original_mpc,12,60.0,8.70866169509748,0.0,0.12655543407434622,3.662207693619142,26.90658428333372,False
nominal,recovery_mpc,12,60.0,8.70866169509748,0.0,0.12655543407434622,3.662207693619142,26.90658428333372,False
nominal,original_mpc,13,65.0,8.70866169509748,0.0,0.12897450676742886,3.6706791383165362,27.10077394421233,False
nominal,recovery_mpc,13,65.0,8.70866169509748,0.0,0.12897450676742886,3.6706791383165362,27.10077394421233,False
nominal,original_mpc,14,70.0,8.70866169509748,0.0,0.1313935794605115,3.678945992002375,27.29586363767633,False
nominal,recovery_mpc,14,70.0,8.70866169509748,0.0,0.1313935794605115,3.678945992002375,27.29586363767633,False
nominal,original_mpc,15,75.0,8.071770475229897,0.6368912198675822,0.13363573792585315,3.6712752104728663,27.467347413795498,True
nominal,recovery_mpc,15,75.0,8.071770475229897,0.6368912198675822,0.13363573792585315,3.6712752104728663,27.467347413795498,True
nominal,original_mpc,16,80.0,8.071770475229897,0.0,0.1358778963911948,3.6774049111333342,27.638557442494132,False
nominal,recovery_mpc,16,80.0,8.071770475229897,0.0,0.1358778963911948,3.6774049111333342,27.638557442494132,False
nominal,original_mpc,17,85.0,8.071770475229897,0.0,0.13812005485653644,3.6836596623942395,27.809628704618856,False
nominal,recovery_mpc,17,85.0,8.071770475229897,0.0,0.13812005485653644,3.6836596623942395,27.809628704618856,False
nominal,original_mpc,18,90.0,8.071770475229897,0.0,0.1403622133218781,3.6899772817113643,27.980650590893248,False
nominal,recovery_mpc,18,90.0,8.071770475229897,0.0,0.1403622133218781,3.6899772817113643,27.980650590893248,False
nominal,original_mpc,19,95.0,8.071770475229897,0.0,0.14260437178721974,3.696311556110714,28.151678872595163,False
nominal,recovery_mpc,19,95.0,8.071770475229897,0.0,0.14260437178721974,3.696311556110714,28.151678872595163,False
nominal,original_mpc,20,100.0,7.527050182055455,0.5447202931744419,0.14469521906001293,3.689175536430737,28.302658175036157,True
nominal,recovery_mpc,20,100.0,7.527050182055455,0.5447202931744419,0.14469521906001293,3.689175536430737,28.302658175036157,True
nominal,original_mpc,21,105.0,7.527050182055455,0.0,0.1467860663328061,3.6939519708001436,28.452947760691924,False
nominal,recovery_mpc,21,105.0,7.527050182055455,0.0,0.1467860663328061,3.6939519708001436,28.452947760691924,False
nominal,original_mpc,22,110.0,7.527050182055455,0.0,0.1488769136055993,3.698917960447985,28.602716803699327,False
nominal,recovery_mpc,22,110.0,7.527050182055455,0.0,0.1488769136055993,3.698917960447985,28.602716803699327,False
nominal,original_mpc,23,115.0,7.527050182055455,0.0,0.15096776087839248,3.704000376787784,28.75208421376497,False
nominal,recovery_mpc,23,115.0,7.527050182055455,0.0,0.15096776087839248,3.704000376787784,28.75208421376497,False
nominal,original_mpc,24,120.0,7.527050182055455,0.0,0.15305860815118566,3.7091447140127203,28.901131634906314,False
nominal,recovery_mpc,24,120.0,7.527050182055455,0.0,0.15305860815118566,3.7091447140127203,28.901131634906314,False
nominal,original_mpc,25,125.0,7.07337557838937,0.4536746036660855,0.15502343470073826,3.7031202817890363,29.03382027733005,True
nominal,recovery_mpc,25,125.0,7.07337557838937,0.4536746036660855,0.15502343470073826,3.7031202817890363,29.03382027733005,True
nominal,original_mpc,26,130.0,7.07337557838937,0.0,0.15698826125029086,3.707044310217329,29.16571689451669,False
nominal,recovery_mpc,26,130.0,7.07337557838937,0.0,0.15698826125029086,3.707044310217329,29.16571689451669,False
nominal,original_mpc,27,135.0,7.07337557838937,0.0,0.15895308779984346,3.711146455181106,29.2969716053451,False
nominal,recovery_mpc,27,135.0,7.07337557838937,0.0,0.15895308779984346,3.711146455181106,29.2969716053451,False
nominal,original_mpc,28,140.0,7.07337557838937,0.0,0.16091791434939606,3.7153606491074562,29.42769180571491,False
nominal,recovery_mpc,28,140.0,7.07337557838937,0.0,0.16091791434939606,3.7153606491074562,29.42769180571491,False
nominal,original_mpc,29,145.0,7.07337557838937,0.0,0.16288274089894866,3.719637588246795,29.557953162161173,False
nominal,recovery_mpc,29,145.0,7.07337557838937,0.0,0.16288274089894866,3.719637588246795,29.557953162161173,False
nominal,original_mpc,30,150.0,6.684877299584351,0.3884982788050184,0.16473965125994433,3.7143702820096154,29.674524417925497,True
nominal,recovery_mpc,30,150.0,6.684877299584351,0.3884982788050184,0.16473965125994433,3.7143702820096154,29.674524417925497,True
nominal,original_mpc,31,155.0,6.684877299584351,0.0,0.16659656162094,3.7176284329783265,29.7902821853154,False
nominal,recovery_mpc,31,155.0,6.684877299584351,0.0,0.16659656162094,3.7176284329783265,29.7902821853154,False
nominal,original_mpc,32,160.0,6.684877299584351,0.0,0.16845347198193567,3.7210441127665312,29.905354341431153,False
nominal,recovery_mpc,32,160.0,6.684877299584351,0.0,0.16845347198193567,3.7210441127665312,29.905354341431153,False
nominal,original_mpc,33,165.0,6.684877299584351,0.0,0.17031038234293133,3.7245597832427255,30.019833579125887,False
nominal,recovery_mpc,33,165.0,6.684877299584351,0.0,0.17031038234293133,3.7245597832427255,30.019833579125887,False
nominal,original_mpc,34,170.0,6.684877299584351,0.0,0.172167292703927,3.7281324584388624,30.13378642667528,False
nominal,recovery_mpc,34,170.0,6.684877299584351,0.0,0.172167292703927,3.7281324584388624,30.13378642667528,False
nominal,original_mpc,35,175.0,6.348916742235473,0.3359605573488782,0.1739308806878813,3.7234648037784037,30.236169450363217,True
nominal,recovery_mpc,35,175.0,6.348916742235473,0.3359605573488782,0.1739308806878813,3.7234648037784037,30.236169450363217,True
nominal,original_mpc,36,180.0,6.348916742235473,0.0,0.17569446867183558,3.7261719003960674,30.337751055331022,False
nominal,recovery_mpc,36,180.0,6.348916742235473,0.0,0.17569446867183558,3.7261719003960674,30.337751055331022,False
nominal,original_mpc,37,185.0,6.348916742235473,0.0,0.17745805665578987,3.729017183007567,30.438640175692147,False
nominal,recovery_mpc,37,185.0,6.348916742235473,0.0,0.17745805665578987,3.729017183007567,30.438640175692147,False
nominal,original_mpc,38,190.0,6.348916742235473,0.0,0.17922164463974416,3.731950660560667,30.538916700903737,False
nominal,recovery_mpc,38,190.0,6.348916742235473,0.0,0.17922164463974416,3.731950660560667,30.538916700903737,False
nominal,original_mpc,39,195.0,6.348916742235473,0.0,0.18098523262369845,3.7349349438087502,30.63863889481528,False
nominal,recovery_mpc,39,195.0,6.348916742235473,0.0,0.18098523262369845,3.7349349438087502,30.63863889481528,False
nominal,original_mpc,40,200.0,6.057681490473167,0.29123525176230647,0.18266792192660766,3.730786621166416,30.72855192383177,True
nominal,recovery_mpc,40,200.0,6.057681490473167,0.29123525176230647,0.18266792192660766,3.730786621166416,30.72855192383177,True
nominal,original_mpc,41,205.0,6.057681490473167,0.0,0.18435061122951688,3.7330324261038332,30.81769495072995,False
nominal,recovery_mpc,41,205.0,6.057681490473167,0.0,0.18435061122951688,3.7330324261038332,30.81769495072995,False
nominal,original_mpc,42,210.0,6.057681490473167,0.0,0.1860333005324261,3.735399024762774,30.90616113437333,False
nominal,recovery_mpc,42,210.0,6.057681490473167,0.0,0.1860333005324261,3.735399024762774,30.90616113437333,False
nominal,original_mpc,43,215.0,6.057681490473167,0.0,0.1877159898353353,3.7378429324223794,30.99401952163798,False
