seed,parameter_count,fit_time_s,optimization_iterations,warning_count,warnings,train_mae_a,train_rmse_a,train_nrmse,train_maximum_absolute_error_a,train_bias_a,train_r2,validation_mae_a,validation_rmse_a,validation_nrmse,validation_maximum_absolute_error_a,validation_bias_a,validation_r2,test_mae_a,test_rmse_a,test_nrmse,test_maximum_absolute_error_a,test_bias_a,test_r2
22,1697,13.635250300001644,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.0085655338061487,0.0108174218928497,0.0010817421892849,0.0500268899711979,-0.0015189108054083,0.999903005805545,0.0094274368668108,0.0120686697471482,0.0012068669747148,0.0617401089339963,0.000499074508919,0.9999211397636006,0.0096893843854115,0.0125475265946831,0.0012547526594683,0.0513035847547023,0.0001482832267425,0.9998992813861975
42,1697,13.280801300003077,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.0016805700017098555,0.005033982854939194,0.0005033982854939195,0.046010447775852725,-0.00016568040425842245,0.9999789950492036,0.002523745653118038,0.007127228435537312,0.0007127228435537313,0.07935076187566992,-4.9080979739416865e-05,0.9999724969647484,0.002696277966561988,0.006722925550346038,0.0006722925550346038,0.04733615827026938,-6.375441549122087e-05,0.9999710858723488
73,1697,14.46892829999706,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.009298724325698018,0.010525274543247254,0.0010525274543247253,0.057273519164251496,-0.008534017929943757,0.999908174126104,0.010124269699271958,0.011402916883967412,0.0011402916883967412,0.07867557475590559,-0.008677318400621855,0.9999296002388456,0.009642774864390904,0.011284390432573656,0.0011284390432573655,0.05838991218692513,-0.008433007052329876,0.9999185390072748
101,1697,14.065201099998376,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.003383552340697627,0.00738622474221605,0.000738622474221605,0.057286511932789,-0.0029003383143690734,0.9999547786794755,0.004229094462772722,0.008853180233431776,0.0008853180233431776,0.09486433206251199,-0.003134213896385777,0.9999575636639796,0.0044613541552041835,0.009148156076827717,0.0009148156076827718,0.058015886292217544,-0.002812388389860319,0.9999464621876437
137,1697,12.815291400002025,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.0020335991553865657,0.005763929065641655,0.0005763929065641655,0.05136361374506393,-0.0005320033794069336,0.9999724618057285,0.0025049941293205616,0.006536387684302504,0.0006536387684302504,0.0707418802598685,-0.0003530173147344902,0.9999768679099507,0.003613422217132311,0.00897175068910732,0.000897175068910732,0.05168105757004504,0.00031671642636085795,0.9999485070368819
