seed,ann_total_mean_ms,end_to_end_speedup
22,0.27998061921524603,149.5435885474992
42,0.27948235245896563,149.81019786337376
73,0.3030695108925819,138.1508367433196
101,0.3060757364440417,136.79394194271117
137,0.3155318990224631,132.69436989069075
