role,trajectory_id,ambient_temperature_c,target_reached,charge_time_s,maximum_voltage_v,maximum_temperature_c,minimum_current_a,maximum_current_a,maximum_current_step_a,guard_exceedance_count,maximum_positive_residual_growth_v,empty_voltage_slew_count,empty_thermal_slew_count,solver_failure_count,prediction_infeasible_count,sustained_oscillation_count,voltage_intervention_fraction,thermal_intervention_fraction,both_layers_fraction,maximum_voltage_correction_a,maximum_thermal_correction_a,teacher_retry_count,alternative_selected_count,total_thermal_supervisor_time_s,level4_variant,seed
baseline_seed_101,phase7d3_confirmation_15c_000,15.0,True,955.0,4.186807677737527,20.03889589614198,0.0932384174301041,5.980772654778145,2.0,0,0.0320319488205651,0,0,0,0,0,0.4816753926701571,0.0,0.0,0.8163084400587803,0.068306236973882,0,0,0.035892700023386334,baseline,101
baseline_seed_101,phase7d3_confirmation_15c_001,15.0,True,1095.0,4.186689190850334,21.50420845106493,0.0906617558954527,6.925506480804786,1.5450620923407064,0,0.0295134069486833,0,0,0,0,0,0.4840182648401826,0.0,0.0,0.8216490578106335,0.0,0,0,0.05095280000386014,baseline,101
baseline_seed_101,phase7d3_confirmation_15c_002,15.0,True,1300.0,4.186498632268808,25.18214683703945,0.0930568712782395,8.782885390946221,0.1162546107706976,0,0.0170379170825611,0,0,0,0,0,0.45,0.0,0.0,0.7483147252672273,0.0,0,0,0.0549808999858091,baseline,101
baseline_seed_101,phase7d3_confirmation_15c_003,15.0,True,1270.0,4.186585005761316,24.39540505132686,0.0915390369222799,8.295533053435935,1.0321783768524142,0,0.026813507737958,0,0,0,0,0,0.4566929133858268,0.0,0.0,0.7702375939599566,0.0,0,0,0.05017060002863853,baseline,101
baseline_seed_101,phase7d3_confirmation_15c_004,15.0,True,1165.0,4.186571841342687,22.585545068459798,0.091057091653274,7.629916430739574,0.4450621433083688,0,0.0106255508688759,0,0,0,0,0,0.48497854077253216,0.0,0.0,0.8142793521265146,0.0,0,0,0.0460603999854239,baseline,101
baseline_seed_101,phase7d3_confirmation_15c_005,15.0,True,1220.0,4.186625849652644,23.451819317568265,0.0918718180295914,7.930603821462528,0.1113933231115353,0,0.0143336474337205,0,0,0,0,0,0.4672131147540984,0.0,0.0,0.7942383430096838,0.0,0,0,0.047694600030797535,baseline,101
baseline_seed_101,phase7d3_confirmation_15c_006,15.0,True,1105.0,4.186549192772939,21.74087855030075,0.0925444727582949,7.26665956185013,1.693704929662708,0,0.0276194686195632,0,0,0,0,0,0.497737556561086,0.0,0.0,0.8262422987078635,0.0,0,0,0.043610000022443786,baseline,101
baseline_seed_101,phase7d3_confirmation_15c_007,15.0,True,1310.0,4.18644952083963,25.493591339523675,0.0910357556476895,9.091971063970206,0.2969648561140623,0,0.0219803707905721,0,0,0,0,0,0.45038167938931295,0.0,0.0,0.7399544907515612,0.0,0,0,0.05217020003327555,baseline,101
baseline_seed_101,phase7d3_confirmation_15c_008,15.0,True,1245.0,4.186572240509226,23.95405106045729,0.0900352159128767,8.265483646547889,1.5520237021078067,0,0.0268429881962388,0,0,0,0,0,0.46184738955823296,0.0,0.0,0.7838424731295897,0.0,0,0,0.05438489998776842,baseline,101
baseline_seed_101,phase7d3_confirmation_15c_009,15.0,True,1015.0,4.186879772346891,20.53019596328716,0.0914419697097876,6.077112626088448,1.168966151138676,0,0.0263780063118321,0,0,0,0,0,0.47783251231527096,0.0,0.0,0.8130684938774104,0.0,0,0,0.043680699996901926,baseline,101
baseline_seed_101,phase7d3_confirmation_15c_010,15.0,True,1145.0,4.186782063544927,22.0754667825438,0.0896434639955945,7.04510305460058,0.629547151197972,0,0.0226680868220654,0,0,0,0,0,0.4759825327510917,0.0,0.0,0.8123316080306857,0.0,0,0,0.05480299999543396,baseline,101
baseline_seed_101,phase7d3_confirmation_15c_011,15.0,True,1190.0,4.186581179468919,23.0292255450762,0.0930806795082817,7.8973733329121885,0.6956442198251409,0,0.0216308460205745,0,0,0,0,0,0.4789915966386555,0.0,0.0,0.8057020221622775,0.0,0,0,0.06196429997725095,baseline,101
baseline_seed_101,phase7d3_confirmation_15c_012,15.0,True,1185.0,4.186637203516289,22.891931428760188,0.0933586782655147,7.704139384254435,1.9741914679151416,0,0.0326784933388308,0,0,0,0,0,0.4767932489451477,0.0,0.0,0.8063307031762168,0.0,0,0,0.05097680000106989,baseline,101
baseline_seed_101,phase7d3_confirmation_15c_013,15.0,True,1100.0,4.1867061249122335,21.561461767271,0.0911042635931682,6.9151307549601775,1.697919344543125,0,0.0308131732752627,0,0,0,0,0,0.4818181818181818,0.0,0.0,0.8203359996857924,0.0,0,0,0.044790399973852035,baseline,101
baseline_seed_101,phase7d3_confirmation_15c_014,15.0,True,1240.0,4.186511527543346,23.931167226351192,0.0894079972017625,8.384404149339165,1.615595850660835,0,0.0285825656127318,0,0,0,0,0,0.46774193548387094,0.0,0.0,0.7865166012167224,0.0,0,0,0.057595600024785705,baseline,101
baseline_seed_101,phase7d3_confirmation_15c_015,15.0,True,1135.0,4.186576400045492,22.1241130112532,0.0912069474120911,7.416528618094471,0.1250929099802595,0,0.0190198905566658,0,0,0,0,0,0.4889867841409692,0.0,0.0,0.8208715389137078,0.0,0,0,0.059164500020404215,baseline,101
