role,trajectory_id,ambient_temperature_c,target_reached,charge_time_s,maximum_voltage_v,maximum_temperature_c,minimum_current_a,maximum_current_a,maximum_current_step_a,guard_exceedance_count,maximum_positive_residual_growth_v,empty_voltage_slew_count,empty_thermal_slew_count,solver_failure_count,prediction_infeasible_count,sustained_oscillation_count,voltage_intervention_fraction,thermal_intervention_fraction,both_layers_fraction,maximum_voltage_correction_a,maximum_thermal_correction_a,teacher_retry_count,alternative_selected_count,total_thermal_supervisor_time_s
frozen_ann_seed_101,phase7cr3_confirmation_15c_000,15.0,True,1215.0,4.186621259857886,23.34824057032756,0.0911166606342344,7.902119418153989,0.9077050864876872,0,0.0241145684063157,0,0,0,0,0,0.4691358024691358,0.0,0.0,0.7965846518770396,0.0,0,0,0.04153089998725318
frozen_ann_seed_101,phase7cr3_confirmation_15c_001,15.0,True,1310.0,4.186517875967061,25.28506365170483,0.0914360132813754,8.679639271077956,0.5587566621351492,0,0.0262274246450351,0,0,0,0,0,0.44274809160305345,0.0,0.0,0.7439305042269169,0.0,0,0,0.04276449993993697
frozen_ann_seed_101,phase7cr3_confirmation_15c_002,15.0,True,1055.0,4.186674587965907,21.03777494997007,0.0904601845634474,6.712073257294049,0.4446900228578307,0,0.0196206597460006,0,0,0,0,0,0.4881516587677725,0.0,0.0,0.8245908513719225,0.0,0,0,0.035973699999875305
frozen_ann_seed_101,phase7cr3_confirmation_15c_003,15.0,True,1275.0,4.186535361743752,24.58540982527734,0.0897557429088444,8.579770392959269,0.9944356842359596,0,0.0134851074837749,0,0,0,0,0,0.4588235294117647,0.0,0.0,0.7670760382687467,0.0,0,0,0.04334030004246181
frozen_ann_seed_101,phase7cr3_confirmation_15c_004,15.0,True,1180.0,4.186720533009305,22.631621071719564,0.089671881509068,7.390994813542569,1.0514827523235972,0,0.0244578990492447,0,0,0,0,0,0.4703389830508475,0.0,0.0,0.8067181476210505,0.0,0,0,0.03998510004020153
frozen_ann_seed_101,phase7cr3_confirmation_15c_005,15.0,True,1225.0,4.186544350787058,23.6366532624657,0.0901596610399404,8.234580409662778,1.0650400133462463,0,0.0227250167454071,0,0,0,0,0,0.47346938775510206,0.0,0.0,0.7933277263044038,0.0,0,0,0.042417500048020765
frozen_ann_seed_101,phase7cr3_confirmation_15c_006,15.0,True,1320.0,4.186467220816876,25.596493387129957,0.0893395694825622,8.98842470166365,0.7397671499168013,0,0.0258279638431773,0,0,0,0,0,0.4431818181818182,0.0,0.0,0.7353572623268692,0.0,0,0,0.04321769998567704
frozen_ann_seed_101,phase7cr3_confirmation_15c_007,15.0,True,1120.0,4.1867340430535,21.790412578177666,0.0915764960859046,6.9418805718345045,0.2761071981132943,0,0.0210520054887961,0,0,0,0,0,0.47767857142857145,0.0,0.0,0.8162531853308908,0.0,0,0,0.038705200022367006
frozen_ann_seed_101,phase7cr3_confirmation_15c_008,15.0,True,1020.0,4.186589208748401,20.685150782952803,0.0898030579329165,6.62436960295822,1.0221895955610067,0,0.0235379882207427,0,0,0,0,0,0.5,0.0,0.0,0.8306307815303358,0.0,0,0,0.03496020000601559
frozen_ann_seed_101,phase7cr3_confirmation_15c_009,15.0,True,1245.0,4.186481733538862,24.146477047760868,0.0924867220611957,8.561898280499584,0.4867676534089291,0,0.0120462860801913,0,0,0,0,0,0.46987951807228917,0.0,0.0,0.7818008620840864,0.0,0,0,0.0427745000015301
frozen_ann_seed_101,phase7cr3_confirmation_15c_010,15.0,True,1150.0,4.186682570171861,22.23159626494549,0.0891228109620105,7.334738536078076,1.5975349481554364,0,0.025810914637363,0,0,0,0,0,0.4826086956521739,0.0,0.0,0.8150599195885189,0.0,0,0,0.03966490000310561
frozen_ann_seed_101,phase7cr3_confirmation_15c_011,15.0,True,1195.0,4.186464087001721,23.207779776680468,0.0917161577233236,8.17611144592896,1.6133048954474098,0,0.0309619545062638,0,0,0,0,0,0.48535564853556484,0.0,0.0,0.8061967489305664,0.0,0,0,0.040631400013797614
frozen_ann_seed_101,phase7cr3_confirmation_15c_012,15.0,True,1060.0,4.186402715016182,21.0957653352977,0.0905709016593592,7.0498377683307325,2.0000000000000004,0,0.0435769968023747,0,0,0,0,0,0.5094339622641509,0.0,0.0,0.8427523594574158,0.0,0,0,0.03622250004263072
frozen_ann_seed_101,phase7cr3_confirmation_15c_013,15.0,True,1310.0,4.186268095642267,25.650046988665054,0.0924420660712073,9.536872560277873,2.000000000000001,0,0.0414367649795126,0,0,0,0,0,0.4580152671755725,0.0,0.0,0.7414680667801612,0.0,0,0,0.04365109998978853
frozen_ann_seed_101,phase7cr3_confirmation_15c_014,15.0,True,1010.0,4.186579340854042,20.53030373733208,0.0910800272462646,6.4509149758746,1.975241014281249,0,0.0371519154581654,0,0,0,0,0,0.504950495049505,0.0,0.0,0.834621483456472,0.0,0,0,0.0347960999679245
frozen_ann_seed_101,phase7cr3_confirmation_15c_015,15.0,True,1340.0,4.186290550542737,26.32056434602504,0.0919816679240317,9.710081054076962,2.0,0,0.0340306006254156,0,0,0,0,0,0.44776119402985076,0.0,0.0,0.7154334476746849,0.0,0,0,0.04443689999969724
frozen_ann_seed_101,phase7cr3_confirmation_15c_016,15.0,True,980.0,4.186545265870711,20.296429480527763,0.0931615469122659,6.495307200556721,1.9991150852156616,0,0.0319603507317047,0,0,0,0,0,0.5102040816326531,0.0,0.0,0.841888230849134,0.0,0,0,0.03367660000366343
frozen_ann_seed_101,phase7cr3_confirmation_15c_017,15.0,True,1325.0,4.186242779054638,26.00411960509183,0.0892275719824513,9.63698943772722,2.0,0,0.0292489387520404,0,0,0,0,0,0.45660377358490567,0.0,0.0,0.7289406449250215,0.0,0,0,0.044538200010707185
frozen_ann_seed_101,phase7cr3_confirmation_15c_018,15.0,True,1200.0,4.186551896147197,23.141491713662845,0.0892280219260843,7.928436071957934,1.4745204059050874,0,0.0102276356914039,0,0,0,0,0,0.475,0.0,0.0,0.803959989468443,0.0,0,0,0.040428600004804346
frozen_ann_seed_101,phase7cr3_confirmation_15c_019,15.0,True,1095.0,4.18676641968982,21.45715751471721,0.0925677137162708,6.742652557769832,0.8541202511401575,0,0.0192195208995951,0,0,0,0,0,0.4794520547945205,0.0,0.0,0.8158478303349814,0.0,0,0,0.037211500020919566
frozen_ann_seed_101,phase7cr3_confirmation_15c_020,15.0,True,995.0,4.186571361727938,20.461523356006296,0.0919681439051425,6.479067394878744,1.6891339854598186,0,0.0298164075222278,0,0,0,0,0,0.5025125628140703,0.0,0.0,0.8321696096745397,0.0,0,0,0.03469639996182095
frozen_ann_seed_101,phase7cr3_confirmation_15c_021,15.0,True,1220.0,4.186482669994365,23.619610044605,0.0904748019320931,8.329409724877742,0.4102202268893915,0,0.0211765522247198,0,0,0,0,0,0.47950819672131145,0.0,0.0,0.7957627149029456,0.0,0,0,0.04128580002360398
frozen_ann_seed_101,phase7cr3_confirmation_15c_022,15.0,True,1250.0,4.186537419666604,24.151782980592884,0.0920557013374008,8.41127312425552,1.294944612305169,0,0.0206848339767553,0,0,0,0,0,0.468,0.0,0.0,0.7797605264236607,0.0,0,0,0.042406700009439455
frozen_ann_seed_101,phase7cr3_confirmation_15c_023,15.0,True,1310.0,4.186220417119789,25.806487722269026,0.0931749060597004,9.58582165282725,2.0,0,0.0138044784698982,0,0,0,0,0,0.46564885496183206,0.0,0.0,0.7371326546469623,0.0,0,0,0.04462449996934681
frozen_ann_seed_101,phase7cr3_confirmation_30c_000,30.0,True,1385.0,4.170608156171356,34.82783517901805,0.0890080220625582,6.091596890422737,2.0,0,0.0335479452215894,0,0,0,0,0,0.11913357400722022,0.7111913357400722,0.11913357400722022,0.0827571250044347,2.388345444328234,0,0,0.0477869000205698
frozen_ann_seed_101,phase7cr3_confirmation_30c_001,30.0,True,1635.0,4.16828450694344,34.876955638769346,0.0911706064573834,6.520168318994166,2.0,0,0.0321540793887149,0,0,0,0,0,0.03669724770642202,0.7553516819571865,0.03669724770642202,0.0187071106931671,2.9761305718752205,0,0,0.05340649997377526
frozen_ann_seed_101,phase7cr3_confirmation_30c_002,30.0,True,1445.0,4.169614197395514,34.84554202572559,0.0908945962574017,7.8671070945043695,2.0,0,0.0327205884467529,0,0,0,0,0,0.09342560553633218,0.7197231833910035,0.09342560553633218,0.0642854774937928,2.188500364419868,0,0,0.050753100043935725
frozen_ann_seed_101,phase7cr3_confirmation_30c_003,30.0,True,1700.0,4.167626651398827,34.88298535993033,0.0902510022679701,5.587392706008941,1.708285817066859,0,0.0295882923227286,0,0,0,0,0,0.014705882352941176,0.7647058823529411,0.014705882352941176,0.0041420052373037,3.609114954775529,0,0,0.057814499963557
frozen_ann_seed_101,phase7cr3_confirmation_30c_004,30.0,True,1195.0,4.173409436333932,34.739049589676426,0.0921847867679046,5.724249951647227,2.0,0,0.0326165225674381,0,0,0,0,0,0.17573221757322174,0.6610878661087866,0.17573221757322174,0.1358912337197768,1.6665762175793215,0,0,0.04740239998499274
