seed,trajectory_id,step_index,raw_current_a,safe_current_a,projection_delta_a,exact_frozen_raw_violation,within_one_step_of_frozen_raw_violation
22,level3_closed_01,0,9.46306165606602,9.346938775510203,-0.11612288055581743,True,True
22,level3_closed_03,1,4.451700975184394,4.397187711937787,-0.05451326324660766,True,True
22,level3_closed_04,0,3.8497967141329115,3.836734693877551,-0.013062020255360629,True,True
22,level3_closed_05,0,5.273654601401591,5.26530612244898,-0.008348478952611593,True,True
22,level3_closed_05,1,7.30737866803843,7.26530612244898,-0.04207254558945017,True,True
22,level3_closed_05,2,9.397973206961591,9.26530612244898,-0.13266708451261167,True,True
22,level3_closed_07,0,8.154171648344906,8.122448979591837,-0.03172266875306917,True,True
42,level3_closed_01,0,9.367295042481821,9.346938775510203,-0.020356266971617742,True,True
42,level3_closed_02,0,6.693954270150224,6.775510204081632,0.08155593393140848,True,True
42,level3_closed_03,0,2.4284627792202107,2.4081632653061225,-0.02029951391408824,True,True
42,level3_closed_03,1,4.429536593952772,4.408163265306122,-0.02137332864664998,True,True
42,level3_closed_04,0,3.943382148283223,3.836734693877551,-0.10664745440567236,True,True
42,level3_closed_04,1,5.937397649747549,5.836734693877551,-0.10066295586999807,True,True
42,level3_closed_05,1,7.271342999858986,7.263197813148047,-0.008145186710939,True,True
42,level3_closed_05,2,9.32285700655827,9.263197813148047,-0.059659193410222855,True,True
42,level3_closed_07,0,8.137014105878023,8.122448979591837,-0.014565126286186114,True,True
42,level3_closed_11,0,4.0647094627158005,4.040816326530612,-0.023893136185188624,True,True
42,level3_closed_11,2,8.045148509271552,8.022592683976843,-0.022555825294709564,True,True
73,level3_closed_01,0,9.425504270447384,9.346938775510203,-0.07856549493718035,True,True
73,level3_closed_03,1,4.390773684983542,4.369669113553411,-0.021104571430131003,True,True
73,level3_closed_03,2,6.381268793762429,6.369669113553411,-0.011599680209017471,True,True
73,level3_closed_04,0,3.95022096236388,3.836734693877551,-0.11348626848632914,True,True
73,level3_closed_04,1,5.9431205240856055,5.836734693877551,-0.1063858302080547,True,True
73,level3_closed_05,2,9.309493159208897,9.247170704444992,-0.062322454763904744,True,True
73,level3_closed_06,0,6.746879206292003,6.693877551020408,-0.05300165527159528,True,True
73,level3_closed_07,0,8.14851817455146,8.122448979591837,-0.026069194959623232,True,True
73,level3_closed_10,1,4.664052168255329,4.591426509182462,-0.07262565907286689,True,True
73,level3_closed_10,2,6.6920470669744745,6.591426509182462,-0.10062055779201273,True,True
73,level3_closed_11,1,6.032955890236311,6.027136869419597,-0.005819020816713483,True,True
73,level3_closed_11,2,8.074587945781087,8.027136869419596,-0.04745107636149015,True,True
101,level3_closed_01,0,9.434712260422701,9.346938775510203,-0.08777348491249803,True,True
101,level3_closed_03,1,4.366995093819978,4.365596765810656,-0.0013983280093219363,True,True
101,level3_closed_04,1,5.683346845630217,5.680592896493168,-0.002753949137049183,True,True
101,level3_closed_05,0,5.268410703645479,5.26530612244898,-0.0031045811964993675,True,True
101,level3_closed_05,2,9.315424634985149,9.26391926252638,-0.051505372458768406,True,True
101,level3_closed_06,0,6.728774347893463,6.693877551020408,-0.03489679687305536,True,True
101,level3_closed_07,0,8.157590327294368,8.122448979591837,-0.03514134770253108,True,True
101,level3_closed_10,2,6.388075275037832,6.345146607506591,-0.042928667531240805,True,True
101,level3_closed_11,1,6.040182112997696,6.036259610768579,-0.003922502229117164,True,True
101,level3_closed_11,2,8.076232550718478,8.036259610768578,-0.03997293994989981,True,True
137,level3_closed_01,0,9.415611801278478,9.346938775510203,-0.06867302576827505,True,True
137,level3_closed_03,0,2.4515117475804535,2.4081632653061225,-0.04334848227433108,True,True
137,level3_closed_03,2,6.4080252657116805,6.395945302988295,-0.012079962723385407,True,True
137,level3_closed_05,1,7.272138371472085,7.261675559531426,-0.010462811940659122,True,True
137,level3_closed_05,2,9.285830763634916,9.261675559531426,-0.024155204103490036,True,True
137,level3_closed_06,0,6.7193971522892495,6.693877551020408,-0.025519601268841896,True,True
137,level3_closed_10,2,6.490060408333939,6.463128687383544,-0.026931720950394755,True,True
137,level3_closed_11,0,4.053803083831434,4.040816326530612,-0.012986757300821772,True,True
