seed,mean_current_nrmse,maximum_current_nrmse,mean_charge_time_gap_fraction,target_reach_fraction,maximum_voltage_violation_v,maximum_current_violation_a,maximum_slew_violation_a,maximum_current_step_a,projection_intervention_count,projection_intervention_fraction,maximum_projection_magnitude_a,mean_projection_magnitude_when_active_a,mpc_time_s,projected_dnn_time_s,speedup
22,0.003381540608571331,0.003761893624541688,0.008690391156323104,1.0,0.0,0.0,4.440892098500626e-16,2.0000000000000004,7,0.0026395173453996985,0.13266708451261167,0.05692984883793262,130.8281164000399,0.14626750009483658,894.4441951575974
42,0.0029410989296177518,0.003770275736277967,0.0060375844744846125,1.0,0.0,0.0,0.0,2.0,11,0.004089219330855019,0.10664745440567236,0.04361035651151646,130.8281164000399,0.1447797000873834,903.6357743597835
73,0.002298777530778504,0.0029610361033780676,0.004607250085499078,1.0,0.0,0.0,0.0,2.0,12,0.004506196019526849,0.11348626848632914,0.05825428869240993,130.8281164000399,0.16954939997231122,771.6224086986164
101,0.0022823917716539186,0.0034437471552642525,0.007784165782012623,1.0,0.0,0.0,4.440892098500626e-16,2.0000000000000004,10,0.0037678975131876413,0.08777348491249803,0.030339796999998114,130.8281164000399,0.20105230010085506,650.7168350444725
137,0.0029179147476382622,0.0034020116949827323,0.0060375844744846125,1.0,0.0,0.0,0.0,2.0,8,0.002973977695167286,0.06867302576827505,0.02801969579127489,130.8281164000399,0.2088853001696407,626.3155726793187
