seed,trajectory_id,signed_step_difference,continuous_crossing_time_difference_s,cumulative_charge_error_ah
22,level3_closed_00,-2,-8.760155502939824,-2.722622805796012e-05
22,level3_closed_01,-2,-8.96207630788399,-1.0408300749039275e-05
22,level3_closed_02,-2,-8.987392493924972,-1.2970471550488582e-05
22,level3_closed_03,-2,-8.914400028221735,-1.7129823266909876e-05
22,level3_closed_04,-1,-6.410141494230402,4.503936822272989e-05
22,level3_closed_05,-2,-8.767217214833636,-1.8983306701317007e-05
22,level3_closed_06,-2,-8.905074376248194,-1.801719125467116e-05
22,level3_closed_07,-2,-8.979210095944836,-1.1092146886129387e-05
22,level3_closed_08,-2,-9.29887441991707,-1.5846997586758487e-05
22,level3_closed_09,-2,-8.76155908976807,-1.78147893608285e-05
22,level3_closed_10,-2,-8.710167841974226,-1.7745456623193453e-05
22,level3_closed_11,-2,-8.859698068313946,-1.7470719568753643e-05
42,level3_closed_00,2,8.25946377724847,3.3759463395376263e-05
42,level3_closed_01,1,8.364822024038403,-7.767070057948584e-05
42,level3_closed_02,1,8.125757078039783,-7.223867370953485e-05
42,level3_closed_03,1,7.962660139962736,-6.845321783686132e-05
42,level3_closed_04,2,8.62756246972583,2.43709872495717e-05
42,level3_closed_05,1,8.711853871019912,-8.501186772302087e-05
42,level3_closed_06,1,7.696275797700537,-6.254603107957261e-05
42,level3_closed_07,1,8.192499501775728,-7.388148659938704e-05
42,level3_closed_08,2,8.102724250132269,3.8873051987782974e-05
42,level3_closed_09,1,8.52314962783612,-8.094806657873555e-05
42,level3_closed_10,1,8.45424981647625,-7.952639126832159e-05
42,level3_closed_11,1,7.902828962493231,-6.727479458656186e-05
73,level3_closed_00,-1,-4.412082300460725,-1.3637618346567453e-05
73,level3_closed_01,-1,-4.7873051943313385,-5.0415840310809775e-06
73,level3_closed_02,-1,-5.1823202999827345,3.6472142426191567e-06
73,level3_closed_03,-1,-4.893271285079209,-2.5994436725795824e-06
73,level3_closed_04,-1,-3.3648494035842305,-3.7585980383722826e-05
73,level3_closed_05,-1,-4.608116813234574,-8.92822115727338e-06
73,level3_closed_06,-1,-5.219810819628947,4.661923121318523e-06
73,level3_closed_07,-1,-4.82463816026825,-4.205608727166539e-06
73,level3_closed_08,-1,-5.179912050662324,4.153846149771804e-06
73,level3_closed_09,-1,-4.579155185538639,-9.559699058551512e-06
73,level3_closed_10,-1,-5.1772819600046205,3.3645596409491594e-06
73,level3_closed_11,-1,-4.950906059510771,-1.3531690260353773e-06
101,level3_closed_00,-1,-7.527788967017841,6.709252055827619e-05
101,level3_closed_01,-2,-7.855427180124934,-4.090848739161225e-05
101,level3_closed_02,-2,-7.965639673477199,-4.103230304098007e-05
101,level3_closed_03,-2,-7.98061681375475,-4.2652203279184654e-05
101,level3_closed_04,-1,-6.540501738170974,4.419752944950043e-05
101,level3_closed_05,-2,-7.640263417694314,-4.958899847527694e-05
101,level3_closed_06,-2,-8.112441291529649,-3.984391780878443e-05
101,level3_closed_07,-2,-7.902948977158303,-4.071746088764409e-05
101,level3_closed_08,-1,-8.337588248640714,8.59681552627636e-05
101,level3_closed_09,-2,-7.637900872053251,-4.84501632178712e-05
101,level3_closed_10,-2,-7.407313326534677,-5.308302027834265e-05
101,level3_closed_11,-2,-8.02764558486615,-4.048692172015459e-05
137,level3_closed_00,2,8.15702377921366,3.299181281559211e-05
137,level3_closed_01,1,7.735088888341579,-6.588236676350335e-05
137,level3_closed_02,1,7.578048251350538,-6.148287185870534e-05
137,level3_closed_03,1,7.688329770014207,-6.295707717072219e-05
137,level3_closed_04,2,9.572749952408685,2.3198434254665145e-06
137,level3_closed_05,1,7.891601367626663,-6.78867618672838e-05
137,level3_closed_06,1,7.575211354367184,-6.034359350400741e-05
137,level3_closed_07,1,7.796190277845199,-6.67420740848949e-05
137,level3_closed_08,2,7.127002293390092,5.605953860986625e-05
137,level3_closed_09,1,7.895696544817156,-6.840630135103411e-05
137,level3_closed_10,1,7.98560687977988,-7.069306627648252e-05
137,level3_closed_11,1,7.742027323101411,-6.4462828651478e-05
