step_index,original_raw_current_a,original_applied_current_a,temperature_c,soc,start_label,success,status_code,status_message,iterations,objective_value,first_current_a,minimum_constraint_margin,minimum_voltage_margin_v,minimum_slew_margin_a,maximum_predicted_voltage_v,terminal_predicted_soc,active_constraint_count,kkt_residual,stationarity_residual,primal_residual,complementarity_residual,function_evaluations,jacobian_evaluations,expanded_maximum_step_a
97,5.42046749518271,5.42046749518271,42.02082868972252,0.6659656119529667,random_12,True,0,Optimization terminated successfully,7,0.5839087510093449,5.42046749518248,-4.1744385725905886e-14,-4.1744385725905886e-14,1.4085229163119166,4.200000000000042,0.747003744908229,3,4.1744385725905886e-14,0.0,4.1744385725905886e-14,3.09962773504031e-14,28,7,0.5914770836880834
97,5.42046749518271,5.42046749518271,42.02082868972252,0.6659656119529667,random_13,True,0,Optimization terminated successfully,10,0.5839087510093341,5.420467495182723,-3.552713678800501e-15,-3.552713678800501e-15,1.4085229163107202,4.200000000000004,0.7470037449082334,3,3.552713678800501e-15,0.0,3.552713678800501e-15,1.9891358889454316e-15,40,10,0.5914770836892798
97,5.42046749518271,5.42046749518271,42.02082868972252,0.6659656119529667,random_14,True,0,Optimization terminated successfully,5,0.5839087510093416,5.420467495182713,-1.7763568394002505e-15,-1.7763568394002505e-15,1.4085229163107016,4.200000000000002,0.7470037449082312,3,3.5045133672350666e-15,6.938893903907228e-18,1.7763568394002505e-15,3.5045133672350666e-15,20,5,0.5914770836892984
98,3.420470267093668,3.420470267093668,41.989877620017296,0.6674712973682952,controller_default,True,0,Optimization terminated successfully,24,0.8748905802258083,3.420470267093668,-5.036557837456712e-10,0.07173833829718745,-5.036557837456712e-10,4.128261661702813,0.7133680240336928,3,0.06614377126867435,0.06614377126867435,5.036557837456712e-10,6.154302605333975e-12,159,23,2.000000000503656
98,3.420470267093668,3.420470267093668,41.989877620017296,0.6674712973682952,previous_current,True,0,Optimization terminated successfully,5,0.5675488427427873,5.388784549019423,-5.240252676230739e-14,-5.240252676230739e-14,1.4167548487453896,4.200000000000053,0.7480854745225054,3,5.240252676230739e-14,0.0,5.240252676230739e-14,3.8230622864433155e-14,20,5,0.5832451512546104
98,3.420470267093668,3.420470267093668,41.989877620017296,0.6674712973682952,zero,True,0,Optimization terminated successfully,19,0.5675488427439381,5.388784548960737,-6.140865593806666e-12,-6.140865593806666e-12,1.4167548487868284,4.200000000006141,0.748085474522945,3,6.140865593806666e-12,6.938893903907228e-18,6.140865593806666e-12,2.817612901921486e-12,109,19,0.5832451512131716
98,3.420470267093668,3.420470267093668,41.989877620017296,0.6674712973682952,upper,True,0,Optimization terminated successfully,13,0.5675488427428604,5.388784549018892,0.0,0.0,1.416754848744823,4.2,0.7480854745224943,3,1.9087917440212986e-15,0.0,-0.0,1.9087917440212986e-15,52,13,0.5832451512551771
98,3.420470267093668,3.420470267093668,41.989877620017296,0.6674712973682952,midpoint,True,0,Optimization terminated successfully,6,0.5675488427428257,5.388784549018755,-6.306066779870889e-14,-6.306066779870889e-14,1.4167548487457164,4.200000000000063,0.7480854745225054,3,6.306066779870889e-14,0.0,6.306066779870889e-14,2.710484296261154e-14,24,6,0.5832451512542836
98,3.420470267093668,3.420470267093668,41.989877620017296,0.6674712973682952,random_05,True,0,Optimization terminated successfully,12,0.5675488427428604,5.38878454901888,0.0,0.0,1.4167548487448265,4.2,0.7480854745224943,3,7.635165525923102e-16,0.0,-0.0,7.635165525923102e-16,48,12,0.5832451512551735
98,3.420470267093668,3.420470267093668,41.989877620017296,0.6674712973682952,random_06,True,0,Optimization terminated successfully,6,0.5675488425796108,5.3887845490208415,-2.4855584257466035e-10,-2.4855584257466035e-10,1.4167548505289513,4.200000000248556,0.7480854745622758,3,2.4855584257466035e-10,0.0,2.4855584257466035e-10,1.0683467437789915e-10,24,6,0.5832451494710487
98,3.420470267093668,3.420470267093668,41.989877620017296,0.6674712973682952,random_07,True,0,Optimization terminated successfully,9,0.567548842742838,5.388784549018887,-3.907985046680551e-14,-3.907985046680551e-14,1.4167548487448176,4.200000000000039,0.748085474522501,3,3.907985046680551e-14,0.0,3.907985046680551e-14,1.679736398443757e-14,36,9,0.5832451512551824
98,3.420470267093668,3.420470267093668,41.989877620017296,0.6674712973682952,random_08,True,0,Optimization terminated successfully,10,0.5675488427428604,5.388784549018878,-8.881784197001252e-16,-8.881784197001252e-16,1.4167548487448531,4.200000000000001,0.7480854745224943,3,2.2905500928255583e-15,0.0,8.881784197001252e-16,2.2905500928255583e-15,40,10,0.5832451512551469
98,3.420470267093668,3.420470267093668,41.989877620017296,0.6674712973682952,random_09,True,0,Optimization terminated successfully,7,0.5675488427429706,5.388784549016509,-3.907985046680551e-14,-3.907985046680551e-14,1.4167548487469697,4.200000000000039,0.7480854745224899,3,1.1556422001611325e-13,6.938893903907228e-18,3.907985046680551e-14,1.1556422001611325e-13,28,7,0.5832451512530303
98,3.420470267093668,3.420470267093668,41.989877620017296,0.6674712973682952,random_10,True,0,Optimization terminated successfully,9,0.5675488427430331,5.388784549018883,0.0,0.0,1.4167548487416202,4.2,0.7480854745224588,3,1.0108433836470129e-13,0.0,-0.0,1.0108433836470129e-13,36,9,0.5832451512583798
98,3.420470267093668,3.420470267093668,41.989877620017296,0.6674712973682952,random_11,True,0,Optimization terminated successfully,7,0.5675488427428659,5.388784549018887,-6.394884621840902e-14,-6.394884621840902e-14,1.4167548487436417,4.200000000000064,0.7480854745224987,3,6.394884621840902e-14,0.0,6.394884621840902e-14,3.823061545577494e-14,28,7,0.5832451512563583
98,3.420470267093668,3.420470267093668,41.989877620017296,0.6674712973682952,random_12,True,0,Optimization terminated successfully,9,0.5675488427428604,5.388784549018878,0.0,0.0,1.416754848744831,4.2,0.7480854745224943,3,7.635165604374583e-16,0.0,-0.0,7.635165604374583e-16,36,9,0.5832451512551691
98,3.420470267093668,3.420470267093668,41.989877620017296,0.6674712973682952,random_13,True,0,Optimization terminated successfully,12,0.5675488427428531,5.3887845490188795,-7.105427357601002e-15,-7.105427357601002e-15,1.4167548487448478,4.200000000000007,0.7480854745224965,3,7.105427357601002e-15,6.938893903907228e-18,7.105427357601002e-15,3.054066781308026e-15,48,12,0.5832451512551522
98,3.420470267093668,3.420470267093668,41.989877620017296,0.6674712973682952,random_14,True,0,Optimization terminated successfully,7,0.5675488427428753,5.388784549018886,0.0,0.0,1.4167548487448007,4.2,0.7480854745224899,3,1.8706159066893752e-14,0.0,-0.0,1.8706159066893752e-14,28,7,0.5832451512551993
99,5.382724687603302,5.382724687603302,42.00299393655149,0.6684214279980437,controller_default,True,0,Optimization terminated successfully,10,0.5563926120149237,5.382724687603302,-7.993605777301127e-15,-7.993605777301127e-15,0.037745579490366055,4.200000000000008,0.7488711826117199,3,7.993605777301127e-15,6.938893903907228e-18,7.993605777301127e-15,3.386172775396852e-15,40,10,1.962254420509634
99,5.382724687603302,5.382724687603302,42.00299393655149,0.6684214279980437,previous_current,True,0,Optimization terminated successfully,9,0.5563926120149166,5.38272468760329,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0377455794903776,4.200000000000014,0.7488711826117221,3,1.4210854715202004e-14,0.0,1.4210854715202004e-14,6.019862588108203e-15,36,9,1.9622544205096224
99,5.382724687603302,5.382724687603302,42.00299393655149,0.6684214279980437,zero,True,0,Optimization terminated successfully,12,0.5563926120149237,5.382724687603293,-8.881784197001252e-16,-8.881784197001252e-16,0.037745579490374936,4.200000000000001,0.7488711826117199,3,8.881784197001252e-16,6.938893903907228e-18,8.881784197001252e-16,3.76241479314908e-16,48,12,1.962254420509625
99,5.382724687603302,5.382724687603302,42.00299393655149,0.6684214279980437,upper,True,0,Optimization terminated successfully,13,0.5563926120149092,5.382724687603302,-3.375077994860476e-14,-3.375077994860476e-14,0.037745579490366055,4.200000000000034,0.7488711826117244,3,3.375077994860476e-14,0.0,3.375077994860476e-14,1.429717619710896e-14,52,13,1.962254420509634
99,5.382724687603302,5.382724687603302,42.00299393655149,0.6684214279980437,midpoint,True,0,Optimization terminated successfully,6,0.556392612014938,5.382724687603141,3.552713678800501e-15,3.552713678800501e-15,0.037745579490526815,4.199999999999997,0.7488711826117177,3,6.780154805737778e-15,0.0,0.0,6.780154805737778e-15,24,6,1.9622544205094732
99,5.382724687603302,5.382724687603302,42.00299393655149,0.6684214279980437,random_05,True,0,Optimization terminated successfully,7,0.5563926120149237,5.382724687603285,-7.993605777301127e-15,-7.993605777301127e-15,0.03774557949038293,4.200000000000008,0.7488711826117199,3,7.993605777301127e-15,6.938893903907228e-18,7.993605777301127e-15,3.386172740603858e-15,28,7,1.962254420509617
99,5.382724687603302,5.382724687603302,42.00299393655149,0.6684214279980437,random_06,True,0,Optimization terminated successfully,9,0.5563926121733932,5.38272468760329,0.0,0.0,0.0377455794903776,4.2,0.7488711825636339,3,1.5846802253741377e-10,0.0,-0.0,1.5846802253741377e-10,36,9,1.9622544205096224
99,5.382724687603302,5.382724687603302,42.00299393655149,0.6684214279980437,random_07,True,0,Optimization terminated successfully,8,0.5563926122322777,5.382724687603296,0.0,0.0,0.03774557949037227,4.2,0.748871182545766,3,2.1735579072180033e-10,6.938893903907228e-18,-0.0,2.1735579072180033e-10,32,8,1.9622544205096277
99,5.382724687603302,5.382724687603302,42.00299393655149,0.6684214279980437,random_08,True,0,Optimization terminated successfully,11,0.5563926120149019,5.382724687603283,-5.240252676230739e-14,-5.240252676230739e-14,0.037745579490384706,4.200000000000053,0.7488711826117266,3,5.240252676230739e-14,0.0,5.240252676230739e-14,2.219824718610139e-14,44,11,1.9622544205096153
99,5.382724687603302,5.382724687603302,42.00299393655149,0.6684214279980437,random_09,True,0,Optimization terminated successfully,9,0.5563926120148873,5.382724687603301,-8.526512829121202e-14,-8.526512829121202e-14,0.03774557949036694,4.200000000000085,0.748871182611731,3,8.526512829121202e-14,6.938893903907228e-18,8.526512829121202e-14,3.6119182604381716e-14,36,9,1.962254420509633
99,5.382724687603302,5.382724687603302,42.00299393655149,0.6684214279980437,random_10,True,0,Optimization terminated successfully,8,0.5563926120148268,5.382724687604589,-5.773159728050814e-14,-5.773159728050814e-14,0.037745579489079084,4.200000000000058,0.748871182611731,3,6.295856737871034e-14,6.938893903907228e-18,5.773159728050814e-14,6.295856737871034e-14,32,8,1.962254420510921
99,5.382724687603302,5.382724687603302,42.00299393655149,0.6684214279980437,random_11,True,0,Optimization terminated successfully,7,0.5563926120149748,5.382724687602803,1.0658141036401503e-14,1.0658141036401503e-14,0.03774557949086521,4.1999999999999895,0.7488711826117133,3,2.324624520663498e-14,0.0,0.0,2.324624520663498e-14,28,7,1.9622544205091348
99,5.382724687603302,5.382724687603302,42.00299393655149,0.6684214279980437,random_12,True,0,Optimization terminated successfully,12,0.5563926120150775,5.382724687603297,0.0,0.0,0.037745579490371384,4.2,0.7488711826116733,3,1.5614018890364185e-13,0.0,-0.0,1.5614018890364185e-13,54,12,1.9622544205096286
99,5.382724687603302,5.382724687603302,42.00299393655149,0.6684214279980437,random_13,True,0,Optimization terminated successfully,8,0.5563926120149312,5.3827246876032895,0.0,0.0,0.03774557949037849,4.2,0.7488711826117177,3,3.762414128975191e-15,6.938893903907228e-18,-0.0,3.762414128975191e-15,32,8,1.9622544205096215
99,5.382724687603302,5.382724687603302,42.00299393655149,0.6684214279980437,random_14,True,0,Optimization terminated successfully,9,0.556392612014967,5.382724687603297,0.0,0.0,0.037745579490371384,4.2,0.7488711826117088,3,2.7465623507003953e-14,6.938893903907228e-18,-0.0,2.7465623507003953e-14,36,9,1.9622544205096286
