policy,reached_target,charge_time_s,final_soc,maximum_temperature_c,maximum_voltage_v,maximum_current_step_a,empty_interval_count,thermally_feasible,voltage_intervention_fraction
cc_1a,True,6295.0,0.7997222222221926,30.62850433783325,4.088519968630773,1.0,0,True,0.0
cc_1.5a,True,4195.0,0.7995833333333401,31.373107962972654,4.114484795994259,1.5,0,True,0.0
cc_2a,True,3150.0,0.8000000000000158,32.336157006473,4.138449477003944,2.0,0,True,0.0
cc_2.5a,True,2520.0,0.799861111111106,33.45518974785904,4.159278284662745,2.0,0,True,0.0
cc_3a,True,2100.0,0.7997222222222244,34.679685190191094,4.177382166775718,2.0,0,True,0.0
cc_4a,True,1600.0,0.7999573494735135,37.05214501552166,4.188483411683152,2.0,0,False,0.140625
cc_5a,True,1350.0,0.7998589220566966,39.05235875551341,4.1889555482977,2.0,0,False,0.3037037037037037
cc_6a,True,1210.0,0.800211606915598,40.723475140394896,4.189113079175278,2.0,0,False,0.4421487603305785
