audit_type,start_label,success,status_code,status_message,iterations,objective_value,first_current_a,minimum_constraint_margin,minimum_voltage_margin_v,minimum_slew_margin_a,maximum_predicted_voltage_v,terminal_predicted_soc,active_constraint_count,kkt_residual,stationarity_residual,primal_residual,complementarity_residual,function_evaluations,jacobian_evaluations,expanded_maximum_step_a
identical_repeat,repeat_00,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_01,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_02,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_03,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_04,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_05,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_06,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_07,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_08,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_09,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_10,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_11,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_12,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_13,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
identical_repeat,repeat_14,False,8,Positive directional derivative for linesearch,37,1.5224490502591155,6.860435147157387,-1.0838532737977857e-08,-1.0838532737977857e-08,1.0969231030492672,4.200000010838533,0.7005904671683811,3,1.0838532737977857e-08,0.0,1.0838532737977857e-08,8.753972032366508e-09,358,33,0.9030768969507328
