initial_state_id,sampling_method,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,coverage_distance_standardized,assigned_split,teacher_optimizer_success,teacher_prediction_feasible,teacher_accepted,teacher_status,teacher_objective,teacher_solve_time_s,teacher_minimum_constraint_margin
phase6c_targeted_0026,targeted_boundary_sampling,0.1159,0.07593749999999999,0.0011111111111111111,25.816,4.591836734693877,,phase6c_train,True,True,True,Optimization terminated successfully,6.97688031428428,1.3193664999998873,-1.6226664456553408e-10
phase6c_targeted_0027,targeted_boundary_sampling,0.1165,0.0196875,0.031111111111111107,26.216,0.4081632653061224,,phase6c_train,True,True,True,Optimization terminated successfully,7.1558753432256434,1.418522199997824,-1.0800249583553523e-12
phase6c_targeted_0028,targeted_boundary_sampling,0.11710000000000001,0.0646875,0.0611111111111111,26.616,1.1224489795918366,,phase6c_validation,True,True,True,Optimization terminated successfully,7.2147857877074735,1.6486437999992631,-1.6691643622834818e-08
phase6c_targeted_0029,targeted_boundary_sampling,0.1177,0.042187499999999996,0.01111111111111111,25.096,1.8367346938775508,,phase6c_train,True,True,True,Optimization terminated successfully,6.92118921839544,1.1575364000018453,-2.37692887594676e-09
phase6c_targeted_0030,targeted_boundary_sampling,0.11830000000000002,0.0871875,0.041111111111111105,25.496,2.5510204081632653,,phase6c_train,True,True,True,Optimization terminated successfully,6.99104731997605,1.2827195000027132,-6.524061291202088e-10
phase6c_targeted_0031,targeted_boundary_sampling,0.1189,0.00140625,0.07111111111111111,25.896,3.265306122448979,,phase6c_train,True,True,True,Optimization terminated successfully,7.050544565132789,1.2083147000012104,-1.1743495065275056e-09
phase6c_targeted_0032,targeted_boundary_sampling,0.11950000000000001,0.046406249999999996,0.02111111111111111,26.296,3.979591836734693,,phase6c_train,True,True,True,Optimization terminated successfully,6.988102117527265,0.7645264999991923,-2.205240434705047e-10
phase6c_targeted_0033,targeted_boundary_sampling,0.12010000000000001,0.02390625,0.051111111111111114,26.696,4.693877551020408,,phase6c_train,True,True,True,Optimization terminated successfully,7.070601076619584,0.957139999998617,-2.6971775923811947e-09
phase6c_targeted_0034,targeted_boundary_sampling,0.1207,0.06890625,0.0811111111111111,25.176,0.510204081632653,,phase6c_train,True,True,True,Optimization terminated successfully,7.022577437357697,0.8196547000006831,-6.739421110069088e-08
phase6c_targeted_0035,targeted_boundary_sampling,0.1213,0.012656249999999999,0.0044444444444444444,25.576,1.2244897959183674,,phase6c_train,True,True,True,Optimization terminated successfully,6.894873327883626,1.3906354999999166,-4.869633585258271e-10
phase6c_targeted_0036,targeted_boundary_sampling,0.12190000000000001,0.05765625,0.034444444444444444,25.976,1.9387755102040816,,phase6c_train,True,True,True,Optimization terminated successfully,6.958077838218673,1.177443199998379,-5.412914561020443e-10
phase6c_targeted_0037,targeted_boundary_sampling,0.12250000000000001,0.03515625,0.06444444444444444,26.376,2.6530612244897958,,phase6c_train,True,True,True,Optimization terminated successfully,7.024836208918639,1.1823695000020962,-4.4926906639375375e-10
phase6c_targeted_0038,targeted_boundary_sampling,0.12310000000000001,0.08015625,0.014444444444444444,26.776,3.36734693877551,,phase6c_validation,True,True,True,Optimization terminated successfully,6.962441198541912,1.537945399999444,-1.8267321877374343e-08
phase6c_targeted_0039,targeted_boundary_sampling,0.1237,0.007031249999999999,0.04444444444444444,25.256,4.081632653061224,,phase6c_train,True,True,True,Optimization terminated successfully,6.805388786056728,1.3573226999978942,-6.916707206983119e-10
phase6c_targeted_0040,targeted_boundary_sampling,0.12430000000000001,0.05203125,0.07444444444444444,25.656,4.795918367346939,,phase6c_train,True,True,True,Optimization terminated successfully,6.898189380439999,0.8162530000008701,-1.2409770988597302e-09
phase6c_targeted_0041,targeted_boundary_sampling,0.12490000000000001,0.02953125,0.024444444444444442,26.056,0.6122448979591837,,phase6c_train,True,True,True,Optimization terminated successfully,6.9212015666796844,1.080274299998564,-1.4306905882222054e-08
phase6c_targeted_0042,targeted_boundary_sampling,0.1255,0.07453125,0.05444444444444444,26.456,1.3265306122448979,,phase6c_train,True,True,True,Optimization terminated successfully,6.980827767368793,1.1836757999990368,-3.999112152541784e-09
phase6c_targeted_0043,targeted_boundary_sampling,0.12610000000000002,0.01828125,0.08444444444444443,26.856,2.0408163265306123,,phase6c_train,True,True,True,Optimization terminated successfully,7.04041321670715,1.010053499998321,-4.5555026417787303e-10
phase6c_targeted_0044,targeted_boundary_sampling,0.1267,0.06328125,0.007777777777777777,25.336,2.7551020408163263,,phase6c_train,True,True,True,Optimization terminated successfully,6.709443972919232,1.035540900000342,-1.255600068361673e-10
phase6c_targeted_0045,targeted_boundary_sampling,0.12730000000000002,0.04078125,0.03777777777777777,25.736,3.4693877551020407,,phase6c_validation,True,True,True,Optimization terminated successfully,6.7780163936375555,1.36311299999943,-3.3580391800569487e-09
phase6c_targeted_0046,targeted_boundary_sampling,0.1279,0.08578125,0.06777777777777777,26.136,4.183673469387755,,phase6c_train,True,True,True,Optimization terminated successfully,6.8683984337491975,1.144686300001922,-2.287585232352285e-09
phase6c_targeted_0047,targeted_boundary_sampling,0.1285,0.00421875,0.017777777777777778,26.536,4.8979591836734695,,phase6c_train,True,True,True,Optimization terminated successfully,6.781604757823162,1.0881595999999263,-3.315541619031137e-09
phase6c_targeted_0048,targeted_boundary_sampling,0.12910000000000002,0.04921875,0.047777777777777766,26.936,0.014577259475218658,,phase6c_train,True,True,True,Optimization terminated successfully,6.983496255167274,1.3660166999979992,-2.409734634056804e-10
