trajectory_id,sampling_method,coverage_distance_standardized,step_index,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,teacher_current_a,teacher_accepted,active_voltage_constraint,active_temperature_constraint,active_current_upper_constraint,active_current_change_constraint,next_soc,next_voltage_v,next_average_temperature_c,split
phase6c_targeted_0000,targeted_boundary_sampling,,0,0.1003,0.045,0.03,25.4,0.7142857142857142,2.714285714285706,True,False,False,False,True,0.10105396825396826,3.426617429122167,25.424727099567896,phase6c_train
phase6c_targeted_0000,targeted_boundary_sampling,,1,0.10105396825396826,0.039902816709222036,0.030400391192626986,25.424727099567896,2.714285714285706,2.714285714285706,True,False,False,False,False,0.10180793650793651,3.4249615326346703,25.448447058965623,phase6c_train
phase6c_targeted_0000,targeted_boundary_sampling,,2,0.10180793650793651,0.036088637606335836,0.030787699350092557,25.448447058965623,2.714285714285706,2.714285714285706,True,False,False,False,False,0.10256190476190477,3.424249382991239,25.471397900913384,phase6c_train
phase6c_targeted_0000,targeted_boundary_sampling,,3,0.10256190476190477,0.03323451967512184,0.031162351968835666,25.471397900913384,2.714285714285706,2.714285714285706,True,False,False,False,False,0.10331587301587303,3.4242396992263786,25.493757341949575,phase6c_train
phase6c_targeted_0000,targeted_boundary_sampling,,4,0.10331587301587303,0.031098807390632314,0.031524762576579046,25.493757341949575,2.714285714285706,2.714285714285706,True,False,False,False,False,0.10406984126984128,3.4247520136038405,25.5156578976994,phase6c_train
phase6c_targeted_0000,targeted_boundary_sampling,,5,0.10406984126984128,0.02950067196944482,0.031875331188765864,25.5156578976994,2.714285714285706,4.7142857142857135,True,False,False,False,True,0.1053793650793651,3.4752324837750885,25.572014338765133,phase6c_train
phase6c_targeted_0000,targeted_boundary_sampling,,6,0.1053793650793651,0.032895104322486185,0.03323177327780481,25.572014338765133,4.7142857142857135,4.7142857142857135,True,False,False,False,False,0.10668888888888892,3.482120673436276,25.629571284695526,phase6c_train
phase6c_targeted_0000,targeted_boundary_sampling,,7,0.10668888888888892,0.035435129314437215,0.03454389276466841,25.629571284695526,4.7142857142857135,4.7142857142857135,True,False,False,False,False,0.10799841269841273,3.4883148447943815,25.6880340082444,phase6c_train
phase6c_targeted_0001,targeted_boundary_sampling,,0,0.1009,0.0225,0.06,25.8,1.4285714285714284,3.4285714285714417,True,False,False,False,True,0.10185238095238096,3.4579221372401783,25.83623282181843,phase6c_train
phase6c_targeted_0001,targeted_boundary_sampling,,1,0.10185238095238096,0.02470565132605468,0.05978345385753115,25.83623282181843,3.4285714285714417,3.4285714285714417,True,False,False,False,False,0.10280476190476191,3.4615946484876234,25.872686518144977,phase6c_train
phase6c_targeted_0001,targeted_boundary_sampling,,2,0.10280476190476191,0.0263561215399298,0.0595739834970679,25.872686518144977,3.4285714285714417,3.4285714285714417,True,False,False,False,False,0.10375714285714287,3.4648526469355607,25.909233192629962,phase6c_train
phase6c_targeted_0001,targeted_boundary_sampling,,3,0.10375714285714287,0.027591154427816747,0.05937135771296317,25.909233192629962,3.4285714285714417,3.4285714285714417,True,False,False,False,False,0.10470952380952382,3.4678003994864843,25.94577815912115,phase6c_train
