seed,parameter_count,fit_time_s,optimization_iterations,warning_count,warnings,train_mae_a,train_rmse_a,train_nrmse,train_maximum_absolute_error_a,train_bias_a,train_r2,validation_mae_a,validation_rmse_a,validation_nrmse,validation_maximum_absolute_error_a,validation_bias_a,validation_r2,test_mae_a,test_rmse_a,test_nrmse,test_maximum_absolute_error_a,test_bias_a,test_r2,terminal_test_mae_a,terminal_test_rmse_a,terminal_test_nrmse,terminal_test_maximum_absolute_error_a,terminal_test_bias_a,terminal_test_r2
22,1697,38.699639400001615,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.017101338678955767,0.02718090896792147,0.002718090896792147,0.34158260443958177,-0.0033080319959960195,0.9999445116850779,0.018208041377966933,0.029281839116092924,0.0029281839116092924,0.28379608590922256,0.00039756902795052537,0.999935201097989,0.012228907767213741,0.025808183748080915,0.0025808183748080916,0.13021690513746975,0.003707080669682018,0.9995739031000965,0.022867618457425916,0.030983622535569823,0.003098362253556982,0.12541129198961354,-0.002256784425106246,0.9996578664356297
42,1697,40.97805320000043,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.018282825571306244,0.028326356384643602,0.0028326356384643604,0.3102729143641554,3.2007244617456066e-05,0.999939736408032,0.01741236765919482,0.028145745340733122,0.0028145745340733123,0.2561690039335902,0.0018148324089031452,0.9999401317650282,0.01416887008335576,0.026373955620046918,0.0026373955620046918,0.15243060303464695,-0.0074104669839085945,0.9995550163722285,0.021431952332726177,0.031102730916718446,0.003110273091671845,0.13991198753492728,0.0015863436176111847,0.9996552308946668
73,1697,42.18901819999883,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.02199736514969187,0.03089843899884759,0.003089843899884759,0.31302709034259824,0.008578229051585291,0.9999282954585766,0.021198856710720766,0.030580907944944367,0.0030580907944944367,0.27888042039329797,0.00989211768393034,0.9999293240430417,0.01380822691158947,0.026773436436565302,0.0026773436436565304,0.15392574103101708,-0.005166912913046455,0.9995414341329353,0.027210229709293227,0.034322365663686315,0.0034322365663686316,0.12813030593375174,0.01409611107536427,0.9995801581534887
101,1697,40.104515099999844,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.016581921074074735,0.028676656271559846,0.0028676656271559844,0.23997572738797768,0.003984590950349269,0.9999382366838633,0.016178562786431577,0.029021492847584332,0.002902149284758433,0.21880636852253144,0.004923380349517951,0.9999363482360222,0.0088365649413273,0.021274375082512436,0.0021274375082512434,0.13480701603159417,-0.0012360178116241443,0.9997104609707366,0.02184693229525052,0.03387165747893519,0.003387165747893519,0.1430029214286188,0.004065062824226786,0.9995911121614723
137,1697,44.02341660000093,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.01870906504301671,0.028562585000784024,0.0028562585000784023,0.34162768271582866,-0.008103199256707973,0.9999387270762647,0.018128638519509934,0.02793572011095404,0.002793572011095404,0.2649909435004334,-0.005236803861190978,0.9999410219121025,0.019187239510502097,0.02912475637567199,0.002912475637567199,0.15701329849941992,-0.013286165232864963,0.9994573521424482,0.020549669694590926,0.030698295530514588,0.003069829553051459,0.13496139043885869,-0.004337771509633501,0.9996641388110404
