time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source
0.0,0.0,,,False,False,False,0.0,0.1,3.2959070147319616,25.0,reduced_model
5.0,2.0,2.4894465330981053,2.4894465330981053,True,False,False,7.97e-05,0.10055555555555556,3.3455056002961303,25.007004458575764,reduced_model
10.0,3.9373123856763086,3.9373123856763086,3.9373123856763086,False,False,False,4.4000000000000006e-05,0.10164925344046565,3.3992718294623683,25.03562596835663,reduced_model
15.0,5.785368723911303,5.785368723911303,5.785368723911303,False,False,False,4.07e-05,0.10325630030821878,3.455459605888706,25.100173609295158,reduced_model
20.0,7.785368723911303,7.902109747779899,7.902109747779899,True,False,False,4.44e-05,0.10541890273152747,3.5191270007229383,25.220957591899804,reduced_model
25.0,8.883790937489204,8.883790937489204,8.883790937489204,False,False,False,3.88e-05,0.10788662243638558,3.564117497310821,25.38500493368065,reduced_model
30.0,9.040023920182694,9.040023920182694,9.040023920182694,False,False,False,3.83e-05,0.11039774019199189,3.5864299524352763,25.56334203953568,reduced_model
35.0,9.030347874727845,9.030347874727845,9.030347874727845,False,False,False,3.7500000000000003e-05,0.11290617015719406,3.6027061069187107,25.748535624301454,reduced_model
40.0,8.983859122291356,8.983859122291356,8.983859122291356,False,False,False,3.82e-05,0.11540168658005277,3.6161579099645347,25.937653544145608,reduced_model
45.0,8.912250262884175,8.912250262884175,8.912250262884175,False,False,False,3.8100000000000005e-05,0.11787731165307616,3.627408412495877,26.128467448424566,reduced_model
50.0,8.823702365762303,8.823702365762303,8.823702365762303,False,False,False,3.72e-05,0.12032834008801013,3.6369344786485502,26.319304340281175,reduced_model
55.0,8.725201982511635,8.725201982511635,8.725201982511635,False,False,False,3.72e-05,0.12275200730537447,3.6451322684317695,26.508968539677326,reduced_model
60.0,8.621574354439991,8.621574354439991,8.621574354439991,False,False,False,3.83e-05,0.1251468890704967,3.6523049378331196,26.696624919147972,reduced_model
65.0,8.515855171814492,8.515855171814492,8.515855171814492,False,False,False,3.7500000000000003e-05,0.12751240439600073,3.6586774943912586,26.881696788513423,reduced_model
70.0,8.409753085635149,8.409753085635149,8.409753085635149,False,False,False,4.11e-05,0.12984844691978828,3.664412954241994,27.06378515101993,reduced_model
75.0,8.303994063436683,8.303994063436683,8.303994063436683,False,False,False,3.82e-05,0.1321551119374096,3.6696252278200374,27.24260610430771,reduced_model
80.0,8.198586653514017,8.198586653514017,8.198586653514017,False,False,False,3.7300000000000005e-05,0.13443249711894126,3.67438958213724,27.417943371476714,reduced_model
85.0,8.093067591189673,8.093067591189673,8.093067591189673,False,False,False,3.71e-05,0.1366805714498273,3.6787521374610797,27.589614658056668,reduced_model
90.0,7.986756288105353,7.986756288105353,7.986756288105353,False,False,False,3.6700000000000004e-05,0.1388991148631899,3.682739237252133,27.75745144092252,reduced_model
95.0,7.8790130045507905,7.8790130045507905,7.8790130045507905,False,False,False,3.7300000000000005e-05,0.14108772958667623,3.686366732793035,27.921291574053864,reduced_model
100.0,7.769470272658616,7.769470272658616,7.769470272658616,False,False,False,3.7500000000000003e-05,0.14324591577352586,3.6896485416211684,28.080982967326133,reduced_model
105.0,7.658194800088628,7.658194800088628,7.658194800088628,False,False,False,3.69e-05,0.14537319210688382,3.6926034205586875,28.236395029368616,reduced_model
110.0,7.54574194199968,7.54574194199968,7.54574194199968,False,False,False,3.72e-05,0.14746923153521707,3.6952588902929953,28.38743323898546,reduced_model
115.0,7.433088933719399,7.433088933719399,7.433088933719399,False,False,False,3.69e-05,0.14953397846125024,3.6976517569103935,28.5340518646446,reduced_model
120.0,7.321469654053943,7.321469654053943,7.321469654053943,False,False,False,3.7800000000000004e-05,0.15156772003182079,3.6998255731263985,28.676260923281525,reduced_model
125.0,7.212165438535795,7.212165438535795,7.212165438535795,False,False,False,3.74e-05,0.15357109932030294,3.7018262588965074,28.814125695773903,reduced_model
130.0,7.106315325745007,7.106315325745007,7.106315325745007,False,False,False,3.71e-05,0.15554507579967655,3.703697480722275,28.947759570036432,reduced_model
135.0,7.00479089962141,7.00479089962141,7.00479089962141,False,False,False,3.7800000000000004e-05,0.1574908510495714,3.705477094693551,29.077312649083545,reduced_model
140.0,6.908148859898681,6.908148859898681,6.908148859898681,False,False,False,4.9600000000000006e-05,0.15940978128843214,3.707195247438517,29.202958984054394,reduced_model
