time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source
0.0,0.0,,,False,False,False,0.0,0.1,3.2959070147319616,25.0,chen2020_dfn
5.0,2.0,2.4894465330981053,2.4894465330981053,True,False,False,9e-05,0.10055555555555556,3.3834271399272633,25.01759686655646,chen2020_dfn
10.0,3.9336418905540897,3.9336418905540897,3.9336418905540897,False,False,False,8.010000000000001e-05,0.10164823385848726,3.450469691320021,25.074716571964473,chen2020_dfn
15.0,5.7730853095120755,5.7730853095120755,5.7730853095120755,False,False,False,9.45e-05,0.10325186866668505,3.509732799777878,25.18359035860584,chen2020_dfn
20.0,7.7730853095120755,7.887701271972864,7.887701271972864,True,False,False,9.89e-05,0.1054110590304384,3.571011970446028,25.362121202882406,chen2020_dfn
25.0,8.881337774404438,8.881337774404438,8.881337774404438,False,False,False,9.460000000000001e-05,0.1078780973011063,3.6150280359018607,25.58739448585885,chen2020_dfn
30.0,9.03452098002544,9.03452098002544,9.03452098002544,False,False,False,9.09e-05,0.11038768646222447,3.6399766169159937,25.823992868718165,chen2020_dfn
35.0,9.014803377100158,9.014803377100158,9.014803377100158,False,False,False,0.00010460000000000001,0.11289179851141895,3.658316005935169,26.064120778284575,chen2020_dfn
40.0,8.955791890899096,8.955791890899096,8.955791890899096,False,False,False,9.180000000000001e-05,0.11537951848111315,3.67280020789533,26.30510061778756,chen2020_dfn
45.0,8.870236953379965,8.870236953379965,8.870236953379965,False,False,False,8.99e-05,0.11784347319038535,3.6841925212937245,26.544778322858747,chen2020_dfn
50.0,8.768195718331718,8.768195718331718,8.768195718331718,False,False,False,9.080000000000001e-05,0.12027908311214416,3.6931080463242014,26.78149708213965,chen2020_dfn
55.0,8.657593820526287,8.657593820526287,8.657593820526287,False,False,False,9.45e-05,0.12268397028451258,3.7000703432470754,27.014079020256133,chen2020_dfn
60.0,8.543564994085534,8.543564994085534,8.543564994085534,False,False,False,9.56e-05,0.12505718278286967,3.7055054650416213,27.241721190683165,chen2020_dfn
65.0,8.42919671939909,8.42919671939909,8.42919671939909,False,False,False,9.570000000000001e-05,0.12739862631603607,3.7097534128587677,27.4639027661475,chen2020_dfn
70.0,8.316125006443567,8.316125006443567,8.316125006443567,False,False,False,9.49e-05,0.1297086610400482,3.7130760908612084,27.680301424796824,chen2020_dfn
75.0,8.204925945287906,8.204925945287906,8.204925945287906,False,False,False,9.070000000000001e-05,0.13198780713596148,3.715671620847857,27.890727844428113,chen2020_dfn
80.0,8.095391660303202,8.095391660303202,8.095391660303202,False,False,False,9.37e-05,0.13423652704160127,3.717687099687838,28.095074624828555,chen2020_dfn
