seed,mean_current_nrmse,mean_charge_time_gap_fraction,target_reach_fraction,maximum_voltage_v,maximum_temperature_c,guard_exceedance_count,empty_interval_count,maximum_current_step_a,speedup
22,0.0010119873355353296,0.004816592509054522,1.0,4.186775800943382,34.882957942805945,0,0,2.0000000000000004,79.00911279678853
42,0.0009811177844084608,0.008209314266684899,1.0,4.186754296577963,34.88287051691731,0,0,2.0,83.80906922206252
73,0.0009061301225152304,0.0019155930393675328,1.0,4.186762681101303,34.8828045424724,0,0,2.0,81.23967759066119
101,0.001037626393460332,0.004091504776440093,1.0,4.186766419689812,34.88298535993238,0,0,2.000000000000001,80.60847807058762
137,0.0009129827364200236,0.00818330960664982,1.0,4.186772172775077,34.88272459751704,0,0,2.0000000000000004,72.20850411681988
