role,trajectory_id,ambient_temperature_c,target_reached,charge_time_s,maximum_voltage_v,maximum_temperature_c,minimum_current_a,maximum_current_a,maximum_current_step_a,guard_exceedance_count,maximum_positive_residual_growth_v,empty_voltage_slew_count,empty_thermal_slew_count,solver_failure_count,prediction_infeasible_count,sustained_oscillation_count,voltage_intervention_fraction,thermal_intervention_fraction,both_layers_fraction,maximum_voltage_correction_a,maximum_thermal_correction_a,teacher_retry_count,alternative_selected_count,total_thermal_supervisor_time_s
frozen_ann_seed_101,phase7cr3_confirmation_15c_000,15.0,True,1215.0,4.186621259857769,23.348240570323185,0.0911166606343072,7.902119418153989,0.9077050864876872,0,0.0241145684063006,0,0,0,0,0,0.4691358024691358,0.0,0.0,0.79658465187664,0.0,0,0,0.0785076000138237
frozen_ann_seed_101,phase7cr3_confirmation_15c_001,15.0,True,1310.0,4.186517875966926,25.28506365170256,0.0914360132812297,8.679639271077956,0.5587566621351492,0,0.0262274246449809,0,0,0,0,0,0.44274809160305345,0.0,0.0,0.7439305042259816,0.0,0,0,0.0814557999728874
frozen_ann_seed_101,phase7cr3_confirmation_15c_002,15.0,True,1055.0,4.186674587966097,21.03777494997297,0.090460184563355,6.712073257294049,0.4446900228578307,0,0.019620659746077,0,0,0,0,0,0.4881516587677725,0.0,0.0,0.8245908513711466,0.0,0,0,0.0677992999990128
frozen_ann_seed_101,phase7cr3_confirmation_15c_003,15.0,True,1275.0,4.186535361743798,24.58540982527859,0.0897557429087312,8.579770392959269,0.9944356842359596,0,0.0134851074839579,0,0,0,0,0,0.4588235294117647,0.0,0.0,0.7670760382481268,0.0,0,0,0.0762386999594913
frozen_ann_seed_101,phase7cr3_confirmation_15c_004,15.0,True,1180.0,4.186720533009362,22.63162107172332,0.0896718815086305,7.390994813542569,1.0514827523235972,0,0.0244578990491568,0,0,0,0,0,0.4703389830508475,0.0,0.0,0.8067181476191525,0.0,0,0,0.07122930003969222
frozen_ann_seed_101,phase7cr3_confirmation_15c_005,15.0,True,1225.0,4.186544350787275,23.63665326246712,0.0901596610397899,8.234580409662778,1.0650400133462463,0,0.0227250167438679,0,0,0,0,0,0.47346938775510206,0.0,0.0,0.7933277263248311,0.0,0,0,0.07437700001172459
frozen_ann_seed_101,phase7cr3_confirmation_15c_006,15.0,True,1320.0,4.186467220816773,25.596493387129783,0.0893395694825662,8.98842470166365,0.7397671499168013,0,0.0258279638431782,0,0,0,0,0,0.4431818181818182,0.0,0.0,0.735357262327681,0.0,0,0,0.08347900000806929
frozen_ann_seed_101,phase7cr3_confirmation_15c_007,15.0,True,1120.0,4.186734043053424,21.790412578178007,0.0915764960857981,6.9418805718345045,0.2761071981132943,0,0.0210520054889222,0,0,0,0,0,0.47767857142857145,0.0,0.0,0.8162531853317683,0.0,0,0,0.0707489999767748
frozen_ann_seed_101,phase7cr3_confirmation_15c_008,15.0,True,1020.0,4.186589208746998,20.68515078295377,0.0898030579329121,6.62436960295822,1.0221895955610067,0,0.0235379882208013,0,0,0,0,0,0.5,0.0,0.0,0.8306307816022951,0.0,0,0,0.06497920002947281
frozen_ann_seed_101,phase7cr3_confirmation_15c_009,15.0,True,1245.0,4.1864817335388125,24.14647704775996,0.0924867220613463,8.561898280499584,0.4867676534089291,0,0.0120462860801939,0,0,0,0,0,0.46987951807228917,0.0,0.0,0.781800862085082,0.0,0,0,0.0856911000118871
frozen_ann_seed_101,phase7cr3_confirmation_15c_010,15.0,True,1150.0,4.186682570172078,22.231596264949417,0.0891228109618826,7.334738536078076,1.5975349481554364,0,0.0258109146374803,0,0,0,0,0,0.4826086956521739,0.0,0.0,0.8150599195865151,0.0,0,0,0.08183519997691041
frozen_ann_seed_101,phase7cr3_confirmation_15c_011,15.0,True,1195.0,4.1864640870015615,23.20777977668189,0.0917161577233232,8.17611144592896,1.6133048954474098,0,0.0309619545047201,0,0,0,0,0,0.48535564853556484,0.0,0.0,0.8061967489524582,0.0,0,0,0.0826486999758228
frozen_ann_seed_101,phase7cr3_confirmation_15c_012,15.0,True,1060.0,4.186402715015968,21.095765335296733,0.0905709016595803,7.0498377683307325,2.0000000000000004,0,0.0435769968017645,0,0,0,0,0,0.5094339622641509,0.0,0.0,0.8427523594581183,0.0,0,0,0.0722833999752655
frozen_ann_seed_101,phase7cr3_confirmation_15c_013,15.0,True,1310.0,4.186268095642442,25.650046988667384,0.0924420660714044,9.536872560277873,2.000000000000001,0,0.0414367649795197,0,0,0,0,0,0.4580152671755725,0.0,0.0,0.7414680667802935,0.0,0,0,0.0870292999970715
frozen_ann_seed_101,phase7cr3_confirmation_15c_014,15.0,True,1010.0,4.186579340852463,20.53030373733384,0.0910800272461354,6.4509149758746,1.975241014281249,0,0.0371519154573491,0,0,0,0,0,0.504950495049505,0.0,0.0,0.834621483456258,0.0,0,0,0.0717177000224086
frozen_ann_seed_101,phase7cr3_confirmation_15c_015,15.0,True,1340.0,4.186290550542869,26.32056434602396,0.0919816679241649,9.710081054076962,2.0,0,0.0340306006250377,0,0,0,0,0,0.44776119402985076,0.0,0.0,0.7154334476754611,0.0,0,0,0.0792714999733883
frozen_ann_seed_101,phase7cr3_confirmation_15c_016,15.0,True,980.0,4.186545265870795,20.296429480528445,0.0931615469122264,6.495307200556721,1.9991150852156616,0,0.0319603507316381,0,0,0,0,0,0.5102040816326531,0.0,0.0,0.8418882308484981,0.0,0,0,0.0604056999873047
frozen_ann_seed_101,phase7cr3_confirmation_15c_017,15.0,True,1325.0,4.186242779054679,26.00411960509365,0.0892275719823043,9.63698943772722,2.0,0,0.029248938751925,0,0,0,0,0,0.45660377358490567,0.0,0.0,0.7289406449242959,0.0,0,0,0.0773511000042934
