seed,architecture,optimizer,parameter_count,fit_time_s,optimization_iterations,warning_count,warnings,train_mae_a,train_rmse_a,train_nrmse,train_maximum_absolute_error_a,train_bias_a,train_r2,train_low_current_sample_count,train_low_current_bias_a,validation_mae_a,validation_rmse_a,validation_nrmse,validation_maximum_absolute_error_a,validation_bias_a,validation_r2,validation_low_current_sample_count,validation_low_current_bias_a,test_mae_a,test_rmse_a,test_nrmse,test_maximum_absolute_error_a,test_bias_a,test_r2,test_low_current_sample_count,test_low_current_bias_a,terminal_test_mae_a,terminal_test_rmse_a,terminal_test_nrmse,terminal_test_maximum_absolute_error_a,terminal_test_bias_a,terminal_test_r2,terminal_test_low_current_sample_count,terminal_test_low_current_bias_a
22,4-32-32-16-1,lbfgs,1761,20.476503000001685,1667,0,[],0.0210569211023663,0.03548906200236673,0.003548906200236673,0.5155544775324818,-0.0009547758376222189,0.999885058668057,157,0.006693255103888648,0.02262314142409147,0.04138156346870522,0.0041381563468705215,0.5171450620585389,-0.002808003254042849,0.9998424627210909,4,0.0014627291538173229,0.026852159693401365,0.0493328606625602,0.00493328606625602,0.2724364496677847,-0.0007139382898711043,0.999583095091879,0,,0.02821280308608159,0.05073648326048046,0.005073648326048046,0.5199352263489576,0.003296147987798039,0.9983354960164282,22,0.003138902608739805
42,4-32-32-16-1,lbfgs,1761,22.008651199997985,1802,0,[],0.020092837163908518,0.03172466431383443,0.003172466431383443,0.30684172552416156,-0.001555705549777491,0.9999081495571386,157,0.006887019544346083,0.02374277143230369,0.045369124422421976,0.0045369124422421974,0.44715127085171824,-0.0028862659006120913,0.9998106390841179,4,-0.007826988349435703,0.01979865828391923,0.03431469876795262,0.003431469876795262,0.1746612762130364,-0.007122646830300981,0.999798291225707,0,,0.025966365580364466,0.04423412792892063,0.0044234127928920635,0.3035207271144462,-0.00018657209145106352,0.9987348003722156,22,-0.008597997480152735
73,4-32-32-16-1,lbfgs,1761,29.14686839999922,2451,0,[],0.017198330856620293,0.02740891900686667,0.0027408919006866672,0.2827332307552738,-0.00047151257292153394,0.9999314399700157,157,0.0031758716035969743,0.018296378943465183,0.03198263678514351,0.003198263678514351,0.28612523752003094,-0.0006617346735372049,0.9999058981673187,4,0.004588478368872363,0.019001442159750002,0.03504134713202301,0.003504134713202301,0.15599078441443393,-0.0022529822108786285,0.9997896580012121,0,,0.021571789581755756,0.03556774154335307,0.003556774154335307,0.26501949917095025,0.0034239497126470433,0.9991819936118446,22,0.006788746351875804
101,4-32-32-16-1,lbfgs,1761,25.020983900001738,2031,0,[],0.018748840672741737,0.02894996751064664,0.002894996751064664,0.2511294822919612,-0.0008701533999424184,0.9999235137541466,157,0.008599501233306129,0.01997603656009776,0.03540113544748756,0.003540113544748756,0.301564618378078,-0.0031008749244450864,0.9998847067363562,4,0.004830119937550149,0.017417835153658762,0.03312668785425592,0.0033126687854255917,0.24615219403247668,-0.0004018616528475109,0.999812016193376,0,,0.0256767345794247,0.04040287136944277,0.004040287136944277,0.29353789686628984,0.004121106306293841,0.9989444748689226,22,0.012745510263736532
137,4-32-32-16-1,lbfgs,1761,26.767059599998902,2210,0,[],0.01699785883755472,0.02769330835808844,0.002769330835808844,0.27074112150495644,-0.0008861573021122784,0.9999300098592739,157,0.003373774566143215,0.019810621480480625,0.03764950756024911,0.003764950756024911,0.42811523014974817,-0.0016099576361670801,0.9998695968296567,4,-0.0070817255485415495,0.02275269398352016,0.0520665033131155,0.0052066503313115495,0.390182214555157,-0.0006397317765022589,0.9995356117385831,0,,0.021124038404818267,0.032897305627255825,0.0032897305627255825,0.20278682775743562,0.0016725083457157773,0.9993002147642193,22,-0.010045721727561664
