trajectory_id,split,teacher_accepted,completed_step_count,rejection_reason,mean_solve_time_s,maximum_solve_time_s
phase6r_ic_0000,test,True,8,,0.5681245249998028,1.2099081999986083
phase6r_ic_0001,train,True,8,,0.680753637500402,1.0032995000001392
phase6r_ic_0002,train,True,8,,0.5351539624994075,0.9249822999991012
phase6r_ic_0003,validation,True,8,,0.5492251749997195,1.505877600000531
phase6r_ic_0004,train,True,8,,0.3680083249996642,0.8374772999995912
phase6r_ic_0005,validation,True,8,,0.4253070750005463,0.8414719000029436
phase6r_ic_0006,validation,True,8,,0.2894034250002733,0.866595799998322
phase6r_ic_0007,train,True,8,,0.3770420499995452,0.9482428999981494
phase6r_ic_0008,train,True,8,,0.3101741374989615,0.6158135000005132
phase6r_ic_0009,train,True,8,,0.4389678000002277,1.0712432000000265
phase6r_ic_0010,validation,True,8,,0.5262829250009418,1.1729396000009729
phase6r_ic_0011,train,True,8,,0.6339939000004051,0.9664136999999756
phase6r_ic_0012,train,True,8,,0.4950709374993494,1.2432754000001296
phase6r_ic_0013,train,True,8,,0.4917223375000503,1.1364829999984067
phase6r_ic_0014,train,True,8,,0.3776376749992778,0.8571398999993107
phase6r_ic_0015,train,True,8,,0.4406017625001368,0.7097458999996888
phase6r_ic_0016,train,True,8,,0.3378715874996487,0.8613896999995632
phase6r_ic_0017,train,True,8,,0.3657139250003638,0.777098800001113
phase6r_ic_0018,test,True,8,,0.2893909874997007,0.7084032999991905
phase6r_ic_0019,test,True,8,,0.396505199999865,0.6928694000016549
phase6r_ic_0020,train,True,8,,0.3634586499997567,0.8264089999975113
phase6r_ic_0021,train,True,8,,0.5427697250006531,1.0473115000022517
phase6r_ic_0022,train,True,8,,0.3279408749995127,0.8583567999994557
phase6r_ic_0023,validation,True,8,,0.478392874999372,1.0886995000000752
phase6r_ic_0024,train,True,8,,0.4892204625002705,1.0510004999996454
phase6r_ic_0025,train,True,8,,0.3674354499999026,0.8306763000000501
phase6r_ic_0026,train,True,8,,0.3624220374999822,0.8264581000003091
phase6r_ic_0027,train,True,8,,0.3426766749998933,0.8361181000000215
phase6r_ic_0028,train,True,8,,0.2181067124993205,0.5338777999968443
phase6r_ic_0029,train,True,8,,0.3735977999999704,0.7186189999993076
phase6r_ic_0030,test,True,8,,0.3004584375003105,0.7519599000006565
phase6r_ic_0031,train,True,8,,0.3058645624996643,0.6076649999995425
phase6r_ic_0032,test,True,8,,0.5073918749994846,1.095748799998546
phase6r_ic_0033,train,True,8,,0.4120661625001958,1.0632689999983995
phase6r_ic_0034,train,True,8,,0.428382275000331,0.998356000000058
phase6r_ic_0035,train,True,8,,0.4404349500005082,0.8068076000017754
phase6r_ic_0036,validation,True,8,,0.3832083875004173,0.7363225999979477
phase6r_ic_0037,train,True,8,,0.268775249999635,0.7693336000011186
phase6r_ic_0038,train,True,8,,0.3068706625003869,0.8254554999984975
phase6r_ic_0039,train,True,8,,0.3463765750002494,0.7929120999979204
phase6r_ic_0040,train,True,8,,0.3190586374989834,0.7177864999976009
phase6r_ic_0041,train,True,8,,0.3247999749996779,0.6306841000005079
phase6r_ic_0042,validation,True,8,,0.2915399124999567,0.7259741999987455
phase6r_ic_0043,train,True,8,,0.3760838999996849,0.8301950999994006
phase6r_ic_0044,train,True,8,,0.5383531499996934,0.9630066999998236
phase6r_ic_0045,validation,True,8,,0.4622853374989972,1.0541950999977416
phase6r_ic_0046,train,True,8,,0.2965540625004905,0.7212483000002976
phase6r_ic_0047,validation,True,8,,0.3531094750001102,0.8779088000010233
phase6r_ic_0048,test,True,8,,0.2750012374999642,0.7442367999974522
phase6r_ic_0049,train,True,8,,0.4137352625002677,0.8729951999994228
phase6r_ic_0050,train,True,8,,0.3293974499993055,0.9483086000000184
phase6r_ic_0051,train,True,8,,0.3083510624987866,0.5862652999967395
phase6r_ic_0052,train,True,8,,0.2301734249999754,0.4185152999998536
phase6r_ic_0053,train,True,8,,0.3322850625008868,0.6051182000010158
phase6r_ic_0054,train,True,8,,0.5220858249999765,0.9176649000000908
phase6r_ic_0055,validation,True,8,,0.4787269625007866,1.1802722000029462
phase6r_ic_0056,validation,True,8,,0.4730336999996325,0.8768479999998817
phase6r_ic_0057,train,True,8,,0.40400499999987,0.8793174999991606
phase6r_ic_0058,train,True,8,,0.2887124999997468,0.9806539999990492
phase6r_ic_0059,validation,True,8,,0.3312157125005797,0.7545872999980929
phase6r_ic_0060,train,True,8,,0.2716074500003742,0.7422273000011046
phase6r_ic_0061,validation,True,8,,0.2325120750010683,0.5817997000012838
phase6r_ic_0062,train,True,8,,0.2530395250005313,0.468494799999462
phase6r_ic_0063,train,True,8,,0.3077426124991689,0.6016158999991603
phase6r_ic_0064,test,True,8,,0.3181944624998323,0.783405700000003
phase6r_ic_0065,test,True,8,,0.5289147624998805,0.9450563000027614
phase6r_ic_0066,test,True,8,,0.4275035374998879,0.875433699999121
phase6r_ic_0067,test,True,8,,0.4470367125009034,0.9115993000013988
